grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,498,0.10969997351619665,0.15704040927655685,0.8012048192771084,0.07741226926359868,0.11094799264926858,0.15588127471568455,0.8192771084337349,0.0909814726343735,-0.0012480191330719315
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,176,0.16038940346611902,0.23039819846813048,0.8068181818181818,-0.06627086914692804,0.16021616121877302,0.22337550152453298,0.7954545454545454,-0.0022601605197061225,0.00017324224734599492
extractant,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,158,0.20913668154306073,0.31706768572726635,0.7025316455696202,-0.026255585517902746,0.21014476900257323,0.31679360318884586,0.7025316455696202,-0.024482101963198,-0.0010080874595125022
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.08683792133098087,0.10626594696570285,0.45454545454545453,0.06795444115765581,0.09197677907087073,0.10995686192161962,0.45454545454545453,0.0020849283330012236,-0.005138857739889868
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.10259524918775793,0.1284692995656005,0.6666666666666666,-0.3355631296646855,0.09361132414681256,0.11919229552266963,0.6842105263157895,-0.14964055702151846,0.008983925040945376
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,50,0.11195650907177422,0.20315330615884267,0.74,-0.005218808990583135,0.15704860050528727,0.2432539957267658,0.74,-0.4412283046796137,-0.045092091433513046
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.0980368314821791,0.15279295929320544,0.65,-0.5166250294018233,0.09479282793226515,0.1473178595842408,0.725,-0.40988060031688534,0.003244003549913943
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.08752936307144744,0.1163075062201937,0.6410256410256411,0.11873443346051304,0.09104162283717739,0.11902081244077438,0.6410256410256411,0.0771372126262786,-0.0035122597657299415
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.07407077508198882,0.09996810530330248,1.0,0.4863384686492891,0.10241644489699203,0.12724350812362448,0.6666666666666666,0.1678044512367033,-0.028345669815003208
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,28,0.0911908724692984,0.13842501347798108,0.75,-2.258759957835723,0.0769470078397781,0.11407170110685555,0.6071428571428571,-1.212987997354023,0.014243864629520292
extractant,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,24,0.2638482496223425,0.36729041624091996,0.4583333333333333,-0.7788705954749613,0.25477804600975146,0.36484950418827916,0.4166666666666667,-0.7553053817418041,0.009070203612591032
extractant,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,24,0.10392353617520027,0.13318385338015556,0.375,-0.25777010165409453,0.09002433252330015,0.120960441517044,0.3333333333333333,-0.03749220286363508,0.013899203651900116
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,23,0.22798297587275734,0.3055139205421862,0.6956521739130435,-0.38954341240873047,0.21717608970131805,0.302713466373136,0.6956521739130435,-0.3641860221921007,0.010806886171439295
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.3335273190404434,0.3944787893448334,0.2,-3.259725602445437,0.2941095116921027,0.34095721008746405,0.15,-2.182248337640967,0.03941780734834072
extractant,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],17,0.2071284496397934,0.2567359695280371,0.5294117647058824,-0.6978792844237873,0.1691944680772712,0.21887778693712726,0.5882352941176471,-0.23406134660281186,0.0379339815625222
extractant,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,16,0.17240108559861883,0.20966913966169604,0.3125,-0.39519289693562176,0.1583765660401193,0.1924791999170747,0.3125,-0.1757983320344536,0.014024519558499537
extractant,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,12,0.06713835190380223,0.106527081804498,0.9166666666666666,-0.7189851079395657,0.07797306058126798,0.10822349563689007,0.9166666666666666,-0.774169746097602,-0.010834708677465749
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.24675954568363548,0.3033611778318911,0.25,-0.0341731749301768,0.2632557187159026,0.3253893856830807,0.16666666666666666,-0.1898166138256583,-0.01649617303226711
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.10624605267029978,0.12947487591377915,0.9166666666666666,0.6318516219892767,0.12364870019316526,0.15901140461636967,0.9166666666666666,0.4447246017415455,-0.01740264752286548
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.09100466395748469,0.12252735586491556,0.8333333333333334,-0.3074530342574746,0.05605567921398863,0.07540571334016131,0.75,0.5048138609698909,0.03494898474349606
extractant,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,12,0.08141868363499451,0.11485020005233595,0.9166666666666666,0.7551791896456697,0.11987896003976826,0.17731748915522266,0.8333333333333334,0.41643670866437876,-0.03846027640477376
extractant,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,12,0.0467684039598398,0.06533358987281107,0.9166666666666666,0.9123679271185143,0.11498216760529234,0.1649942482813163,0.8333333333333334,0.44110831197330513,-0.06821376364545254
extractant,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,12,0.09982351647413028,0.1318276659110873,0.9166666666666666,0.6836828290228577,0.14725497892494252,0.18087117613690268,0.8333333333333334,0.4045457933642109,-0.04743146245081224
extractant,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,12,0.060713016252444414,0.07613968626477947,0.75,0.2201676817399657,0.2031354147739358,0.3063139330847699,0.5,-11.621546364453033,-0.14242239852149138
extractant,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,12,0.1719905731250958,0.19754034060268327,0.5,-0.12075999322585673,0.16756252855401188,0.19329875474940686,0.5833333333333334,-0.07314680264407314,0.004428044571083922
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,12,0.059235792201589206,0.07237668870130029,0.5,-0.5714512711706983,0.05487446106566183,0.06143409209029022,0.4166666666666667,-0.13219801118910657,0.0043613311359273765
