grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,556,0.1245559387674247,0.17095475135456298,0.7751798561151079,-0.026369138085694965,0.11806667159302252,0.16548910350761062,0.814748201438849,0.03821048118497705,0.00648926717440218
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,187,0.15059944624852728,0.22350082089742404,0.8128342245989305,-0.040113348508683755,0.1515632359582522,0.2189044462986448,0.839572192513369,0.0022273608472611617,-0.0009637897097249104
extractant,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,158,0.22615754394408336,0.3396881049437021,0.7025316455696202,-0.1779103742470971,0.214602103286233,0.33010907811183465,0.7025316455696202,-0.11241414841135922,0.011555440657850358
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.09244770976821208,0.11018049888755573,0.45454545454545453,-0.0019784405931120297,0.08402326060929893,0.09984209262724364,0.45454545454545453,0.17723414899087153,0.008424449158913147
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.10953157432965913,0.13524703411258746,0.6140350877192983,-0.4802027567454139,0.10953157432965913,0.13524703411258746,0.6140350877192983,-0.4802027567454139,0.0
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,52,0.2632156544146589,0.31036649219980855,0.1346153846153846,-3.9750128533269624,0.23641364348515653,0.2744877832695682,0.1346153846153846,-2.8912630604549157,0.02680201092950235
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,50,0.14223303763088077,0.2319515370482074,0.58,-0.3104103864860128,0.14223303763088077,0.2319515370482074,0.58,-0.3104103864860128,0.0
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,50,0.07907419893657645,0.12796536361107813,0.64,-0.3133822253979752,0.07608010324092197,0.1269875362473566,0.7,-0.2933869031862366,0.0029940956956544806
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.0867920297811263,0.1186619079915663,0.6410256410256411,0.08269456282803944,0.08313962965226505,0.11686438981696509,0.6410256410256411,0.11027518183863472,0.003652400128861241
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.11844940035890614,0.14424332897189868,0.6666666666666666,-0.06941333172664366,0.11844940035890614,0.14424332897189868,0.6666666666666666,-0.06941333172664366,0.0
