context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,0.35,2.0,0.15455272749469434,0.12118426177899522,0.1483845692485462,True,
outer_0:baseline,1.0,0.7,2.0,0.15581469033588816,0.08958746109384919,0.1518329180902836,False,
outer_0:baseline,2.0,1.0,4.0,0.15889648950804733,0.07317096292998948,0.1539773383810994,False,
outer_0:delta3d_unshrunk,0.0,0.35,2.0,0.1593496589994805,0.1369820532706697,0.14830594431236627,True,
outer_0:delta3d_unshrunk,1.0,0.7,2.0,0.16326141160896648,0.11421656100764177,0.15169565988466563,False,
outer_0:delta3d_unshrunk,2.0,1.0,4.0,0.16686306901659478,0.10184767000968475,0.15246009042623937,False,
outer_0:delta3d_weight,,,,0.15590883967645783,0.11028469980245714,0.15000175375426725,False,0.0
outer_0:delta3d_weight,,,,0.15408142261254737,0.13401464569671195,0.14772406222108206,False,0.25
outer_0:delta3d_weight,,,,0.15369068308838388,0.14658326494761464,0.14673494718747443,True,0.5
outer_0:delta3d_weight,,,,0.15487397539167339,0.14799055755516566,0.14709785839452216,False,0.75
outer_0:delta3d_weight,,,,0.15812873255654508,0.13823652351936444,0.14902648276183253,False,1.0
outer_1:baseline,0.0,0.35,2.0,0.1679323721948273,0.08195147683929027,0.1381656461799929,True,
outer_1:baseline,1.0,0.7,2.0,0.17013716970333595,-0.005426990390772213,0.14625215496052604,False,
outer_1:baseline,2.0,1.0,4.0,0.17115187131872242,-0.01409820534928885,0.15206639509486794,False,
outer_1:delta3d_unshrunk,0.0,0.35,2.0,0.173516688830978,0.0856367453565704,0.13854365408561625,True,
outer_1:delta3d_unshrunk,1.0,0.7,2.0,0.17548722004414063,0.07901166976834251,0.14010065225714732,False,
outer_1:delta3d_unshrunk,2.0,1.0,4.0,0.17690436574108398,0.03485813842388252,0.14586723553549827,False,
outer_1:delta3d_weight,,,,0.16822996939234477,0.06765322171074639,0.14035475876666342,False,0.0
outer_1:delta3d_weight,,,,0.16609051872147831,0.10123365398334783,0.1366116657437044,True,0.25
outer_1:delta3d_weight,,,,0.16632642054588961,0.11543061363127938,0.13476754595433915,False,0.5
outer_1:delta3d_weight,,,,0.16819197672035383,0.11024410065454093,0.1348939511603874,False,0.75
outer_1:delta3d_weight,,,,0.17181275669520316,0.08567411505313238,0.13746519152317083,False,1.0
outer_2:baseline,0.0,0.35,2.0,0.14855331452013504,0.18205455997291653,0.1219382560402959,True,
outer_2:baseline,1.0,0.7,2.0,0.15287826342180827,0.1417704392486392,0.12474362855883175,False,
outer_2:baseline,2.0,1.0,4.0,0.16058492312314873,0.09323313768055841,0.12906208363928634,False,
outer_2:delta3d_unshrunk,0.0,0.35,2.0,0.16109442360363607,0.17316491762362884,0.12498793406302385,True,
outer_2:delta3d_unshrunk,1.0,0.7,2.0,0.1771392089477581,0.09616184758648105,0.13182324600183543,False,
outer_2:delta3d_unshrunk,2.0,1.0,4.0,0.18810412214490502,-0.012277788822392832,0.1351231062364947,False,
outer_2:delta3d_weight,,,,0.1482351806069354,0.18400183070739828,0.12124518976069118,True,0.0
outer_2:delta3d_weight,,,,0.1500917469820228,0.19858324522063897,0.1202280723028461,False,0.25
outer_2:delta3d_weight,,,,0.15305447535331523,0.19778590170788302,0.12113304987612007,False,0.5
outer_2:delta3d_weight,,,,0.15796578452816198,0.18160980016912986,0.12396905386839566,False,0.75
outer_2:delta3d_weight,,,,0.16447574053356784,0.15005494060437996,0.1282756337471349,False,1.0
outer_3:baseline,0.0,0.35,2.0,0.1573691309286192,-0.017851724930631807,0.15941436418550864,True,
