feature,deployment_delta3d_blend_weight,component,interpretation,importance
delta3d__feat3d__polyhedron__donor_atomic_number_04,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.1577853819462777
delta3d__feat3d__polyhedron__donor_atomic_number_09,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0958270311062634
pair__delta_ionic_radius,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.07702448533413331
pair__delta_Z,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.06810495015456154
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.02294230715254687
pair__ionic_radius_B,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.015645212169432637
pair__ionic_radius_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.015095698774587975
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014002762856707296
pair__Z_B,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013734139043287123
delta3d__feat3d__polyhedron__donor_angle_08_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012753084426187987
pair__ionic_radius_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01250538060009232
base__cond__acid_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012016503411178676
pair__Z_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00992413429035919
base__MolWt,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009857790431100643
pair__Z_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009325583723239902
delta3d__feat3d__polyhedron__ln_donor_distance_03,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009091153613655084
base__MolLogP,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008992854180913485
base__NumRotatableBonds,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008728414661127774
delta3d__feat3d__polyhedron__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008118045432283368
base__cond__metal_concentration_mM,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007758259363300846
base__cond__extractant_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007577178225384585
base__ecfp_1454,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007179317711027384
delta3d__feat3d__complex_physical__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007166360975338273
base__TPSA,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006977771854069589
base__ecfp_695,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006762552185119305
