Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5823011179377975,0.5815254807437681,0.0007756371940293993,0.7880214034909941,0.7819226900784058,0.006098713412588386,0.6719152795366237,0.6659339608293123,-0.005981318707311334
Dy,1123,0.3502390374254065,0.3524108855313043,-0.0021718481058977668,0.5364335734689861,0.5332078443333096,0.003225729135676536,0.7298244337786355,0.735912459410907,0.00608802563227151
Er,1045,0.36796717619318625,0.37764618292134383,-0.00967900672815758,0.5860094777481866,0.5912420197107514,-0.005232541962564841,0.6882357766923513,0.6576426181215711,-0.030593158570780155
Eu,949,0.36831115286563715,0.3636203521929442,0.004690800672692952,0.5039910868957241,0.4946029331305729,0.00938815376515123,0.794172022237974,0.7871891425120171,-0.006982879725956903
Gd,1144,0.3635090039037004,0.356766574418208,0.006742429485492363,0.49316208980893605,0.4796011152820858,0.013560974526850234,0.6900425155372271,0.680495266587749,-0.009547248949478115
Ho,929,0.3889884159246325,0.3993674196095408,-0.010379003684908295,0.6028806781090397,0.6092886026624066,-0.006407924553366917,0.7185776029118663,0.6984929612849807,-0.020084641626885613
La,923,0.6531808118029395,0.651654307374919,0.001526504428020492,0.8895876728982058,0.8930759604566018,-0.0034882875583959194,0.5835661000124482,0.5815134863368697,-0.0020526136755785185
Lu,849,0.3617964933436893,0.36563631246928113,-0.003839819125591837,0.5647657952307138,0.5737371907804273,-0.00897139554971349,0.7145251469900463,0.6921213137071319,-0.022403833282914398
Nd,1095,0.5160650093013582,0.5131086948219487,0.002956314479409583,0.6950471191762048,0.6868983501946441,0.008148768981560695,0.607585373759372,0.6054920180906533,-0.0020933556687187105
Pr,704,0.4373280626272134,0.4490363149040392,-0.011708252276825815,0.605199334029761,0.6048419213021834,0.00035741272757761067,0.7697303278452554,0.7721823223223773,0.002451994477121855
Sm,1120,0.42255727164933027,0.4166312235672379,0.00592604808209235,0.547838601871097,0.5413874622900584,0.006451139581038601,0.6730879081717926,0.684274469498032,0.011186561326239297
Tb,897,0.35364238126519343,0.36492335662310216,-0.011280975357908729,0.5241042164115105,0.5242624969458225,-0.00015828053431199418,0.7852879912005212,0.7634898883639107,-0.021798102836610433
Tm,827,0.349533579960269,0.3592395061324895,-0.009705926172220491,0.5794839520122931,0.5938389893809422,-0.01435503736864907,0.7448038154945305,0.7207531002299405,-0.024050715264589906
Yb,880,0.3582176387575934,0.36090287287325473,-0.00268523411566135,0.5689140603831822,0.5755012914750701,-0.006587231091887968,0.7537238915954068,0.7471304245744974,-0.006593467020909349
