extractant_id,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,91,0.22324795571230924,0.24303272149576446,-0.019784765783455227,0.30639690057141894,0.3466608357206988,-0.04026393514927984,0.9762223283962415,0.9512342729734035,-0.024988055422837996
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,28,0.3032021796240592,0.27685699281391535,0.02634518681014386,0.37635823034313554,0.350572870216881,0.025785360126254542,0.6185002736726873,0.8215654077723044,0.20306513409961702
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,91,0.26998437728765284,0.2668896040845225,0.003094773203130341,0.380621790399891,0.3883833055576627,-0.007761515157771681,0.9400700748526836,0.9381589425067686,-0.001911132345915001
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,210,0.396117806768237,0.40470859740185167,-0.008590790633614676,0.5726053411658851,0.5843674247426734,-0.011762083576788318,0.8691485848693596,0.8729699437917057,0.00382135892234603
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,112,0.2992739718670258,0.2990316631057035,0.0002423087613223074,0.44247049170054953,0.4377291913144978,0.00474130038605175,0.6692834692624372,0.6843690072503756,0.015085537987938435
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,91,0.21892875601135633,0.19100012962566326,0.027928626385693073,0.2750542840544769,0.23979217747690296,0.03526210657757395,0.960758082497213,0.9624621755056537,0.0017040930084407657
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,91,0.16708407622461127,0.22569404676434054,-0.05860997053972927,0.23681371437776358,0.3096850113476736,-0.07287129696991004,0.9875457875457875,0.9863513298295907,-0.0011944577161967507
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,78,0.5402105742394119,0.5752913788384286,-0.035080804599016746,0.6844347581042924,0.7117271398451516,-0.02729238174085913,0.9341670987240607,0.9248093678473425,-0.009357730876718207
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,16,0.21207162165926152,0.2475396061559882,-0.03546798449672667,0.2805643243758476,0.2869103719187227,-0.0063460475428750995,0.5411764705882353,0.4941176470588235,-0.047058823529411764
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,79,0.783250763337418,0.8151280398182044,-0.03187727648078631,1.1213697146808348,1.2180581501499508,-0.09668843546911599,-0.30411947642866316,-0.4387860051730292,-0.13466652874436602
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,140,0.13055824503946997,0.2029533680863807,-0.07239512304691073,0.15984208556978452,0.2646539535228697,-0.10481186795308517,0.8786919946745766,0.8003726162247154,-0.07831937844986114
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,298,0.6370450125787285,0.5979560602938199,0.03908895228490861,0.766848059570491,0.7184171245808165,0.048430934989674435,0.45670463188578325,0.4495692301143372,-0.007135401771446059
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,507,0.5125179572853854,0.5216570876782708,-0.009139130392885386,0.6779899051594249,0.6792870542690058,-0.0012971491095808974,0.8183253234146337,0.8309093510752991,0.012584027660665353
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,91,0.11824314015912217,0.14874867015210386,-0.030505529992981686,0.14688432692733427,0.18251123082118959,-0.03562690389385531,0.9850613154960982,0.9617136486701705,-0.023347666825927704
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,28,0.11688589654293642,0.13151121371059615,-0.014625317167659732,0.14351233405086342,0.16600638847105684,-0.02249405442019342,0.8472906403940886,0.8456486042692939,-0.0016420361247947435
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,28,0.09733264662611818,0.12461245599413716,-0.02727980936801898,0.11507797612553837,0.1552991566714259,-0.04022118054588754,0.8544061302681991,0.8182813355227148,-0.03612479474548436
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,91,0.09576534608355879,0.1542665090446569,-0.05850116296109813,0.11802722922883876,0.19403581472825354,-0.07600858549941478,0.9852205765249245,0.9599458512501992,-0.025274725274725296
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,91,0.2325971117342107,0.22988534585830006,0.0027117658759106267,0.3317701507478477,0.31192460300851427,0.019845547739333447,0.9720178372352286,0.9740086000955566,0.001990762860327955
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,91,0.09951623054869593,0.1585751940548411,-0.05905896350614517,0.12852926724904676,0.20025324392548563,-0.07172397667643887,0.9836757445453098,0.9630355152094284,-0.020640229335881388
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,78,0.2980525545749754,0.284965485795926,0.013087068779049416,0.36328118333869625,0.33956362894166364,0.023717554397032603,0.9711933635984268,0.9572832231060078,-0.01391014049241901
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,91,0.1950838029767362,0.20518623479382594,-0.010102431817089752,0.28552619814449864,0.27837974587228553,0.007146452272213111,0.9872750437967829,0.9805064500716676,-0.0067685937251152906
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.6056520883537042,0.672008063044952,-0.06635597469124777,0.6056520883537042,0.672008063044952,-0.06635597469124777,,,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,21,0.38202987941561545,0.42789036859474855,-0.0458604891791331,0.5695917470860407,0.6022925403389663,-0.03270079325292563,0.8532467532467533,0.8714285714285716,0.0181818181818183
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2921,0.5133466033147231,0.4956703561019881,0.01767624721273503,0.7269878484638653,0.7024221616051695,0.024565686858695868,0.616147869126401,0.6056966587660284,-0.010451210360372554
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,91,0.4218286808576387,0.3981518158540125,0.023676865003626202,0.5578606016310433,0.5268893716958492,0.03097122993519419,0.9165631469979297,0.8477623825449915,-0.06880076445293826
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,91,0.15606893895028906,0.21237248118528432,-0.05630354223499526,0.19955042278815494,0.26697604887584514,-0.0674256260876902,0.7402782562310053,0.6862044002151643,-0.054073856015841026
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,21,0.08611635887224403,0.1073886115750579,-0.021272252702813868,0.09539301070334397,0.11674340816321774,-0.02135039745987377,0.9324675324675323,0.9103896103896105,-0.022077922077921808
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,172,0.427484352547218,0.4167684574863083,0.010715895060909697,0.5540792921031781,0.531247605470757,0.022831686632421078,0.6647380072345223,0.6711858034820174,0.006447796247495141
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,150,0.16920658484835452,0.21380418605937096,-0.04459760121101644,0.23159572063555967,0.2792676703675149,-0.04767194973195521,0.7407219743721523,0.6640407558555963,-0.07668121851655596
CCN(CC)C(=O)COCC(=O)N(CC)CC,258,0.20498070149676434,0.19529169476878797,0.009689006727976374,0.27691966904950993,0.2579449347439878,0.018974734305522156,0.28447218531955704,0.31300720336954146,0.02853501804998443
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,243,0.2810108831576824,0.26876792965722984,0.01224295350045257,0.36887452404351045,0.35790556396582085,0.010968960077689605,0.1458341348051762,0.1364339250566712,-0.009400209748505
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,140,0.3560718617085097,0.315835796293113,0.040236065415396705,0.45419758563279455,0.3965731116690871,0.05762447396370746,0.17365985459719202,0.2225190540317846,0.048859199434592576
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,78,0.5569373903685269,0.47379374035899363,0.08314365000953322,0.7533770721609512,0.6316645439267345,0.12171252823421663,-0.28622080869582567,-0.26564987485545777,0.0205709338403679
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,91,0.6233763026505356,0.6314941840076113,-0.008117881357075696,0.7909443281724622,0.8006639774332603,-0.009719649260798158,-0.3807612197556229,-0.374523020160112,0.006238199595510863
