comparison,reference,candidate,stratum,n_extractants,n_pairs,macro_delta_mae,median_delta_mae,extractants_improved,fraction_improved,ci95_low,ci95_high
A2_vs_A0,A2,A0,all,34,6699,-0.3189629819093078,-0.2529169101780469,7,0.20588235294117646,-0.47311349259531105,-0.17546699742003632
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.9,28,3274,-0.30644475697391765,-0.2609841121607952,6,0.21428571428571427,-0.4637403451536226,-0.15622848143515977
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.9,6,3425,-0.377381364941128,-0.23538168994414663,1,0.16666666666666666,-0.8246656326769907,0.03382930382807827
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.8,20,2075,-0.2441396190798039,-0.2195494108134336,4,0.2,-0.42417236717668144,-0.057241068338659225
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.8,14,4624,-0.42585350023717045,-0.2852707681264018,3,0.21428571428571427,-0.6887099872118002,-0.13098629947152954
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.7,15,1637,-0.17340917149697077,-0.09741391722264958,4,0.26666666666666666,-0.41520651900268524,0.03701851286142302
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.7,19,5062,-0.4338738848664158,-0.31317535091490706,3,0.15789473684210525,-0.6301358656247127,-0.21243459297423017
A2_vs_A1,A2,A1,all,34,6699,-0.027981712659694912,-0.011817403063672696,14,0.4117647058823529,-0.06028706691862402,0.003924585163893108
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.9,28,3274,-0.021268022705727998,-0.011024863742592844,12,0.42857142857142855,-0.05452730151643074,0.011413580309028653
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.9,6,3425,-0.05931226577820722,-0.06560376656298642,2,0.3333333333333333,-0.14287356578939028,0.024896852665862623
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.8,20,2075,-0.01136221684475081,-0.0005686291808773558,10,0.5,-0.05738382820452546,0.035017892204490114
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.8,14,4624,-0.05172384953818649,-0.03862016541936244,4,0.2857142857142857,-0.09543701188414441,-0.008040853414593917
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.7,15,1637,-0.011981815928677109,-0.0235021886172459,7,0.4666666666666667,-0.06674261360318401,0.04575037891834013
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.7,19,5062,-0.0406132100789195,-0.005383704157740837,7,0.3684210526315789,-0.07550824503813891,-0.006774325498085751
A2_vs_A3,A2,A3,all,34,6699,-0.04556755588741204,-0.0232704491698163,11,0.3235294117647059,-0.07856011736606612,-0.01406375468845622
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.9,28,3274,-0.03838014661354077,-0.0232704491698163,10,0.35714285714285715,-0.07015014558450251,-0.0071907681737654865
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.9,6,3425,-0.07910879916547796,-0.09359467996963106,1,0.16666666666666666,-0.16962284774286343,0.016309434946813306
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.8,20,2075,-0.03171681378024776,-0.019459976263093384,8,0.4,-0.06997117901481589,0.008904096949812758
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.8,14,4624,-0.06535433032621815,-0.02518042029919896,3,0.21428571428571427,-0.11126902707752004,-0.011955133208464374
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.7,15,1637,-0.03306734246797768,-0.013593279809414854,6,0.4,-0.0826821079604317,0.016179971301657697
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.7,19,5062,-0.05543614542907076,-0.0255991584443869,5,0.2631578947368421,-0.09145496594013645,-0.01926936128727676
A2_vs_A4,A2,A4,all,34,6699,-0.01080945563352928,-0.006499610253943383,13,0.38235294117647056,-0.024219737223389763,0.002069804041075266
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.9,28,3274,-0.010132684206708967,-0.006499610253943383,11,0.39285714285714285,-0.025695819142930388,0.0053772089103839675
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.9,6,3425,-0.013967722292024073,-0.013619617811001197,2,0.3333333333333333,-0.02680950011044266,-0.0011758631025852236
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.8,20,2075,-0.005652925376176843,0.0032358468909373383,11,0.55,-0.02732463913047234,0.014061910304355147
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.8,14,4624,-0.018175927429747045,-0.011644095771316781,2,0.14285714285714285,-0.030742929927185515,-0.008201256372426583
