comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,-0.01794165864119146,-0.0012598792097588407,-0.004203202335593903,-0.029715793663725287
A2_vs_A5,A2,A5,1,-0.006303135886860711,-0.000721158672760569,-0.0014474852409078753,-0.017244764677273205
A2_vs_A5,A2,A5,2,-0.013538424568973417,-0.026218206947738687,-0.04123986703034488,-0.005877861060737288
A2_vs_A5,A2,A5,3,0.005608974318702442,0.0006923551531903271,0.0018937316140185123,-0.009026057904136464
A2_vs_A5,A2,A5,4,-0.015463437703550298,-0.024306377006599267,-0.034951154159621356,-0.0015731221695346465
A2_vs_A6,A2,A6,0,-0.0017271378415109062,0.011492955837438534,0.037845534638846656,-0.014695375486705686
A2_vs_A6,A2,A6,1,-0.015065649881838283,-0.01298324833455372,-0.026500053525641665,-0.02049211823873165
A2_vs_A6,A2,A6,2,-0.010505650729830174,-0.020748637418537386,-0.03250030562926565,-0.000617834111192761
A2_vs_A6,A2,A6,3,0.012802520386444749,0.01218882454655601,0.03307050288157942,-0.00782210485853907
A2_vs_A6,A2,A6,4,-0.01477451929170609,-0.02295089535510747,-0.03295343419172869,-0.0012704352875633207
A3_vs_A2,A3,A2,0,0.036276946212994376,0.01654084074610951,0.056040905841500566,0.010426673827005184
A3_vs_A2,A3,A2,1,0.005017123360307629,0.03874402951599337,0.08184199289111604,0.0504809695171734
A3_vs_A2,A3,A2,2,0.00471138180755587,0.007343011981058245,0.011383814011102888,-0.009042390762257102
A3_vs_A2,A3,A2,3,0.16423837377675254,0.27890518670531794,0.9122272012644578,0.5650775143160175
A3_vs_A2,A3,A2,4,0.0416322665619272,0.05979283368390753,0.08929450493005453,0.026728874030837124
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,-0.010571470963899321,-0.0015886754701127659,-0.005301902651253854,-0.03200639117641041
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.010601148351293,-0.005861944444387535,-0.011849280917404226,-0.031766613950905076
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.0032802786818624807,0.010887010580429846,0.016639827643113225,0.004948494179556895
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.012684080093124939,0.014466991554704656,0.039188457159108236,0.00978902772755752
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,4,-0.009947642832054626,-0.015197650849199329,-0.02163700351954312,0.0011590520929344317
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,0,-0.008879362650596523,0.0009299442470242503,0.003095566911932024,-0.01687691532124208
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,1,-0.008860809462337915,-0.000633922869181347,-0.0012722354737952912,-0.02179323906438302
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,2,-0.013068697720982014,-0.011740129029939927,-0.018262591765999203,0.010078471285494217
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,3,0.0035804248748134704,-0.0016931257542552869,-0.004638778098397522,0.01279475178496392
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,4,-0.012824583629596709,-0.01790278658098282,-0.025564007509337516,-2.7427928536494228e-05
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,0,-0.018864160156479792,-0.008926598922362583,-0.030013034128301697,-0.022742028121006674
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,1,-0.0062200166471194085,0.0006407749672393548,0.0012837270159289371,-0.01233247274399285
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,2,-0.009731206525610436,0.005401110012194232,0.008290680581341081,-0.0028753303866567714
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,3,0.011587694249054259,0.010251330089842248,0.027851770662745134,0.02256447488112201
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,4,-0.016029455265949122,-0.022502347498442543,-0.032293625249277924,-0.003105056800109196
A2_vs_A2+D1,A2,A2+D1,0,0.0028722260776909425,0.005914268673109846,0.019587216507714444,-0.010019496776208281
A2_vs_A2+D1,A2,A2+D1,1,0.0025567826897561208,0.0007860603964114921,0.0015744754879284395,-0.010984093874983447
A2_vs_A2+D1,A2,A2+D1,2,-0.009171133785760233,-0.0005238156191255117,-0.0008077798611922926,-0.008378166914862595
A2_vs_A2+D1,A2,A2+D1,3,0.00792096065673109,0.003971543845801562,0.010838031978137042,0.02397859116824197
A2_vs_A2+D1,A2,A2+D1,4,-0.008113749580762608,-0.007565775995626911,-0.010681214369481995,0.005805222474989602
A2_vs_A2+D2,A2,A2+D2,0,-0.010445125750807138,-0.007035844504142019,-0.02361080658832493,-0.01392185969992693
A2_vs_A2+D2,A2,A2+D2,1,-0.0009187750105035808,0.0004248764721577758,0.0008514503153792541,-0.004497967828449023
A2_vs_A2+D2,A2,A2+D2,2,-0.002896340157112487,0.002500900500629899,0.003847577262649171,0.00541777201277216
A2_vs_A2+D2,A2,A2+D2,3,0.0033349085305351966,-0.00055111763224025,-0.0015087310012534827,0.01938280192979802
