extractant_id,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,91,0.13807046809309428,0.19435510891098873,-0.056284640817894444,0.16578615793440662,0.21980016469454575,-0.05401400676013912,0.9724637681159422,0.9736900780379042,0.0012263099219620432
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,28,0.2584209902619163,0.22752816340560103,0.030892826856315253,0.31700035276118355,0.28802515815007856,0.028975194611104982,0.7876299945265463,0.8850574712643678,0.0974274767378216
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,91,0.1609804286339766,0.16569773377242067,-0.004717305138444067,0.19840945272511523,0.20130227357490932,-0.0028928208497940866,0.9528428093645485,0.9464723682114987,-0.006370441153049744
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,210,0.4050795289805732,0.45564868005771325,-0.05056915107714005,0.5576456655883698,0.646144387043773,-0.08849872145540316,0.8750620373760147,0.8753250878545622,0.0002630504785474663
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,112,0.3168265007050156,0.3142639194966372,0.002562581208378434,0.4608897586181981,0.45028959378147987,0.010600164836718218,0.6503440352812271,0.6746123950449086,0.02426835976368147
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,91,0.2694042726994289,0.24650225183629895,0.02290202086312995,0.33010163309250856,0.3028525157131436,0.027249117379364973,0.9610606784519828,0.9635610766045549,0.002500398152572081
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,91,0.20432133906292174,0.2656575672812387,-0.06133622821831694,0.24396728029410011,0.32639499591196597,-0.08242771561786585,0.9716515368689282,0.9705526357700272,-0.001098901098901095
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,78,0.5784050842854073,0.5876325593121203,-0.009227475026713061,0.7201790576521525,0.7164594392949131,0.0037196183572394403,0.9237218477724806,0.9227354923557455,-0.0009863554167350852
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,16,0.21677578064047304,0.2529666097940022,-0.03619082915352917,0.3027681615616289,0.3007512909036146,0.0020168706580143136,0.5264705882352941,0.4382352941176471,-0.08823529411764702
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,79,0.7998061743645967,0.8506399661856787,-0.05083379182108205,1.145433680190895,1.2957872043877856,-0.15035352419689052,-0.3076248958319872,-0.4656000292894281,-0.1579751334574409
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,140,0.1577213537642422,0.20615826836360088,-0.04843691459935867,0.19293023581706445,0.2672055639104598,-0.07427532809339535,0.8675025748753824,0.774460045456599,-0.09304252941878344
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,298,0.6299283764313449,0.606618962417274,0.02330941401407094,0.757539517960778,0.7262257713480466,0.03131374661273145,0.4580730962878912,0.44891890841360016,-0.009154187874291064
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,507,0.5208346331552642,0.5294360188387321,-0.00860138568346791,0.6962339718285208,0.6993423281936553,-0.0031083563651345125,0.8300141668264189,0.8316464326295663,0.001632265803147348
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,91,0.1543008537099695,0.17424518249931026,-0.01994432878934077,0.1901038122200591,0.21156034566279905,-0.021456533442739956,0.9838668577799013,0.9608854913202741,-0.022981366459627228
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,28,0.11135194576182886,0.1340664130920703,-0.022714467330241433,0.13827058226131517,0.16422950241868092,-0.025958920157365756,0.8456486042692939,0.810071154898741,-0.03557744937055285
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,28,0.09427012669261273,0.12502193976130654,-0.030751813068693817,0.11290446601737161,0.15150685412808548,-0.03860238811071387,0.8505747126436781,0.8243021346469621,-0.026272577996716007
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,91,0.09045342901167643,0.12846759897405766,-0.03801416996238123,0.11328493535144943,0.16599481619191755,-0.052709880840468126,0.9804905239687849,0.9560121038381908,-0.024478420130594092
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,91,0.22117324203505928,0.19893343929463567,0.022239802740423614,0.30872299861673813,0.2750008713959506,0.033722127220787546,0.9728778467908904,0.9767797419971335,0.0039018952062430667
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,91,0.10080784626520496,0.15004960338754764,-0.049241757122342675,0.12887623077142485,0.1918740235645689,-0.06299779279314405,0.9825609173435261,0.9635610766045549,-0.018999840738971208
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,78,0.2604644023433664,0.24785968495141908,0.012604717391947295,0.32356330310185805,0.2977875777378315,0.025775725364026558,0.9734695684062771,0.963884217048774,-0.009585351357503047
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,91,0.3411821873122476,0.3803247284620871,-0.039142541149839505,0.41988968835758955,0.46034589995569813,-0.04045621159810858,0.982943143812709,0.9794075489727664,-0.0035355948399425907
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.5995065277230013,0.6527494529833114,-0.05324292526031016,0.5995065277230013,0.6527494529833114,-0.05324292526031016,,,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,21,0.3866509390757122,0.4387883655731945,-0.05213742649748232,0.5737437295007478,0.6095821675148795,-0.03583843801413167,0.8532467532467533,0.8675324675324675,0.014285714285714235
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2921,0.5076402669540625,0.5020312926353601,0.005608974318702442,0.7143500585910962,0.7136577034379059,0.0006923551531903271,0.6155893160575518,0.6065632581534154,-0.009026057904136464
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,91,0.40295073941538273,0.3742606560654344,0.028690083349948325,0.5390132780581279,0.4993957717572009,0.03961750630092703,0.9115145723841377,0.8262939958592133,-0.08522057652492443
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,91,0.16854181401696122,0.25135733932397614,-0.08281552530701491,0.2191371763573864,0.3202152077336999,-0.10107803137631349,0.7221129446592626,0.6537282316094795,-0.06838471304978311
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,21,0.0981244994836515,0.10937392935782483,-0.011249429874173336,0.1136672540882011,0.11828467312949352,-0.004617419041292425,0.9233766233766234,0.9064935064935065,-0.016883116883116944
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,172,0.4187790585992227,0.42154199639660545,-0.0027629377973827363,0.5450431021514467,0.5402216352753176,0.004821466876129055,0.6772113504999361,0.6723826860641318,-0.00482866443580432
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,150,0.18091293456658053,0.22019364833157817,-0.03928071376499764,0.24012510107012378,0.2852577308061282,-0.04513262973600443,0.7127916703473187,0.6525806196529179,-0.0602110506944008
CCN(CC)C(=O)COCC(=O)N(CC)CC,258,0.21201358145930865,0.19673932256773866,0.015274258891569997,0.28647293781063127,0.2611573331623243,0.025315604648306955,0.2840613129232109,0.30925065574580496,0.025189342822594052
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,243,0.2771307910859089,0.26460085416816514,0.012529936917743734,0.36495418102373695,0.3532385889784475,0.011715592045289436,0.14137614387417927,0.16307524014950936,0.021699096275330093
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,140,0.3126056832480388,0.3217776824694279,-0.009171999221389115,0.3952852708908119,0.40026283693793807,-0.004977566047126181,0.1962987743907336,0.21179685206926555,0.015498077678531952
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,78,0.3482888941650565,0.3966416491341076,-0.048352754969051115,0.45287869831058414,0.505252653552416,-0.05237395524183186,-0.261333143508033,-0.2612318712183573,0.00010127228967571344
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,91,0.3437242949344058,0.3443468519157484,-0.0006225569813425591,0.4296334293389698,0.42563693350603504,0.0039964958329347655,-0.3330465615467924,-0.38793156411827895,-0.05488500257148654
