grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,delta3d_extended_unshrunk_mae,delta3d_extended_unshrunk_rmse,delta3d_extended_unshrunk_sign_accuracy,delta3d_extended_unshrunk_r2,delta3d_extended_mae,delta3d_extended_rmse,delta3d_extended_sign_accuracy,delta3d_extended_r2,mae_reduction_delta3d_vs_2d_ensemble,mae_reduction_extended_vs_delta3d
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,471,0.12088131485682366,0.16584942693985774,0.7749469214437368,-0.04597891987290659,0.12198533900832256,0.16730869173171892,0.7983014861995754,-0.06446647520437465,0.12111109843715862,0.16617331368727548,0.7749469214437368,-0.05006828594841939,0.11434188267005312,0.15852234707531013,0.8110403397027601,0.04440037796336749,0.11793135417326511,0.1627191022405288,0.8004246284501062,-0.006866892047231898,0.11397503477655999,0.15940781214529243,0.8089171974522293,0.03369509520340064,0.11769032730672904,0.16303367548494824,0.8004246284501062,-0.010763663103674492,0.0031797442638935025,0.00024102686653607042
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,95,0.14858685144830672,0.21797494035374715,0.7263157894736842,0.08559922118175334,0.14599417810362855,0.2134590529066923,0.8526315789473684,0.12309487424995769,0.14858685144830672,0.21797494035374715,0.7263157894736842,0.08559922118175334,0.1532938759468087,0.2214050709146818,0.7578947368421053,0.056594119062228554,0.14873384632720224,0.21828581474062142,0.7789473684210526,0.0829891368431327,0.15202701055869364,0.2187679408581008,0.8105263157894737,0.07893387438406851,0.14956076130723708,0.21679840421409452,0.8526315789473684,0.0954436751906329,-0.00014699487889552332,-0.000826914980034843
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.0762027052491135,0.09659296916564185,0.4393939393939394,0.2299127375244039,0.07359794147623622,0.09529725251045408,0.45454545454545453,0.2504343647219135,0.0762027052491135,0.09659296916564185,0.4393939393939394,0.2299127375244039,0.08563353873116027,0.10563866169263444,0.4393939393939394,0.0789256479703162,0.082299363841508,0.101969800728218,0.4393939393939394,0.14179300662152972,0.08442342100003457,0.10338425190370953,0.4393939393939394,0.11781902616548257,0.07954808736132078,0.09824837840761218,0.45454545454545453,0.20329106063154545,-0.006096658592394499,0.0027512764801872203
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.13985181924375156,0.1732745941156245,0.2982456140350877,-1.4296039725722025,0.13831350297668574,0.17316954848332494,0.2982456140350877,-1.4266590293157249,0.1394672401769851,0.17323401698584642,0.2807017543859649,-1.4284661853181557,0.0960272258486349,0.1320205512808044,0.7368421052631579,-0.4104210869806806,0.1275783470448765,0.16172172380421493,0.3333333333333333,-1.1164228039934962,0.10412510326868128,0.14102671695197408,0.45614035087719296,-0.6094166880536673,0.13052126130904207,0.16421383958949687,0.2982456140350877,-1.1821531130534177,0.011888893132108613,-0.0029429142641655692
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.11674862552014956,0.1660343006083526,0.65,-0.7908828125585874,0.12200662707733075,0.17092452772540798,0.675,-0.8979305279877501,0.11795612166674489,0.16722605086769876,0.65,-0.8166840441723486,0.08897191513794071,0.1473622549345235,0.725,-0.41073048470418505,0.10956714534952476,0.1605281849457666,0.725,-0.674071969818256,0.0845804792769408,0.14306169551273376,0.725,-0.32959162208780723,0.10843471881403435,0.15935797475372734,0.675,-0.649753801465597,0.008388976317220131,0.0011324265354904078
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.06812851210025318,0.11071960370702788,0.6923076923076923,0.2013796752769711,0.06746721850293404,0.11068724289096409,0.717948717948718,0.2018464440832386,0.06746721850293404,0.11068724289096409,0.717948717948718,0.2018464440832386,0.07661647005251741,0.1098386771829376,0.6410256410256411,0.2140373627348826,0.06997797608999554,0.1095120230797066,0.6410256410256411,0.21870522955359695,0.07510866500441765,0.10762604646105838,0.6410256410256411,0.24538386361607445,0.07078195735749569,0.10803502760480549,0.6410256410256411,0.23963785381664326,-0.002510757587061499,-0.0008039812675001562
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.10060463222336309,0.1279051603173508,0.8333333333333334,0.15912729967714256,0.10545740925195139,0.12906243919045443,0.8333333333333334,0.14384212125488527,0.1017621232014097,0.12804463043377548,0.8333333333333334,0.15729249405399404,0.22081509426766585,0.2619794166752211,0.5,-2.527674142667134,0.12721842479821108,0.14736803019721337,0.8333333333333334,-0.1162479575632187,0.20124121875420925,0.25327301262072394,0.5,-2.2970987342128937,0.12339712849698153,0.14329191741058156,0.8333333333333334,-0.05535241509396416,-0.025456301596801373,0.003821296301229543
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,26,0.06219434217024874,0.08108686120713791,0.6153846153846154,-0.06822164975874467,0.06411844905932876,0.0832476458280049,0.6153846153846154,-0.12591166356174255,0.06411844905932876,0.0832476458280049,0.6153846153846154,-0.12591166356174255,0.06796561362507945,0.08565425495346013,0.6538461538461539,-0.19195066420493312,0.06363716003395642,0.08116720029166677,0.6538461538461539,-0.07033943955599575,0.07063023499964896,0.08870760113486575,0.6538461538461539,-0.27844505142453957,0.06620262215315377,0.0828668723175503,0.6538461538461539,-0.11563541228908591,0.000481289025372339,-0.002565462119197351
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.13394155833075405,0.1867060549121052,0.52,-0.47024705383196563,0.13951882319542955,0.19192504074677932,0.52,-0.5535913549639249,0.13394155833075405,0.1867060549121052,0.52,-0.47024705383196563,0.11678664844867534,0.16270701713684954,0.52,-0.11657032035588255,0.12087685967857832,0.16838320673375393,0.52,-0.1958344625207642,0.1146497004318213,0.15757384930096086,0.52,-0.04722934087789055,0.12427119294907685,0.1714638648403304,0.52,-0.2399915629404823,0.01306469865217573,-0.0033943332704985257
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,22,0.24197119758093033,0.30341409444803463,0.8181818181818182,-0.3503227641522977,0.23887337815950335,0.2997335415620658,0.8181818181818182,-0.3177613858958632,0.23887337815950335,0.2997335415620658,0.8181818181818182,-0.3177613858958632,0.2327173850457041,0.2990622182968942,0.8181818181818182,-0.31186512758314655,0.23963103759959978,0.30208002592604183,0.8181818181818182,-0.3384745156575897,0.2391465665356121,0.3026083138299652,0.8181818181818182,-0.3431601495020009,0.23985664457445413,0.3025297246560511,0.8181818181818182,-0.3424625867797575,-0.0007576594400964254,-0.00022560697485435321
