feature_set,split_seed,fold,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor,blend_selection
geometry,104729,0,992,10368,124,6,0.5816532258064516,0.8286191284211115,0.020063906916001614,0.9345002823263695,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6823765656591853, ""dist_medoid_l1@0.25"": 0.6784730105642143, ""dist_medoid_l1@0.5"": 0.6671137598926704, ""dist_medoid_l1@0.75"": 0.6675038534848575, ""dist_medoid_l1@1.0"": 0.6581725079472909, ""dist_centre_l2@0.0"": 0.6823765656591853, ""dist_centre_l2@0.25"": 0.6742989561601752, ""dist_centre_l2@0.5"": 0.664274463567978, ""dist_centre_l2@0.75"": 0.6506340516183492, ""dist_centre_l2@1.0"": 0.6423252431818848}"
geometry,104729,1,600,5232,75,7,0.6466666666666666,0.8286191284211115,0.015918810895688255,0.949341649025257,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5668906271833791, ""dist_medoid_l1@0.25"": 0.5531306021661897, ""dist_medoid_l1@0.5"": 0.5470148962922705, ""dist_medoid_l1@0.75"": 0.5319746519485872, ""dist_medoid_l1@1.0"": 0.5344463397992077, ""dist_centre_l2@0.0"": 0.5668906271833791, ""dist_centre_l2@0.25"": 0.5399020725927972, ""dist_centre_l2@0.5"": 0.5437020016879055, ""dist_centre_l2@0.75"": 0.536480450747902, ""dist_centre_l2@1.0"": 0.5262143070070116}"
geometry,104729,2,1000,10704,125,9,0.589,0.7507138340004152,0.017976621700517326,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6971758037316759, ""dist_medoid_l1@0.25"": 0.665480362013613, ""dist_medoid_l1@0.5"": 0.6490772539222589, ""dist_medoid_l1@0.75"": 0.6418145157798448, ""dist_medoid_l1@1.0"": 0.6303554163168231, ""dist_centre_l2@0.0"": 0.6971758037316759, ""dist_centre_l2@0.25"": 0.656854221453943, ""dist_centre_l2@0.5"": 0.6499911142603886, ""dist_centre_l2@0.75"": 0.637993132005481, ""dist_centre_l2@1.0"": 0.6186220147937799}"
geometry,104729,3,1016,10568,127,7,0.5787401574803149,0.8286191284211115,0.01986847189840951,0.9369749612033815,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7386577619529271, ""dist_medoid_l1@0.25"": 0.7124207489017833, ""dist_medoid_l1@0.5"": 0.6860591599126233, ""dist_medoid_l1@0.75"": 0.6851312736355838, ""dist_medoid_l1@1.0"": 0.6637894946639724, ""dist_centre_l2@0.0"": 0.7386577619529271, ""dist_centre_l2@0.25"": 0.7004605891050726, ""dist_centre_l2@0.5"": 0.6818199414674102, ""dist_centre_l2@0.75"": 0.667812863383649, ""dist_centre_l2@1.0"": 0.6474796895688899}"
geometry,104729,4,968,10552,121,7,0.5929752066115702,0.8286191284211115,0.01921876854836262,0.9454545454545454,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7053410568777557, ""dist_medoid_l1@0.25"": 0.692743753956773, ""dist_medoid_l1@0.5"": 0.6789004532729052, ""dist_medoid_l1@0.75"": 0.6690491569667223, ""dist_medoid_l1@1.0"": 0.6552592083446485, ""dist_centre_l2@0.0"": 0.7053410568777557, ""dist_centre_l2@0.25"": 0.6920659874969528, ""dist_centre_l2@0.5"": 0.6678001554007076, ""dist_centre_l2@0.75"": 0.6602461160277022, ""dist_centre_l2@1.0"": 0.6390929613498505}"
geometry,130363,0,728,5552,91,7,0.6510989010989011,0.8298065855970234,0.015427303412848783,0.9432665160926031,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6002605463015226, ""dist_medoid_l1@0.25"": 0.5856950052039632, ""dist_medoid_l1@0.5"": 0.5697838456974017, ""dist_medoid_l1@0.75"": 0.5725969108648677, ""dist_medoid_l1@1.0"": 0.577237033269109, ""dist_centre_l2@0.0"": 0.6002605463015226, ""dist_centre_l2@0.25"": 0.5828121963963352, ""dist_centre_l2@0.5"": 0.5705739480170923, ""dist_centre_l2@0.75"": 0.5698902537915457, ""dist_centre_l2@1.0"": 0.5609544203104905}"
geometry,130363,1,992,10640,124,7,0.6028225806451613,0.8298065855970234,0.016413969940021818,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6319508059529779, ""dist_medoid_l1@0.25"": 0.6290388600430767, ""dist_medoid_l1@0.5"": 0.6346924779992248, ""dist_medoid_l1@0.75"": 0.6322370038105275, ""dist_medoid_l1@1.0"": 0.6132762607503586, ""dist_centre_l2@0.0"": 0.6319508059529779, ""dist_centre_l2@0.25"": 0.6284007669622276, ""dist_centre_l2@0.5"": 0.6288080363040761, ""dist_centre_l2@0.75"": 0.6158875011113691, ""dist_centre_l2@1.0"": 0.5960556428312176}"
geometry,130363,2,936,10088,117,8,0.5993589743589743,0.44292194747349584,0.01654462518708569,0.9616501706182262,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6754124931668853, ""dist_medoid_l1@0.25"": 0.6914990904212751, ""dist_medoid_l1@0.5"": 0.6899044908780424, ""dist_medoid_l1@0.75"": 0.6795110094273727, ""dist_medoid_l1@1.0"": 0.655526651050047, ""dist_centre_l2@0.0"": 0.6754124931668853, ""dist_centre_l2@0.25"": 0.6911043780425847, ""dist_centre_l2@0.5"": 0.6889624446662374, ""dist_centre_l2@0.75"": 0.6649828318080718, ""dist_centre_l2@1.0"": 0.6422031139333776}"
geometry,130363,3,952,10232,119,5,0.6144957983193278,0.8298065855970234,0.015552528323593913,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.651527858662939, ""dist_medoid_l1@0.25"": 0.6641513863928277, ""dist_medoid_l1@0.5"": 0.6525066386824638, ""dist_medoid_l1@0.75"": 0.6538951835450355, ""dist_medoid_l1@1.0"": 0.6328788806839144, ""dist_centre_l2@0.0"": 0.651527858662939, ""dist_centre_l2@0.25"": 0.6669956233306479, ""dist_centre_l2@0.5"": 0.6567522206377682, ""dist_centre_l2@0.75"": 0.6302234104666656, ""dist_centre_l2@1.0"": 0.6131356386638528}"
geometry,130363,4,968,10912,121,9,0.5929752066115702,0.8298065855970234,0.015591676687476052,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.673221933158904, ""dist_medoid_l1@0.25"": 0.6673264259558443, ""dist_medoid_l1@0.5"": 0.6568251894757405, ""dist_medoid_l1@0.75"": 0.6572871161009401, ""dist_medoid_l1@1.0"": 0.6329822860257222, ""dist_centre_l2@0.0"": 0.673221933158904, ""dist_centre_l2@0.25"": 0.6686261500135311, ""dist_centre_l2@0.5"": 0.6614199085237472, ""dist_centre_l2@0.75"": 0.6527627224142585, ""dist_centre_l2@1.0"": 0.6286816765428243}"
