axis,metric,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
extractant,slope_abs_error,GEN10_MF_025 vs GEN9_A0_ROW_ONLY,0.4821658492444997,0.1709447785484167,0.604783887694404,0.2525845139694701,0.6331414678227453,0.2938575953190439,25,23,5,5
extractant,slope_abs_error,GEN10_MF_025 vs REC_ecfp_plus_recovered,0.5087076859612005,0.20299346402020962,0.5997113360270592,0.3053013345013348,0.6207665479123532,0.32486918751213495,25,23,5,5
extractant,slope_abs_error,GEN10_MF_050 vs GEN9_A0_ROW_ONLY,0.4928462390198589,0.16614946791763677,0.5943183250896762,0.2790801064525079,0.6189755632612914,0.29872569694992424,25,23,5,5
extractant,slope_abs_error,GEN10_MF_050 vs REC_ecfp_plus_recovered,0.5193880757365599,0.19889697230574188,0.593039351896613,0.3172232648446738,0.6089453200214738,0.3297372891430153,25,23,5,5
extractant,slope_abs_error,GEN10_MF_100 vs GEN9_A0_ROW_ONLY,0.4197402636612037,0.1373980652684822,0.4788391075151552,0.19804401146111322,0.4862074681138939,0.25724557316253327,25,20,5,5
extractant,slope_abs_error,GEN10_MF_100 vs REC_ecfp_plus_recovered,0.4462821003779046,0.15442768904921428,0.5375683940178548,0.19735573991698505,0.5527522504218625,0.2882571653556243,25,20,5,5
extractant,slope_abs_error,GEN10_MF_SQRT vs GEN9_A0_ROW_ONLY,0.12034298049029642,-0.23564207850456337,0.29697989510660283,-0.23439970505479354,0.2970775013600563,0.13524008529830273,25,18,5,5
extractant,slope_abs_error,GEN10_MF_SQRT vs REC_ecfp_plus_recovered,0.14688481720699736,-0.1397192619202755,0.29364591521456773,-0.13911286813867665,0.2940262499770851,0.16625167749139375,25,18,5,5
extractant,slope_abs_error,GEN10_REP_32 vs GEN9_A0_ROW_ONLY,0.8817840704377763,0.5832030090711501,0.9879408936655982,0.6678185878426807,1.0242101068207232,0.7394285254214727,25,22,5,5
extractant,slope_abs_error,GEN10_REP_32 vs REC_ecfp_plus_recovered,0.908325907154477,0.6193827581118451,1.0065361311587286,0.6478825347337622,1.019311498434585,0.7704401176145638,25,22,5,5
extractant,slope_abs_error,GEN10_REP_8 vs GEN9_A0_ROW_ONLY,0.8195577702395594,0.4626109781489617,0.9517059686485945,0.5718932871547051,0.9859803171730482,0.629847384902559,25,23,5,5
extractant,slope_abs_error,GEN10_REP_8 vs REC_ecfp_plus_recovered,0.8460996069562604,0.501374967425785,0.9515437661841611,0.6120702567416928,0.9800280215968095,0.6608589770956501,25,23,5,5
extractant,slope_abs_error,GEN9_A0_ROW_ONLY vs REC_ecfp_plus_recovered,0.02654183671670095,-0.011521727331755481,0.09652918694795523,-0.012890361633490485,0.09263637922501354,0.031011592193091055,25,14,4,5
extractant,slope_abs_error,GEN9_A1_ADJ_d05 vs GEN9_A0_ROW_ONLY,-0.0905330355990444,-0.3488999018010909,0.0715096174745514,-0.3544367359597203,0.06272657474849863,-0.014686305789362183,25,12,2,5
extractant,slope_abs_error,GEN9_A1_ADJ_d05 vs REC_ecfp_plus_recovered,-0.06399119888234343,-0.2545589633331733,0.09183444052635627,-0.2632837425674557,0.07800606102856589,0.016325286403728878,25,14,2,5
extractant,slope_abs_error,GEN9_A2_END_d05 vs GEN9_A0_ROW_ONLY,-0.25075082950897604,-0.6128597276990861,0.06220498556020859,-0.636986758413317,0.03401641013327108,-0.09607553601246151,25,11,1,5
