data_cohort,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
FROZEN,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED,0.000680519263796768,-0.004757640212929611,0.005564587771219178,-0.004683436364316031,0.005639597304104542,0.0005667729091737323,152,71,4,5
FROZEN,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered,0.013954717351661478,0.00023729892790800262,0.027440542280298352,0.0015614779848170117,0.029369481205469637,0.008956580741717644,152,76,5,5
FROZEN,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED,0.00020157836032804423,-0.005408089776902222,0.0058614095901536566,-0.004809708966856888,0.006845108468254225,-0.0003386137884697219,152,65,2,5
FROZEN,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered,0.013475776448192752,-0.0005056761844251395,0.0275787905655599,0.0011722725851400508,0.030203609249825212,0.008051194044074192,152,71,5,5
FROZEN,GEN10_REC_RANK_vs_GEN9_SHAPE_RECOMPOSED,0.0003571487643032203,-0.003032890189375792,0.005027577069840085,-0.0026329119063654947,0.0059207520369788545,-0.0002668481820601648,152,66,3,5
FROZEN,GEN10_REC_RANK_vs_REC_ecfp_plus_recovered,0.01363134685216793,0.0016941788003866146,0.026658347280161664,0.0036589259744567145,0.02955695728850892,0.008122959650483748,152,75,5,5
FROZEN,GEN10_REC_GEN9_PLUS_vs_GEN9_SHAPE_RECOMPOSED,0.0007477684954063733,-0.0009966616454412135,0.002312582513677582,-0.001263739768395676,0.002128282032198333,0.0009773277087178332,152,73,5,5
FROZEN,GEN10_REC_GEN9_PLUS_vs_REC_ecfp_plus_recovered,0.014021966583271083,0.0031828134749212343,0.024620303200757157,0.004316044452265317,0.026074069725268798,0.009367135541261744,152,82,5,5
FROZEN,GEN10_LEVEL_SHAPE_vs_GEN9_SHAPE_RECOMPOSED,-0.016127799667593718,-0.039703368716911255,0.005156765228925184,-0.053102579909021425,-9.594216618254271e-05,-0.00900245899878938,152,66,0,5
FROZEN,GEN10_LEVEL_SHAPE_vs_REC_ecfp_plus_recovered,-0.0028536015797290116,-0.027684018403554986,0.0201905975154713,-0.03474302292581277,0.016623014267295327,-0.0006126511662454681,152,81,2,5
QUARANTINED,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED,0.0006810973049441646,-0.00475762648445236,0.00556529938897352,-0.00468132623837257,0.005644447504509497,0.0005678850896092294,152,71,4,5
QUARANTINED,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered,0.013958879417458348,0.00024243907916713886,0.027448653625590742,0.0015658385640388809,0.029379678416530518,0.008964588767048334,152,76,5,5
QUARANTINED,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED,0.0002019447107283964,-0.005408081021358062,0.005861862032898092,-0.0048084865195483235,0.00684604875903849,-0.00033790891175005695,152,65,2,5
QUARANTINED,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered,0.013479726823242581,-0.0005007564736488002,0.027603847772182458,0.0011776685619637162,0.030205171838883507,0.008058794765689048,152,71,5,5
QUARANTINED,GEN10_REC_RANK_vs_GEN9_SHAPE_RECOMPOSED,0.00035748984456732293,-0.0030322024601902135,0.005027888729737496,-0.0026324791720969097,0.005921672929853849,-0.0002661919263621447,152,66,3,5
QUARANTINED,GEN10_REC_RANK_vs_REC_ecfp_plus_recovered,0.013635271957081507,0.0016941788003866146,0.026666197458059336,0.003664791633154827,0.02956111221558286,0.00813051175107696,152,75,5,5
QUARANTINED,GEN10_REC_GEN9_PLUS_vs_GEN9_SHAPE_RECOMPOSED,0.0007502822234492471,-0.0009942303539713523,0.0023220429828981416,-0.001265406405559725,0.0021300652372313474,0.0009821642487496916,152,73,5,5
QUARANTINED,GEN10_REC_GEN9_PLUS_vs_REC_ecfp_plus_recovered,0.014028064335963434,0.003198438688233764,0.024620506459180232,0.004325572075257124,0.026079763333547737,0.009378867926188795,152,82,5,5
QUARANTINED,GEN10_LEVEL_SHAPE_vs_GEN9_SHAPE_RECOMPOSED,-0.01606839280776702,-0.03962917881519003,0.005270917228728996,-0.052884992146231435,-2.8592371604836065e-05,-0.008888157192540543,152,66,0,5
QUARANTINED,GEN10_LEVEL_SHAPE_vs_REC_ecfp_plus_recovered,-0.0027906106952528386,-0.027644017490424853,0.0201905975154713,-0.03468812578642968,0.016679173156273108,-0.0004914535151014386,152,81,2,5
CORRECTED,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED,0.0006805774091175982,-0.004757638831978241,0.005564659353048293,-0.004683378447048422,0.005639712893612582,0.0005668847837150763,152,71,4,5
CORRECTED,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered,0.013956611947881555,0.0002396387542397996,0.027445153292501315,0.0015634540660085803,0.029374130605915212,0.008960226040773997,152,76,5,5
CORRECTED,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED,0.00019784193024733652,-0.005413607183300444,0.00585679509900398,-0.004821426997332258,0.006830487330238791,-0.0003458028691313367,152,64,2,5
CORRECTED,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered,0.013473876469011293,-0.0005080423769855786,0.027566739008346247,0.0011723041451353348,0.030203621551219185,0.008047538387927586,152,71,5,5
CORRECTED,GEN10_REC_RANK_vs_GEN9_SHAPE_RECOMPOSED,0.00035568688528040006,-0.00303583781483405,0.00502517591026968,-0.0026328402891635395,0.005919132408402661,-0.0002696609113192621,152,65,3,5
CORRECTED,GEN10_REC_RANK_vs_REC_ecfp_plus_recovered,0.013631721424044358,0.0016941788003866146,0.02665911295674217,0.0036594868803243494,0.02955735390138888,0.008123680345739659,152,75,5,5
CORRECTED,GEN10_REC_GEN9_PLUS_vs_GEN9_SHAPE_RECOMPOSED,0.0007506270166321904,-0.0009938968681247298,0.002322415861883404,-0.0012654263443935463,0.002130685689422634,0.0009828276482915573,152,73,5,5
CORRECTED,GEN10_REC_GEN9_PLUS_vs_REC_ecfp_plus_recovered,0.014026661555396149,0.0031948441269748313,0.024620459699827988,0.0043241843409617085,0.026077216338678127,0.00937616890535048,152,82,5,5
CORRECTED,GEN10_LEVEL_SHAPE_vs_GEN9_SHAPE_RECOMPOSED,-0.015770212026271723,-0.03925109582050449,0.005697708774619305,-0.05210133173587903,0.0004620433223021994,-0.008314442271182502,152,66,0,5
CORRECTED,GEN10_LEVEL_SHAPE_vs_REC_ecfp_plus_recovered,-0.0024941774875077666,-0.027218553672238396,0.02045599323424816,-0.034345083934982194,0.01698865689048324,7.889898587642153e-05,152,81,2,5
