data_cohort,model,axis_label,split_seed,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
CORRECTED,GEN10_LEVEL_SHAPE,acid,169954.6,421.0,394.0,68.0,1.7865055227105402,0.45555484873797136,1.5901937768025314,1.2889726815390592,0.2672246114129459,0.11024927035716248,0.20561280831912274,0.8223277909738718,2.0081944786152714,0.708564154202831,0.3211356132126969,0.3280515484931107,0.10161631717921957,0.543918996948256,0.2992096527205699,0.5833568114079458,0.524513442611805,0.5868501639342095,0.7800865781390482,1.1994487642829896,5.0,5.0,1.0,0.9200200434995589,0.9254499680935993
CORRECTED,GEN10_LEVEL_SHAPE,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-4.364647216909995e-05,0.0037927543666210367,0.001167529351342349,1.1887452242534132e-14,0.18891690429568253,0.4000000000000001,0.525,0.06287846248431395,0.051596009020094744,,0.41460490443971343,,,,0.07899514111254946,0.03733931046350893,0.019087428362998777,0.5104166666666666,2.1083515828737904,3.4,5.0,0.6533333333333333,0.5241175653870143,0.1646628381999693
CORRECTED,GEN10_LEVEL_SHAPE,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.1232947889068303,1.5260931276564307,1.5149606106109235,0.3789915896082633,0.3522099680535765,0.3830427500265093,0.9548387096774194,2.073913043478258,1.0281160504725908,0.4229498346800713,0.4229498346800713,0.30706456819251543,0.667090496950528,0.41927575507914305,0.4765235708993525,0.4520878887996288,0.8569927517163027,0.9127087715152232,1.1308923360032035,5.0,5.0,1.0,0.955389722793776,0.9940258395786431
CORRECTED,GEN10_LEVEL_SHAPE,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.012834636177621931,0.8587763589848698,1.1284385972775792,-0.004736049827326726,0.09369285243082116,0.019999999999999997,0.3555555555555555,0.72923076923077,0.01263413104935025,0.022204641064533525,0.0218656036008835,0.010193216297483024,0.05473463989217346,0.023998630206878306,0.2720301212797434,0.23415256757897335,-0.22182176784497912,0.4099775297324316,0.4988680453193055,4.6,8.0,0.65,0.5287306257665021,0.7515429813530872
CORRECTED,GEN10_LEVEL_SHAPE,metal_series,169954.6,321.0,242.0,84.0,0.0856338783168053,0.0780689950008296,0.09635147708880121,0.072649971686742,0.5566291157708901,0.13217011879169638,0.17883031761564067,0.7800623052959501,1.0261096605744122,0.9244228838582904,0.5820742763449761,0.6763531916035921,0.34564263153346203,0.8960726529921678,0.5676936878014941,0.30349028954743523,0.25390350371184817,0.4935354215799098,0.726711647103702,1.0953036789471384,8.0,8.0,1.0,0.9004484276213931,0.874586388178975
CORRECTED,GEN10_LEVEL_SHAPE,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0006864603277922617,0.03923114200383863,0.04358051218381002,-0.01850502924479853,0.12962762722989654,0.20527859237536655,0.41875,1.1765941508309075,0.19673864234672067,0.18031647105055043,0.18031647105055043,0.10014196047734822,0.4186147700607477,0.18421123901805223,0.41755337000127823,0.3944763953329854,0.09516411101324182,0.5617708333333333,1.3293629477168563,4.0,4.0,0.865,0.3134865932751126,0.9893613987029377
CORRECTED,GEN10_REC_ALL,acid,169954.6,421.0,394.0,68.0,1.7865055227105402,0.7557247637517541,1.4208193422006343,1.0495873049013,0.4570485706657994,0.16141342699580288,0.2725685127119871,0.8418052256532066,2.0081944786152714,0.9892320308996929,0.48201473990909494,0.5010888218469342,0.23232773978277965,0.7861897473343299,0.47908350990730975,0.5391894484676657,0.47447629315144635,0.6228646779695103,0.7976736140505685,1.2064473109271954,5.0,5.0,1.0,0.9648010920524175,0.9254499680935993
CORRECTED,GEN10_REC_ALL,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-1.2368841607557051e-05,0.004572811746083686,0.0010336065535440924,1.4196641387558265e-14,0.17180450285213686,0.35714285714285715,0.55,0.06287846248431395,0.062092083704035884,,0.42469953012030837,,,,0.07936690846531025,0.03587360523812241,0.16768034541063256,0.545625,1.8933461608539521,3.2,5.0,0.6266666666666667,0.5550166328722288,0.1646628381999693
CORRECTED,GEN10_REC_ALL,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.8884166293268336,1.1935566500627197,1.1319767914938539,0.6373487476413541,0.38713906825326455,0.410424100435263,0.9638709677419355,2.073913043478258,1.6785924975064532,0.6570380140813955,0.6570380140813955,0.46838786715802305,1.0341458754273274,0.6745591988982752,0.38318323883080596,0.3523268322796668,0.8829623759933533,0.9241744062389223,1.0202150886484904,5.0,5.0,1.0,0.9698948544764319,0.9940258395786431
CORRECTED,GEN10_REC_ALL,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.0020289545279892013,0.8470614068630427,1.1188561703361877,0.0008235277721174768,0.15233254645555055,0.06666666666666668,0.6,0.72923076923077,0.00838330805315319,0.010213915561527254,0.012391981097855215,0.006310887856769138,0.020941014317375863,0.011477088394878945,0.2747140734066578,0.23593844916640316,0.03199207684196762,0.523708796649973,0.5338383034847454,4.2,8.0,0.5833333333333333,0.4061999815262506,0.7515429813530872
