k,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
0,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED@k0,0.004472638457358,-5.058044004414964e-05,0.0080884208732985,0.0006761868589393,0.0088808351040234,0.0024629481965493,99,56,5,5
0,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered@k0,0.0292035740908626,0.0171169331157653,0.0427559207987408,0.01805637519481,0.0446353187299518,0.02662289701308,99,66,5,5
0,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED@k0,0.0045955933510767,-0.0004538003638183,0.0089264414875649,0.0004322927814855,0.0103612652572444,0.0022038703686242,99,57,5,5
0,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered@k0,0.0293265289845813,0.0167907769273446,0.0434247508899895,0.017945205994618,0.0456057229248417,0.0263638191851549,99,63,5,5
0,GEN10_REC_RANK_vs_GEN9_SHAPE_RECOMPOSED@k0,0.0025167707686962,-0.0003825571517661,0.0063137098019704,0.0003237555610373,0.00755883032147,0.0015550968133547,99,56,4,5
0,GEN10_REC_RANK_vs_REC_ecfp_plus_recovered@k0,0.0272477064022008,0.0166774947140913,0.040950445447272,0.0175609636840739,0.0427569303250697,0.0257150456298854,99,68,5,5
0,GEN10_REC_GEN9_PLUS_vs_GEN9_SHAPE_RECOMPOSED@k0,0.0013534224064606,0.0003362639959745,0.0027342185682073,0.0004907752696465,0.0031329370443124,0.0015692427189123,99,55,5,5
0,GEN10_REC_GEN9_PLUS_vs_REC_ecfp_plus_recovered@k0,0.0260843580399652,0.0162586236447333,0.0388289145946146,0.0169955349071528,0.0397412761991862,0.025729191535443,99,71,5,5
0,GEN10_LEVEL_SHAPE_vs_GEN9_SHAPE_RECOMPOSED@k0,-0.029926279184357,-0.0642246482795232,0.0041163185034174,-0.0833495512613174,-0.0051633112175112,-0.0192512493825603,99,35,0,5
0,GEN10_LEVEL_SHAPE_vs_REC_ecfp_plus_recovered@k0,-0.0051953435508524,-0.0393314178830661,0.0314679916634024,-0.0524214265000008,0.0232408404274372,0.0049086994339703,99,48,1,5
1,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED@k1,0.0020390267193119,-0.0053004763626465,0.0135873200059511,-0.0061677984388351,0.0123393642092844,0.0072599310348695,99,50,4,5
1,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered@k1,0.0233490557278936,0.0047021708307017,0.0557535321041103,0.0008547321783931,0.0494199377447084,0.0333507751059995,99,61,5,5
1,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED@k1,0.0008593292984594,-0.0076779587334845,0.0152281422855453,-0.0091664698457802,0.0130014068519097,0.0076931884286545,99,55,2,5
1,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered@k1,0.022169358307041,0.0023967969547039,0.0569744313149829,-0.0018823802065227,0.0498609466588015,0.0337840324997844,99,59,5,5
