comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
LEARNED_BLEND[geometry] vs MEDOID,-0.0056832553663741,-0.015676272597747,0.006898184196841,-0.0153117337969048,0.0075933427938335,-0.0093060809367142,143,53,0,5
LEARNED_BLEND[geometry] vs CENTRAL,-0.0025474254324838,-0.0049392486199783,0.0005871424842692,-0.0055566843101032,5.45465592311356e-05,-0.0021666415097792,143,29,0,5
LEARNED_BLEND[geometry] vs RANDOM,0.0574229828173378,0.0179188367357503,0.0856243872663305,0.0257491200003409,0.0936720988498758,0.0346694059919234,143,90,5,5
LEARNED_BLEND[geometry] vs MIN_GP_DESIGN_VAR,0.0213803439161432,-0.0097181400405768,0.0411353349968367,-0.0040234492235835,0.0448657454761275,0.0064758065692131,143,71,5,5
LEARNED_BLEND[geometry+prediction] vs MEDOID,-0.0097269066160149,-0.019450704948346,0.004080991052067,-0.0201533517435397,0.003247021921475,-0.0110555976420526,143,47,0,5
LEARNED_BLEND[geometry+prediction] vs CENTRAL,-0.0065910766821246,-0.0110765648539955,-0.0002256904539508,-0.0127052420412293,-0.0013968003874534,-0.0039161582151176,143,36,0,5
LEARNED_BLEND[geometry+prediction] vs RANDOM,0.053379331567697,0.0154206017921589,0.0800682725348113,0.0233780068681485,0.0872002902067137,0.0329198892865851,143,90,5,5
LEARNED_BLEND[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.0173366926665024,-0.0112048154906974,0.0353218218264251,-0.0059992767920392,0.0380708940995293,0.0047262898638747,143,70,5,5
LEARNED_SCALAR[geometry] vs MEDOID,-0.0118581516774173,-0.033400628603345,0.0203138591818058,-0.0365255189210995,0.0151582990629063,0.0031697037769108,143,69,1,5
LEARNED_SCALAR[geometry] vs CENTRAL,-0.008722321743527,-0.028409343789193,0.0213790961793207,-0.030882632560712,0.0169851673618192,0.0103091432038458,143,71,2,5
LEARNED_SCALAR[geometry] vs RANDOM,0.0512480865062946,0.0151805985817419,0.0767009689633601,0.0218438378491966,0.0833353879709725,0.0471451907055485,143,97,5,5
LEARNED_SCALAR[geometry] vs MIN_GP_DESIGN_VAR,0.0152054476051,-0.0119781200214821,0.0363123879898358,-0.01093454712679,0.0371986664241898,0.0189515912828382,143,80,4,5
LEARNED_RANK[geometry] vs MEDOID,-0.0192812803076145,-0.0377622273788553,0.0053611569386465,-0.03905227485283,0.0034236095302373,-0.0230370726106311,143,72,1,5
LEARNED_RANK[geometry] vs CENTRAL,-0.0161454503737243,-0.0341625568401207,0.0060313329961511,-0.0362896819271522,0.0036420626815493,-0.0158976331836961,143,70,1,5
LEARNED_RANK[geometry] vs RANDOM,0.0438249578760973,0.0039479003739639,0.0695121125586128,0.0109431848648186,0.0748069851991883,0.0209384143180066,143,90,5,5
LEARNED_RANK[geometry] vs MIN_GP_DESIGN_VAR,0.0077823189749027,-0.0263550409870672,0.0308837967059312,-0.024552744921176,0.031643947360788,-0.0072551851047037,143,85,4,5
LEARNED_RANK[geometry+prediction] vs MEDOID,-0.025101636275265,-0.0471341093263474,-0.0029789791743018,-0.0474643589497578,-0.0032698845178023,-0.0329517039824129,143,62,0,5
LEARNED_RANK[geometry+prediction] vs CENTRAL,-0.0219658063413747,-0.0443384730981908,-0.0016028677119742,-0.0485929278262221,-0.0032625288421178,-0.025812264555478,143,67,0,5
LEARNED_RANK[geometry+prediction] vs RANDOM,0.0380046019084469,-0.0074685227394414,0.0682973545509053,0.0021191789128123,0.0751034780895161,0.0110237829462247,143,89,5,5
LEARNED_RANK[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.0019619630072523,-0.0363155939063924,0.0256708547301652,-0.0308395774406773,0.0291140319276759,-0.0171698164764855,143,80,3,5
LEARNED_SCALAR[geometry+prediction] vs MEDOID,-0.0366536927198784,-0.0647037334071629,0.0064532131376625,-0.0727234174896656,-0.0030623132580605,-0.0141622562307281,143,53,0,5
LEARNED_SCALAR[geometry+prediction] vs CENTRAL,-0.0335178627859882,-0.0589835969582823,0.0079585223316962,-0.0658030925607703,-0.0019214127358747,-0.0070228168037932,143,58,0,5
LEARNED_SCALAR[geometry+prediction] vs RANDOM,0.0264525454638334,-0.0020815921927308,0.0538839399284775,0.0021125764584876,0.059389033939178,0.0298132306979095,143,92,5,5
LEARNED_SCALAR[geometry+prediction] vs MIN_GP_DESIGN_VAR,-0.0095900934373611,-0.0289612657499884,0.0160419732763752,-0.0279288881658334,0.0177344655810807,0.0016196312751992,143,72,2,5
ORACLE vs LEARNED_BLEND[geometry],0.1714619492889414,0.1341417396807302,0.2020910567950872,0.1386114212502154,0.205529989040214,0.1685701572832438,143,143,5,5
