axis,candidate,reference,metric,n_curves,n_ligands,n_publications,curves_improved,scheme,point,ci_low,ci_high,n_blocks,ci_width,positive
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,chemotype,0.1956207819916703,0.117976474953066,0.2027544694556133,8.0,0.0847779945025472,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,publication,0.1956207819916703,0.1403665220710915,0.2567198594270797,32.0,0.1163533373559881,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,ligand,0.1956207819916703,0.1453999508975431,0.2319027914974803,25.0,0.0865028405999371,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,two_factor,0.1956207819916703,0.1396534077005702,0.2576315258450656,,0.1179781181444954,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.935483870967742,chemotype,0.9225934815533632,0.5081841316852631,0.9515592585426544,8.0,0.4433751268573912,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.935483870967742,publication,0.9225934815533632,0.6400099956554387,1.1954694945405626,32.0,0.5554594988851239,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.935483870967742,ligand,0.9225934815533632,0.5809678814939088,1.1878789839735235,25.0,0.6069111024796148,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.935483870967742,two_factor,0.9225934815533632,0.636219568387019,1.1984578301445703,,0.5622382617575515,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,chemotype,0.1222873209182139,0.0657393611156987,0.1307978424345401,8.0,0.0650584813188414,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,publication,0.1222873209182139,0.0757331457811895,0.1799488483324556,32.0,0.104215702551266,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,ligand,0.1222873209182139,0.0479787922953232,0.1719285802486843,25.0,0.123949787953361,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,two_factor,0.1222873209182139,0.0760710830719598,0.1794564986535873,,0.1033854155816274,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9806451612903224,chemotype,0.3776458370364204,0.2576301575169273,0.3863577175769806,8.0,0.1287275600600532,True
