arm,axis_label,n_comparisons,n_ligands,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
FROZEN,acid,276,65,0.10974708198911622,0.3370947247274174,0.41803327304398524,0.7325064946336205,0.23891949724837092,0.5866516887957645,0.7719494511564412,1.534662871073103,0.1581358611686375,0.4934814778438311,0.6566045164320791,0.9036198483807186
FROZEN,extractant,84,17,0.04797045521042631,0.12799620929121677,0.14198678959798192,0.16762900969863395,0.10336552851420605,0.21852519621882452,0.25734880310778446,0.31628813248871956,0.12285954151795035,0.28262244772702094,0.3632710552983044,0.4722394391536583
RECOMPOSED_ALL,acid,276,65,0.05885590838464108,0.27668524603187966,0.41868873701981174,0.6949389781497347,0.12353881890500618,0.6770695567426854,0.8099670986804759,1.7485752874433755,0.2101999510882302,0.5582196869004545,0.7157851633215939,1.0923138696794024
RECOMPOSED_ALL,extractant,84,17,0.05675761029819162,0.2675669876969979,0.3668907313962455,0.7507538232822045,0.09991449904139782,0.8211092806807714,0.9672532478178968,1.4326481394612265,0.13115216851987246,0.2977744040230774,0.37812817465950205,0.4572786010982291
RECOMPOSED_HYBRID,acid,276,65,0.06697058839990237,0.2837511081014894,0.4241856962024949,0.6990849671588074,0.14469432476985575,0.6309830264112,0.7253835570734741,1.6279891898525385,0.20728500500810462,0.5509470994534733,0.6993388783991121,0.9887704419785752
RECOMPOSED_HYBRID,extractant,84,17,0.05318713026118737,0.23818676757389665,0.33044505914690825,0.6524639560074552,0.12329481153023589,0.7313298434247316,0.8818166562825205,1.2231183060081983,0.1311521685198725,0.292020332812399,0.3760826083213564,0.45567403510125154
RECOMPOSED_RANK,acid,276,65,0.08663418305399273,0.2999067558834866,0.4206472138348708,0.5911854180852494,0.18817130386731806,0.59589127449749,0.7216799507414307,1.6879797290698977,0.20858490729122992,0.546475321289693,0.673320492275319,0.9605934254502893
RECOMPOSED_RANK,extractant,84,17,0.05211461853768173,0.22802636251074895,0.30844533768791527,0.6953792774958816,0.14903185946236125,0.711481224521978,0.8461918680900195,1.2943681927064903,0.1311521685198725,0.292020332812399,0.368456021613752,0.46040945465165006
SHAPE_RECOMPOSED,acid,276,65,0.12471514051721869,0.3118678724827621,0.3746668919124417,0.5205565703817223,0.2218194732122289,0.6051272923951794,0.7230842751733784,1.1994649314580301,0.2071802393561326,0.5033805554564866,0.6579797185239284,0.8855340878212637
SHAPE_RECOMPOSED,extractant,84,17,0.027281248737589206,0.15852991887476378,0.24459737528089692,0.41479263860831594,0.07604008095877604,0.5527826837634543,0.6893481789262531,1.1977536191556633,0.13329900154360746,0.2843533924924904,0.36481902757591267,0.4892422798806583
