model,failure_class,n_ligands,macro_mae,mean_mae,span_recovery,slope_abs_error,shape_mae
GEN10_SET_ATTENTION,ALREADY_GOOD,82,0.6003119990217375,0.6013052152242301,0.4913204187244866,1.3369709138555284,0.30850164829939125
GEN10_SET_ATTENTION,PARTIAL_LEVEL,7,1.4329549090270433,1.432954909027043,0.415621829623171,1.023468168419456,0.4141988420017049
GEN10_SET_ATTENTION,PURE_LEVEL,25,1.8827800251043094,1.9145494754028516,0.5796092368826365,1.1028626611225243,0.3032637350890699
GEN10_SET_ATTENTION,RESIDUAL_SHAPE,29,1.338975156740305,1.3276427979250922,0.454893842872522,1.6586957821672375,0.5759234075717392
GEN10_SET_MEAN,ALREADY_GOOD,82,0.5929527253254124,0.5950936668588582,0.4671144156449091,1.3434888880483695,0.313513849361845
GEN10_SET_MEAN,PARTIAL_LEVEL,7,1.4479316078656856,1.4479316078656854,0.33447211022456436,1.1537072391409935,0.4451222823623855
GEN10_SET_MEAN,PURE_LEVEL,25,1.8871756134559312,1.918417593152279,0.4801852810957351,1.2550242319528608,0.3376192430476582
GEN10_SET_MEAN,RESIDUAL_SHAPE,29,1.3364963657520217,1.326762821917656,0.36046722134608356,1.8611847962093446,0.6345619644749386
GEN9_A0_ROW_ONLY,ALREADY_GOOD,82,0.5606314313207458,0.5654947394751799,0.05877484309478557,2.2241052118792166,0.4584608011839917
GEN9_A0_ROW_ONLY,PARTIAL_LEVEL,7,1.5234241235964965,1.5234241235964965,0.05259481346625,1.905872182687545,0.6578748455670841
GEN9_A0_ROW_ONLY,PURE_LEVEL,25,1.833293474175103,1.8648843422198635,0.05647688891981724,1.9495863256930026,0.4960430168961555
GEN9_A0_ROW_ONLY,RESIDUAL_SHAPE,29,1.3651737006897338,1.3598360569762438,0.06813259156068685,2.2815319122438456,0.7574046521121546
GEN9_A1_ADJ_d05,ALREADY_GOOD,82,0.5677097894511739,0.5720031995514374,0.09920745617647078,2.2723469376042083,0.486724821070287
GEN9_A1_ADJ_d05,PARTIAL_LEVEL,7,1.5248440175812046,1.5248440175812046,0.0837156130167459,1.8804212568191985,0.645793143473375
GEN9_A1_ADJ_d05,PURE_LEVEL,25,1.8309302041330964,1.8586750067183797,0.10463666916409811,1.9507794344750895,0.5616335612462492
GEN9_A1_ADJ_d05,RESIDUAL_SHAPE,29,1.3803680313760611,1.3780133110604464,0.08909504382722899,2.5038814526950395,0.9048294440947311
GEN9_A2_END_d05,ALREADY_GOOD,82,0.6408437952668936,0.6487130369819438,0.14377566690604396,2.500616189634606,0.5398031585509268
GEN9_A2_END_d05,PARTIAL_LEVEL,7,1.523402315671703,1.523402315671703,0.15112645112249956,1.8205577215105588,0.6322043721252192
GEN9_A2_END_d05,PURE_LEVEL,25,1.8833791431950113,1.8882308755849149,0.19717892587861713,2.126030054947989,0.5881118897956229
GEN9_A2_END_d05,RESIDUAL_SHAPE,29,1.5846971270095815,1.6056028644793898,0.14299472843831054,2.6180324107124884,0.9788306749780327
GEN9_A3_RAND_d05,ALREADY_GOOD,82,0.5853522996472368,0.5922026039130975,0.0982956260553097,2.301325696435437,0.4885392220993056
GEN9_A3_RAND_d05,PARTIAL_LEVEL,7,1.544419876647126,1.5444198766471262,0.08922513377903935,1.8958026497585874,0.655221884374232
