model,axis_label,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
GEN10_SET_ATTENTION,acid,2105,1950,68,1.6557758087863772,0.6657873390285123,1.3579364451895397,1.085133174815538,0.393122134502374,0.1919829805575754,0.2202650163820654,0.792874109263658,1.9269282814614344,0.9212803244590761,0.4555485181590298,0.48722549005250704,0.22739548325067002,0.913462365719663,0.4425051589140719,0.5556496524792502,0.4892083890257439,0.5325402741952998,0.7524573700610276,1.2246381131279318,5.0,5.0,1.0,0.9283205627235873,0.917337219586492
GEN10_SET_ATTENTION,contact_time,40,0,8,0.00014296899524398737,1.859985099914832e-17,0.0017966936120774458,0.0006715408515096427,1.662480004206989e-14,0.2733887761406428,0.2486126604206016,0.6,0.06287846248431395,0.05153269181262255,,0.29685618083454535,,,,0.05066361894181195,0.028894502432332332,0.16768034541063254,0.545625,1.8785752224446681,3.0,5.0,0.6,0.6075098012017563,0.1646628381999693
GEN10_SET_ATTENTION,extractant,775,775,25,2.573675226299942,1.0657308475837721,1.557577058008675,1.4663757362810643,0.3899834679692667,0.3170137879081973,0.30997710565885683,0.9638709677419355,2.073913043478258,0.8517918586730957,0.4050137002804535,0.4050137002804535,0.2687091110670693,0.5870687794690381,0.40027809794235103,0.45150397506071144,0.3989073969573875,0.8770556375704858,0.920730710150065,1.0873020566628389,5.0,5.0,1.0,0.9886115782146695,0.9940258395786431
GEN10_SET_ATTENTION,metal_concentration,45,30,4,-1.1226193871745382,6.048686921312288e-16,0.8472446447208082,1.1195293690207997,0.0005917123893469468,0.1188102631967563,0.013916748518532019,0.5777777777777777,0.72923076923077,0.006240692287574026,0.008034236454030428,0.011044509819555267,0.004890438699622159,0.021271160017192526,0.009029082206804508,0.27296868789990975,0.23077461174908698,0.039143698296165375,0.5237087966499732,0.5352346118901438,4.0,8.0,0.5833333333333334,0.3677986845692335,0.7515429813530872
GEN10_SET_ATTENTION,metal_series,1605,1210,84,0.08443469855079262,0.05443274265243893,0.0921804743305529,0.07549434814499628,0.39867381353655423,0.32446100875607875,0.35367173424946147,0.7582554517133956,1.0261096605744122,0.6676838994026184,0.4890158301123172,0.5565603646533982,0.2969683567014136,0.804061481164769,0.4779520044113199,0.3046608261035761,0.26276408076470603,0.43553099393288247,0.7021126175977018,1.0851566467268168,8.0,8.0,1.0,0.8821061314875687,0.8742223263723046
GEN10_SET_ATTENTION,temperature,160,160,5,-0.04032650561688559,0.002320539752229152,0.04094551164436464,0.043361066137539504,-0.051303332607146285,0.1219032004481218,0.1130489703729496,0.36875,1.1765941508309075,0.2504936416331522,0.22751702190379286,0.22751702190379286,0.09565069572235692,0.3880014534899944,0.23842283125622432,0.4215717039518939,0.4294509595846011,-0.07163868732350334,0.4809375,1.2516985637133586,4.0,4.0,1.0,0.5333333333333361,0.9893613987029377
GEN10_SET_MEAN,acid,2105,1950,68,1.6557758087863772,0.6259854372921966,1.3958732476583802,1.0885628774307095,0.36372532259196877,0.15878387452423637,0.1881507264650092,0.7795724465558195,1.9269282814614344,0.8197678029537201,0.41777485791129876,0.44984992129564794,0.21353882089652781,0.8822216828892907,0.40703005274704307,0.5683137254118876,0.5060479756402383,0.5092251522792903,0.7411555582626974,1.2306575805714328,5.0,5.0,1.0,0.9061771119580971,0.917337219586492
GEN10_SET_MEAN,contact_time,40,0,8,0.00014296899524398737,-2.796173381206447e-18,0.0018013040500061382,0.0006715408515096423,1.319364884825201e-14,0.273023679458888,0.3232606591680257,0.575,0.06287846248431395,0.040988791126261206,,0.3769081431977883,,,,0.05491254879407829,0.02643838242724284,0.18819991245233564,0.5506249999999999,1.8725910421840575,3.0,5.0,0.6,0.6075098012017621,0.1646628381999693
GEN10_SET_MEAN,extractant,775,775,25,2.573675226299942,1.0108490270799522,1.591731748102686,1.5880030845462605,0.3634484725812465,0.3107960704906255,0.340869426862684,0.9587096774193549,2.073913043478258,0.8526576161384583,0.39312045487436104,0.39312045487436104,0.2553851602325029,0.5467700550625703,0.38426594712486384,0.45866579934197327,0.4085121381779131,0.8814687298545458,0.9253841427389814,1.0866585441476104,5.0,5.0,1.0,0.9919950178793489,0.9940258395786431
GEN10_SET_MEAN,metal_concentration,45,30,4,-1.1226193871745382,3.287329848539287e-18,0.8472756600394342,1.1195293690207997,0.0005917123893469468,0.11595336825581697,0.020543771622594888,0.5777777777777777,0.72923076923077,0.006240692287573998,0.00803423645403041,0.011044509819555274,0.004890438699621969,0.021271160017192522,0.009029082206804488,0.2726732593881541,0.23077461174908698,0.039143698296165375,0.5237087966499732,0.5354709546995484,4.0,8.0,0.5833333333333334,0.3677986845692338,0.7515429813530872
