arm,mechanism,weighting,aux_lambda,control,split_seed,fold,n_core,n_aux,n_level_train,n_shape_train,aux_weight_share,clip_lo,clip_hi
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,0,4866,0,4866,4611,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,1,1495,0,1495,1445,0.0,-9.021933790857123,7.100202059619041
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,2,4962,0,4962,4691,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,3,4747,0,4747,4483,0.0,-8.107493857493855,8.322481572481564
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,4,4922,0,4922,4654,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,0,1436,0,1436,1373,0.0,-7.792289988492519,7.3768699654775585
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,1,4937,0,4937,4683,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,2,4766,0,4766,4489,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,3,4836,0,4836,4571,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,4,5017,0,5017,4768,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,0,1548,0,1548,1482,0.0,-9.279389730849642,7.872569879596599
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,1,4828,0,4828,4560,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,2,5009,0,5009,4761,0.0,-9.594593599850977,8.818181486600604
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,3,4729,0,4729,4461,0.0,-8.107493857493855,8.322481572481564
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,4,4878,0,4878,4620,0.0,-9.594593599850977,8.818181486600604
