structure,aux_rows,n_metals,n_publications,n_series,n_systems,metals,metal_categories,max_tanimoto_to_cohort,nearest_cohort_structure,nearest_cohort_chemotype,in_cohort,rdkit_unparsed,assigned_chemotype,is_new_chemistry,gen10_distance_bucket,new_chemotype_id
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,29,1,0,2,1,Am,actinide,1.0,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,tan018,True,False,tan018,False,near,
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,3,1,1,3,1,Am,actinide,1.0,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,tan037,True,False,tan037,False,near,
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,1,1,0,1,1,Am,actinide,0.4666666666666667,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,tan037,False,False,NEW,True,far,new006
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,1,1,0,1,1,Am,actinide,0.3541666666666667,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,tan037,False,False,NEW,True,far,new001
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,46,3,1,6,1,Np|Pu|Th,actinide,0.6923076923076923,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,tan063,False,False,NEW,True,near,new008
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,1,1,1,1,1,Am,actinide,0.6938775510204082,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,False,False,NEW,True,near,new009
CC(C)CN(CC(C)C)C(=O)C(C)C,7,4,1,1,1,Np|Pu|Th|U,actinide,0.5,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,tan063,False,False,NEW,True,far,new025
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,46,3,1,6,1,Np|Pu|Th,actinide,1.0,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,tan063,True,False,tan063,False,near,
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,6,1,0,1,1,Am,actinide,1.0,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,tan020,True,False,tan020,False,near,
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,11,1,0,1,1,Am,actinide,1.0,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,True,False,tan019,False,near,
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,2,1,0,1,1,Am,actinide,0.8055555555555556,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,False,False,tan019,False,near,
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,5,1,0,1,1,Am,actinide,1.0,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,True,False,tan019,False,near,
