comparison_kind,block_unit,n_rows_paired,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,significant_bca,bca_direction
TRANSFER,tanimoto_cluster,26240,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,mae,-0.003709694584322512,-0.01838384250742461,0.015876885952262706,0.6590681863627275,57,131,79,5000,-0.00012271081845548326,35,0.21374045801526717,0.008736864268786356,-0.02110345520444143,0.013684066035796404,0.6722953854722453,-0.01870990398762728,0.015426420446716334,0.02306302451252785,-0.026690735576623298,False,not separated
TRANSFER,tanimoto_cluster,26240,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,offset_mae,-0.0034856053194590297,-0.02094729098685166,0.019689498915882505,0.6366726654669066,57,131,79,5000,0.0027328756436850823,34,0.21374045801526717,0.010253036268343216,-0.02389783252071008,0.016926621881792017,0.7348016666472632,-0.021547066308395615,0.018770029092455898,0.00852263930681304,-0.02346449207840273,False,not separated
TRANSFER,tanimoto_cluster,26240,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,shape_mae,0.011904374914038087,0.004206531965663958,0.022874102882356865,0.0003999200159968006,72,131,79,5000,0.013610922905358508,45,0.21374045801526717,0.004712616095336615,0.0025222769742023927,0.02128647285387378,0.013560485200453328,0.0036157062871221024,0.02171801246461359,-0.02557039464076243,-0.03488863796475721,True,candidate better
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,mae,-0.008601295390700637,-0.015006956542093592,-0.003646995688288719,0.9996000799840032,52,131,79,5000,-0.008898551441907824,30,0.21374045801526717,0.002646943255668727,-0.013870954612559596,-0.0033316361688416774,0.001706996868205656,-0.015647472662802628,-0.004068339361312555,-0.029582527813948944,-0.026171788432055157,True,candidate worse
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,offset_mae,-0.008013324860831365,-0.01610018042612379,-0.00119859088242677,0.9884023195360928,58,131,79,5000,-0.008634827907173015,33,0.21374045801526717,0.003436118725870757,-0.014854111754320123,-0.0011725379673426066,0.022277344053502887,-0.016568804875718483,-0.0015458070616569154,-0.011029388020359056,-0.022518231341735376,True,candidate worse
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,shape_mae,-0.0026947924070947166,-0.007276317053762596,0.0006842788907545285,0.9358128374325135,59,131,79,5000,-0.0021434400251113387,35,0.21374045801526717,0.0019182601199468552,-0.006513754944109275,0.0011241701299198425,0.16404757080271465,-0.008935666598775312,4.0726298154939854e-05,-0.08784483789587168,-0.0740714780310052,False,not separated
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,mae,-0.0037599408827436115,-0.010496779437047412,0.0015041224171529523,0.9176164767046591,65,131,79,5000,-0.0045636823983804435,37,0.21374045801526717,0.002854341732653346,-0.009442498754583407,0.0019226169890961846,0.1916044538284059,-0.010899451515901814,0.0011650691351627143,-0.020054370352950636,-0.01988359451023975,False,not separated
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,offset_mae,-0.004515318854416972,-0.013222587648611056,0.003942852387773359,0.859628074385123,58,131,79,5000,-0.005024968384429995,31,0.21374045801526717,0.0040757016935803626,-0.01262941762443228,0.0035987799155983366,0.2713256233284476,-0.013193223984540058,0.003981689456047839,0.003509286787335954,-0.00039653311675998435,False,not separated
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,shape_mae,-0.004525413514175723,-0.008671098950591897,-0.0005347945167979989,0.9866026794641072,62,131,79,5000,-0.0034110303905114437,41,0.21374045801526717,0.001957165829466451,-0.008421831368947408,-0.0006289956594040368,0.023403905995485953,-0.009622702226593255,-0.0010917613845024083,-0.04965163319757251,-0.05316800104180237,True,candidate worse
DESIGN,tanimoto_cluster,26240,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,mae,0.000289643744145107,-0.003726098940112196,0.0055964589893553246,0.4497100579884023,65,131,79,5000,-0.00014578241198019476,44,0.21374045801526717,0.0023502312110842112,-0.004389307173471645,0.004968594661761859,0.9022336402884168,-0.003946023630813995,0.005325828477457542,0.00150397753176512,-0.024552419605769184,False,not separated
