comparison,extractant,chemotype,ecfp_cluster,n_rows,n_seeds,n_seeds_worse,mean_nn_train_tanimoto,mae_reference,mae_candidate,mae_delta,level_mae_reference,level_mae_candidate,level_mae_delta,shape_mae_reference,shape_mae_candidate,shape_mae_delta,rank_worst_first,is_headline_comparison
HEADLINE_full_pool_vs_control,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,f45ce5f8357cf48b,14,1,1,0.6764705882352942,1.8739342976433608,2.5206634930958236,-0.6467291954524628,1.8739342976433615,2.520663493095824,-0.6467291954524625,0.3741717603406151,0.345744514441281,0.028427245899334097,1,True
HEADLINE_full_pool_vs_control,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,tan086,f7716b937e85f217,4,1,1,0.475,1.457606789873038,2.070444593791903,-0.6128378039188649,1.4576067898730383,2.070444593791903,-0.6128378039188647,0.025775403903198546,0.03520336904499555,-0.009427965141797001,2,True
HEADLINE_full_pool_vs_control,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,f45ce5f8357cf48b,14,1,1,0.6764705882352942,0.3387870178639449,0.9373899826866351,-0.5986029648226903,0.2906607872341729,0.9373899826866354,-0.6467291954524625,0.16044674889941213,0.23824191814868806,-0.07779516924927593,3,True
HEADLINE_full_pool_vs_control,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,tan046,218c4301997d59be,9,1,1,0.5483870967741935,0.08055752321803197,0.6216330937235829,-0.5410755705055509,0.03848254014496574,0.6216330937235829,-0.5831505535786171,0.07894935410766282,0.0680701264730538,0.010879227634609023,4,True
HEADLINE_full_pool_vs_control,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan067,f45ce5f8357cf48b,45,1,1,0.6764705882352942,2.4600911867660993,2.9290001141597797,-0.4689089273936804,2.460091186766099,2.9290001141597797,-0.46890892739368084,0.4800215958433105,0.470194895997726,0.009826699845584486,5,True
HEADLINE_full_pool_vs_control,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,tan055,342069ecd691bc09,8,1,1,0.5641025641025641,0.3498196255638384,0.8087700469011447,-0.45895042133730635,0.34981962556383844,0.8087700469011447,-0.4589504213373063,0.07597299307878483,0.07430478150940967,0.001668211569375161,6,True
HEADLINE_full_pool_vs_control,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,tan042,ad3b475975074a0b,6,1,1,0.3409090909090909,0.1064070838998558,0.5318396541998233,-0.42543257029996745,0.1064070838998558,0.531839654199823,-0.4254325702999672,0.06260150899345107,0.06287433716674949,-0.00027282817329842,7,True
HEADLINE_full_pool_vs_control,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,tan063,19c1713cdfe457ce,8,1,1,0.56,0.6689096290015664,1.0809438030741536,-0.41203417407258724,0.6689096290015664,1.0809438030741536,-0.41203417407258724,0.1491505737388041,0.1255088094297556,0.02364176430904852,8,True
HEADLINE_full_pool_vs_control,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,tan055,f40e899a613d796b,8,1,1,0.55,0.2623125564191358,0.673453832202273,-0.41114127578313714,0.26231255641913587,0.673453832202273,-0.4111412757831371,0.08530152584755649,0.06428438422330893,0.02101714162424756,9,True
HEADLINE_full_pool_vs_control,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,tan043,ce09dca4bb1ea769,6,1,1,0.42,0.32202827985714944,0.6610951050587971,-0.33906682520164766,0.32202827985714944,0.6610951050587972,-0.33906682520164777,0.11145568385965994,0.10752639710925675,0.003929286750403188,10,True
