arm,extractant_family,n_extractants,macro_mae,fraction_extractants_improved_vs_A2
A2_current_champion,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,0.23679885843666917,0.0
A2_current_champion,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,0.30314809657123515,0.0
A2_current_champion,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,0.26302698137354075,0.0
A2_current_champion,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,0.3904098905114496,0.0
A2_current_champion,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,1,0.3080599041523961,0.0
A2_current_champion,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,0.22047300783528964,0.0
A2_current_champion,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,0.20104595189443164,0.0
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,0.5485591254004921,0.0
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.21467299032310916,0.0
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.7805847184216841,0.0
A2_current_champion,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,0.12550469240052345,0.0
A2_current_champion,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.6348884849301766,0.0
A2_current_champion,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1,0.5114301773490968,0.0
A2_current_champion,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.1188315348978159,0.0
A2_current_champion,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1,0.11552766410516409,0.0
A2_current_champion,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1,0.09683541031853335,0.0
A2_current_champion,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,0.09769710681849587,0.0
A2_current_champion,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,0.22563375036717398,0.0
A2_current_champion,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,0.10368466002575467,0.0
A2_current_champion,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1,0.2913635274317998,0.0
A2_current_champion,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1,0.19735343202764488,0.0
A2_current_champion,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.6192054357474571,0.0
A2_current_champion,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1,0.38214375033830333,0.0
A2_current_champion,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.5047496195248569,0.0
A2_current_champion,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.4040742836928096,0.0
A2_current_champion,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.17494480382765015,0.0
A2_current_champion,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.08594280239699525,0.0
A2_current_champion,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1,0.42093470489610857,0.0
A2_current_champion,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1,0.17271299160357648,0.0
A2_current_champion,CCN(CC)C(=O)COCC(=O)N(CC)CC,1,0.2044634611987933,0.0
A2_current_champion,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1,0.2860714960131378,0.0
A2_current_champion,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,1,0.3234520873984336,0.0
A2_current_champion,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1,0.5670067501177615,0.0
A2_current_champion,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1,0.6278058745906772,0.0
H1_CATBOOST_NONE_RMSE,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,0.10438377296120638,1.0
H1_CATBOOST_NONE_RMSE,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,0.3119208839675172,0.0
H1_CATBOOST_NONE_RMSE,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,0.30721116092210526,0.0
H1_CATBOOST_NONE_RMSE,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,0.3540726835921688,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,1,0.3152178613022495,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,0.17893065419416315,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,0.0733874531376658,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,0.5186675144060516,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.21220923692751065,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.8566848149469711,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,0.4781194206751786,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.5968846970001075,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1,0.43357004554711864,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.162610573173917,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1,0.1647442363316554,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1,0.0968616274329527,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,0.17849936786497325,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,0.2090064375565205,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,0.1869303612513181,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1,0.3041077215043835,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1,0.16118650347119456,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.7031231870322561,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1,0.47545233101004253,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.5314733653484106,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.28905229338815835,1.0
H1_CATBOOST_NONE_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.29125443255185685,0.0
H1_CATBOOST_NONE_RMSE,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.10418748848267066,0.0
H1_CATBOOST_NONE_RMSE,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1,0.4258844266378922,0.0
H1_CATBOOST_NONE_RMSE,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1,0.16293303870277603,1.0
H1_CATBOOST_NONE_RMSE,CCN(CC)C(=O)COCC(=O)N(CC)CC,1,0.19800561893911794,1.0
H1_CATBOOST_NONE_RMSE,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1,0.3075695216327331,0.0
H1_CATBOOST_NONE_RMSE,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,1,0.3330641179733194,0.0
H1_CATBOOST_NONE_RMSE,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1,0.39262842664234376,1.0
H1_CATBOOST_NONE_RMSE,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1,0.34253282685666814,1.0
H1_CATBOOST_NONE_MAE,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,0.09801443952871791,1.0
H1_CATBOOST_NONE_MAE,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,0.29278586542121493,1.0
