outer_fold,arm,lambda,correction_kind,correction_parameters,inner_macro_mae,selected_feature_count
0,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3466631835446811,
0,H2_E3_RAW_SHUFFLED,1.0,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3465455618218298,
0,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3466631835446811,
0,H2_E3_COMPACT_SHUFFLED,0.2,catboost,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 30.0, 'iterations': 800}",0.3462676708146313,
0,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3466631835446811,7.0
0,H2_E3_STABLE_SHUFFLED,1.0,ridge,{'alpha': 0.01},0.34570025848294067,1.0
1,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.36478117868355153,
1,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.36478117868355153,
1,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.36478117868355153,
1,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.36478117868355153,
1,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.36478117868355153,7.0
1,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.36478117868355153,7.0
2,H2_E3_RAW_REAL,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.33674276824873983,
2,H2_E3_RAW_SHUFFLED,1.0,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3365045459055254,
2,H2_E3_COMPACT_REAL,1.0,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.33682198014524395,
2,H2_E3_COMPACT_SHUFFLED,1.0,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3365045459055254,
2,H2_E3_STABLE_REAL,1.0,ridge,{'alpha': 0.01},0.3316012947426519,1.0
2,H2_E3_STABLE_SHUFFLED,0.5,ridge,{'alpha': 0.01},0.3355425316876137,1.0
3,H2_E3_RAW_REAL,0.4,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.36514313890683764,
3,H2_E3_RAW_SHUFFLED,0.1,catboost,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 30.0, 'iterations': 800}",0.36723264080657286,
3,H2_E3_COMPACT_REAL,0.4,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.36516151891931603,
3,H2_E3_COMPACT_SHUFFLED,0.1,catboost,"{'depth': 5, 'learning_rate': 0.02, 'l2_leaf_reg': 30.0, 'iterations': 1000}",0.3671717005791662,
3,H2_E3_STABLE_REAL,0.4,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3637691625511854,7.0
3,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.36725806913944303,7.0
4,H2_E3_RAW_REAL,0.8,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3182455219767693,
4,H2_E3_RAW_SHUFFLED,0.2,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3191073661540996,
4,H2_E3_COMPACT_REAL,0.8,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3182455219767693,
4,H2_E3_COMPACT_SHUFFLED,0.2,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3189950547497673,
4,H2_E3_STABLE_REAL,0.9,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.31837050015598906,1.0
4,H2_E3_STABLE_SHUFFLED,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.31952246752739866,7.0
