arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted
A2_current_champion,6699,34,0.3230654015802852,0.42052920066916644,0.2797408850048996,0.5783324533164736,0.0,0,0.318234067818556,-0.8345748259884463,0.49517913968003513,31,0.36487787149681744,0.7492547868690927,0.11589487417296543,0.479146094037339,0.8474399164054337,True
H1_CATBOOST_NONE_RMSE,6699,34,0.33410321076819655,0.4310885205835975,0.3006807408759963,0.5776191730969336,0.38235294117647056,13,0.2953118988332336,-0.9740414945718845,0.33319411508236796,31,0.35642778859156016,0.7269244154158756,0.11884746576208201,0.49116907954800804,0.8265412748171369,True
H1_CATBOOST_NONE_MAE,6699,34,0.33909910212248146,0.42163198302511773,0.34937969545921055,0.5729129668785553,0.3235294117647059,11,0.33461762431969244,-1.0118937543637696,0.4325446691692244,31,0.3777878181799525,0.7150890733182335,0.1159785171530859,0.480444976369309,0.8529631288251978,True
H1_CATBOOST_NONE_HUBER,6699,34,0.3363413050545903,0.42503633124592255,0.29619639093232175,0.5917877206216587,0.3235294117647059,11,0.30098226756993673,-1.0497853134671484,0.4585041786587922,31,0.3593963059037762,0.7454970715487345,0.12079442910324077,0.4835777154068765,0.8256456187490671,True
H1_CATBOOST_GROUP_SQRT_RMSE,6699,34,0.3315401196815184,0.4227886464253052,0.3081513220842973,0.558973203900137,0.4117647058823529,14,0.31126207873092016,-0.8999593930120268,0.28363438651004835,31,0.36372601837688534,0.7351240168576142,0.11521252729470287,0.4819715913843977,0.844752948201224,True
H1_CATBOOST_GROUP_SQRT_MAE,6699,34,0.3344776066755232,0.4270454207939133,0.3201855522561473,0.5758325144250216,0.3235294117647059,11,0.3095187300693497,-0.9937221555586953,0.4367194461280689,31,0.36200138700618834,0.7287376025115618,0.12384999495628558,0.48538544488264157,0.8529631288251978,True
H1_CATBOOST_GROUP_SQRT_HUBER,6699,34,0.33401238257181526,0.4150086870245402,0.3029274914046437,0.5624103214962558,0.38235294117647056,13,0.3429975166350676,-1.0170753746561143,0.33309163544157594,31,0.3856286453905529,0.7235552524270996,0.11948642928830436,0.47187226135933386,0.8457978802806388,True
H1_CATBOOST_GROUP_EQUAL_RMSE,6699,34,0.3392053175759342,0.4226959518039442,0.28077147134540303,0.5653116279761415,0.4117647058823529,14,0.3284264332980563,-0.8149439275289517,0.35095682145285045,31,0.37907481663151815,0.7379467545557843,0.12291795506889773,0.480378403649901,0.8266905508284819,True
H1_CATBOOST_GROUP_EQUAL_MAE,6699,34,0.3446241439990337,0.4236462689801313,0.3014072211011329,0.5837513298262218,0.29411764705882354,10,0.3315588319111942,-1.0617432347802451,0.28460605090336744,31,0.3747367510311156,0.7269387594210507,0.12418729048816339,0.4812673362193299,0.8460964323033289,True
H1_CATBOOST_GROUP_EQUAL_HUBER,6699,34,0.33441239801548467,0.4157905851296953,0.279987697742911,0.5570440945149091,0.4117647058823529,14,0.33302214749131165,-0.8853162971904132,0.13695386274226407,31,0.3795323126437873,0.7247104462417329,0.11870408141566947,0.47295514734309185,0.8405732198835647,True
H2_E3_RAW_REAL,6699,34,0.32886867488634147,0.41964113663419855,0.2666068324134554,0.5688949146683717,0.47058823529411764,16,0.33505219281705423,-0.9618397455778432,0.4325446691692244,31,0.3826318016679516,0.7336856734645909,0.12141899140265015,0.4770242158430459,0.8338557993730408,True
H2_E3_RAW_SHUFFLED,6699,34,0.32923577435671414,0.4210901991457679,0.2666068324134554,0.5715326904263484,0.5,17,0.331570895793881,-0.9547105412401757,0.4325446691692244,31,0.38069307542587016,0.7323189093225771,0.12351830257629806,0.47834815930803154,0.832213763248246,True
