comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-0.011968531228909925,-0.03156098438000752,0.006688097095493,0.1109,14,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,-0.014137730103182438,-0.031451859620334276,0.0024252160203353935,0.0498,15,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,-0.009840102638205932,-0.03125367271101576,0.011681954451847896,0.1783,14,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.020020290412022912,-0.04629649278709918,0.005940010243144292,0.0623,11,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.03184415831387308,-0.06261911613267118,-0.003765610675170307,0.012,15,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,-0.03477330502716288,-0.07252034259993216,-0.0024321351836087764,0.0166,14,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.03267969157665741,-0.06304964061445378,-0.003744461039676054,0.0141,10,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.027245744335626248,-0.055104062459470624,-0.00019093431465022872,0.0242,14,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.024381843320946606,-0.053942087048131575,0.0043054622709302725,0.049,14,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.006351544570035569,-0.024575974714219163,0.011434557336418317,0.2409,17,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.006771326315512075,-0.02528006577551374,0.011043974304761837,0.2297,16,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.006351544570035569,-0.024575974714219163,0.011434557336418317,0.2409,17,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.006771326315512075,-0.02528006577551374,0.011043974304761837,0.2297,16,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.006351544570035566,-0.02457597471421916,0.011434557336418315,0.2409,17,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.00637504427443049,-0.024910302070989324,0.011576630866466372,0.2428,16,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.09091179971689904,-0.1465748339573343,-0.03971812476250549,0.0001,9,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.0966694164743915,-0.16075284203716522,-0.03682540213245775,0.0002,12,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H3_A2_LABEL_SHUFFLED,A2_current_champion,H3_A2_LABEL_SHUFFLED,-0.1111813130241546,-0.17822588539965614,-0.04635899196838084,0.0004,11,34,10000,8937498,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC_LABEL_SHUFFLED,A2_current_champion,H3_A2_ELEC_LABEL_SHUFFLED,-0.1012526439025011,-0.1672887008941029,-0.03799284987838356,0.0006,12,34,10000,8937498,extractant,True,True
H2_E3_RAW_SHUFFLED_vs_H2_E3_RAW_REAL,H2_E3_RAW_SHUFFLED,H2_E3_RAW_REAL,0.0004197817454765055,-0.0010601579810014014,0.0016822235431475576,0.7327,10,34,10000,8937498,extractant,True,True
H2_E3_COMPACT_SHUFFLED_vs_H2_E3_COMPACT_REAL,H2_E3_COMPACT_SHUFFLED,H2_E3_COMPACT_REAL,0.0004197817454765055,-0.0010601579810014014,0.0016822235431475576,0.7327,10,34,10000,8937498,extractant,True,True
H2_E3_STABLE_SHUFFLED_vs_H2_E3_STABLE_REAL,H2_E3_STABLE_SHUFFLED,H2_E3_STABLE_REAL,2.3499704394923873e-05,-0.0010899458075903183,0.000980373636320021,0.5322,6,34,10000,8937498,extractant,True,True
H3_A2_LABEL_SHUFFLED_vs_H3_A2,H3_A2_LABEL_SHUFFLED,H3_A2,0.02026951330725555,-0.05039631475248768,0.08825077135379278,0.7192,19,34,10000,8937498,extractant,True,True
