outer_fold,correction_inner_fold,stage1_subfold,fit_rows,residual_rows_predicted,residual_source,in_sample_residuals,outer_test_labels_used,fit_groups,residual_groups,group_overlap
0,,,5743,5743,selected_stage1_outer_training_oof_prediction,0,0.0,,,
0,0.0,0.0,1821,1001,stage1_out_of_fold_prediction,0,,13.0,11.0,0.0
0,0.0,1.0,1914,908,stage1_out_of_fold_prediction,0,,17.0,7.0,0.0
0,0.0,2.0,1909,913,stage1_out_of_fold_prediction,0,,18.0,6.0,0.0
0,1.0,0.0,1388,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
0,1.0,1.0,3711,598,stage1_out_of_fold_prediction,0,,11.0,2.0,0.0
0,1.0,2.0,3519,790,stage1_out_of_fold_prediction,0,,3.0,10.0,0.0
0,2.0,0.0,3579,776,stage1_out_of_fold_prediction,0,,6.0,7.0,0.0
0,2.0,1.0,3697,658,stage1_out_of_fold_prediction,0,,8.0,5.0,0.0
0,2.0,2.0,1434,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
1,,,5705,5705,selected_stage1_outer_training_oof_prediction,0,0.0,,,
1,0.0,0.0,3639,626,stage1_out_of_fold_prediction,0,,10.0,3.0,0.0
1,0.0,1.0,3547,718,stage1_out_of_fold_prediction,0,,4.0,9.0,0.0
1,0.0,2.0,1344,2921,stage1_out_of_fold_prediction,0,,12.0,1.0,0.0
1,1.0,0.0,1440,2921,stage1_out_of_fold_prediction,0,,10.0,1.0,0.0
1,1.0,1.0,3620,741,stage1_out_of_fold_prediction,0,,5.0,6.0,0.0
1,1.0,2.0,3662,699,stage1_out_of_fold_prediction,0,,7.0,4.0,0.0
1,2.0,0.0,1718,1066,stage1_out_of_fold_prediction,0,,13.0,9.0,0.0
1,2.0,1.0,1947,837,stage1_out_of_fold_prediction,0,,15.0,7.0,0.0
1,2.0,2.0,1903,881,stage1_out_of_fold_prediction,0,,16.0,6.0,0.0
2,,,5875,5875,selected_stage1_outer_training_oof_prediction,0,0.0,,,
2,0.0,0.0,1854,1100,stage1_out_of_fold_prediction,0,,16.0,11.0,0.0
2,0.0,1.0,1981,973,stage1_out_of_fold_prediction,0,,17.0,10.0,0.0
2,0.0,2.0,2073,881,stage1_out_of_fold_prediction,0,,21.0,6.0,0.0
2,1.0,0.0,1463,2921,stage1_out_of_fold_prediction,0,,14.0,1.0,0.0
2,1.0,1.0,3670,714,stage1_out_of_fold_prediction,0,,7.0,8.0,0.0
2,1.0,2.0,3635,749,stage1_out_of_fold_prediction,0,,9.0,6.0,0.0
2,2.0,0.0,1491,2921,stage1_out_of_fold_prediction,0,,13.0,1.0,0.0
2,2.0,1.0,3613,799,stage1_out_of_fold_prediction,0,,8.0,6.0,0.0
2,2.0,2.0,3720,692,stage1_out_of_fold_prediction,0,,7.0,7.0,0.0
3,,,3778,3778,selected_stage1_outer_training_oof_prediction,0,0.0,,,
3,0.0,0.0,1607,842,stage1_out_of_fold_prediction,0,,14.0,7.0,0.0
3,0.0,1.0,1647,802,stage1_out_of_fold_prediction,0,,15.0,6.0,0.0
3,0.0,2.0,1644,805,stage1_out_of_fold_prediction,0,,13.0,8.0,0.0
3,1.0,0.0,1538,967,stage1_out_of_fold_prediction,0,,14.0,8.0,0.0
3,1.0,1.0,1767,738,stage1_out_of_fold_prediction,0,,17.0,5.0,0.0
3,1.0,2.0,1705,800,stage1_out_of_fold_prediction,0,,13.0,9.0,0.0
3,2.0,0.0,1664,938,stage1_out_of_fold_prediction,0,,13.0,10.0,0.0
3,2.0,1.0,1728,874,stage1_out_of_fold_prediction,0,,15.0,8.0,0.0
3,2.0,2.0,1812,790,stage1_out_of_fold_prediction,0,,18.0,5.0,0.0
4,,,5695,5695,selected_stage1_outer_training_oof_prediction,0,0.0,,,
4,0.0,0.0,1712,1062,stage1_out_of_fold_prediction,0,,16.0,10.0,0.0
4,0.0,1.0,1892,882,stage1_out_of_fold_prediction,0,,17.0,9.0,0.0
4,0.0,2.0,1944,830,stage1_out_of_fold_prediction,0,,19.0,7.0,0.0
4,1.0,0.0,1395,2921,stage1_out_of_fold_prediction,0,,13.0,1.0,0.0
4,1.0,1.0,3547,769,stage1_out_of_fold_prediction,0,,4.0,10.0,0.0
4,1.0,2.0,3690,626,stage1_out_of_fold_prediction,0,,11.0,3.0,0.0
4,2.0,0.0,1379,2921,stage1_out_of_fold_prediction,0,,13.0,1.0,0.0
4,2.0,1.0,3655,645,stage1_out_of_fold_prediction,0,,7.0,7.0,0.0
4,2.0,2.0,3566,734,stage1_out_of_fold_prediction,0,,8.0,6.0,0.0
