outer_fold,inner_fold,arm,search_phase,scope,weighting_scheme,fit_rows_before_swap,fit_groups,mean_weight_before_swap,minimum_weight,maximum_weight,group_counts_sha256,counts_from_fit_subset_only
0,0.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_NONE_RMSE,screening,outer_training_only,none,5743,25,1.0,1.0,1.0,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_NONE_MAE,screening,outer_training_only,none,5743,25,1.0,1.0,1.0,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,0.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4309,13,1.0,1.0,1.0,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4355,13,1.0,1.0,1.0,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_NONE_HUBER,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630438,5.26240657925846,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630438,5.26240657925846,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,outer_training_only,group_sqrt,5743,25,0.9999999999999999,0.359376339062453,4.238435820759469,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630438,5.26240657925846,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_GROUP_SQRT_MAE,screening,outer_training_only,group_sqrt,5743,25,0.9999999999999999,0.359376339062453,4.238435820759469,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630438,5.26240657925846,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630438,5.26240657925846,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
