pair_label,split_seed,arm,r2
Ho-Tm,104729,A2_refit,0.1633366128358541
Ce-Pr,104729,A2_refit,0.11377589601193638
Ce-Nd,104729,A2_refit,0.19849022552935158
Ce-Sm,104729,A2_refit,0.11581117251995243
Ce-Eu,104729,A2_refit,-0.03541414996163872
Ce-Gd,104729,A2_refit,-0.2956617527769936
Ce-Tb,104729,A2_refit,-0.6320704497827996
Ce-Dy,104729,A2_refit,-0.44957696067012254
Pr-Nd,104729,A2_refit,0.13986831349994022
Pr-Sm,104729,A2_refit,0.1928370040848394
Pr-Eu,104729,A2_refit,0.10083330605427365
Pr-Gd,104729,A2_refit,0.07131738711745594
Pr-Tb,104729,A2_refit,-0.1193294383202681
Pr-Dy,104729,A2_refit,0.13791964815273605
Nd-Sm,104729,A2_refit,-0.13602114053000713
Nd-Eu,104729,A2_refit,-0.25956268105458236
Nd-Gd,104729,A2_refit,-0.7208094529036062
Nd-Tb,104729,A2_refit,-1.2951729178122857
Nd-Dy,104729,A2_refit,-0.9220359211645675
Sm-Eu,104729,A2_refit,-0.3047540597757099
Sm-Gd,104729,A2_refit,-0.7024108950311116
Sm-Tb,104729,A2_refit,-0.7087926413459482
Sm-Dy,104729,A2_refit,-1.1401457071912833
Eu-Gd,104729,A2_refit,-0.12496231824221593
Eu-Tb,104729,A2_refit,-0.5991933112921768
Eu-Dy,104729,A2_refit,-0.5671172233299406
Gd-Tb,104729,A2_refit,-0.05455991692776663
Gd-Dy,104729,A2_refit,-0.6266087099856983
Tb-Dy,104729,A2_refit,-0.030495891208994097
Nd-Ho,104729,A2_refit,-0.9280400778073841
Nd-Er,104729,A2_refit,-1.0749313786715033
Sm-Ho,104729,A2_refit,-0.9054674245209882
Sm-Er,104729,A2_refit,-1.0591465940198521
Gd-Ho,104729,A2_refit,-0.4406996865201469
Gd-Er,104729,A2_refit,-0.5102201624139859
Dy-Ho,104729,A2_refit,-0.08468170105879125
Dy-Er,104729,A2_refit,0.008897654012714473
Ho-Er,104729,A2_refit,-0.14531394223669714
La-Ce,104729,A2_refit,0.09187107363437119
La-Pr,104729,A2_refit,0.03656905090138152
La-Eu,104729,A2_refit,0.03049160055435529
La-Tb,104729,A2_refit,-0.28943715677500537
La-Tm,104729,A2_refit,-0.29613905750977
La-Yb,104729,A2_refit,-0.19446581482777203
La-Lu,104729,A2_refit,0.00875268540768559
Ce-Tm,104729,A2_refit,-0.6822644045667103
Ce-Yb,104729,A2_refit,-0.5395336631588847
Ce-Lu,104729,A2_refit,-0.45079626101665493
Pr-Tm,104729,A2_refit,-0.17989256326357728
Pr-Yb,104729,A2_refit,-0.07120400095078971
Pr-Lu,104729,A2_refit,0.06677186316037309
Eu-Tm,104729,A2_refit,-0.6024730486372749
Eu-Yb,104729,A2_refit,-0.30442539810307756
Eu-Lu,104729,A2_refit,-0.07698341725186797
Tb-Tm,104729,A2_refit,-0.03648626663672738
Tb-Yb,104729,A2_refit,0.02187171062380877
Tb-Lu,104729,A2_refit,0.09067423214514925
Tm-Yb,104729,A2_refit,-0.13227628098495803
Tm-Lu,104729,A2_refit,-0.2341891993373324
Yb-Lu,104729,A2_refit,-0.5346561373209802
Ho-Yb,104729,A2_refit,0.10252096104152875
Er-Tm,104729,A2_refit,0.06186513757070622
Er-Yb,104729,A2_refit,0.022838528003461644
La-Nd,104729,A2_refit,0.14368808633290864
