comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_refit_vs_PRIOR,A2_refit,PRIOR,0.002280595780475331,-0.006704828002323586,0.011050747648253386,0.6996,20,34,10000,8675309,extractant,True,True
A2_refit_vs_PRIOR_TRENDONLY,A2_refit,PRIOR_TRENDONLY,-0.0023586673926660638,-0.004445852448242942,-0.0004469167180834853,0.0071,14,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d,A2_refit,A2_lig2d,-0.008230560344658485,-0.02353033183899254,0.007927328081238812,0.1492,13,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d_SHUF,A2_refit,A2_lig2d_SHUF,-0.027316009563422835,-0.056550475772453083,0.002441586998116639,0.0349,13,34,10000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50,A2_refit,SCALE_s50,-0.025173615134553556,-0.04992954738229736,0.0007184263978360972,0.0284,12,34,10000,8675309,extractant,True,True
A2_refit_vs_HIER,A2_refit,HIER,-0.0025999715241940106,-0.022198715829531243,0.01739450937293432,0.3883,16,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_ens,A2_refit,A2_ens,-0.0004474822349737307,-0.001374857969912687,0.00042341981748388746,0.1681,14,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_refit_TP,A2_refit,A2_refit_TP,0.0017571522922735163,2.907568072598487e-05,0.00361637919878539,0.9774,21,34,10000,8675309,extractant,True,True
A2_refit_vs_PRIOR_TP,A2_refit,PRIOR_TP,0.004520258767114492,-0.00422831081603085,0.01304313965090852,0.8494,21,34,10000,8675309,extractant,True,True
A2_refit_vs_PRIOR_TRENDONLY_TP,A2_refit,PRIOR_TRENDONLY_TP,-0.0006541441838398321,-0.003161976232527938,0.0017330579996485407,0.3001,17,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d_TP,A2_refit,A2_lig2d_TP,-0.00639595697642521,-0.021399313401681042,0.009759725430068882,0.2057,12,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d_SHUF_TP,A2_refit,A2_lig2d_SHUF_TP,-0.024910152732979612,-0.0537580476809122,0.004639269825339398,0.049,13,34,10000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50_TP,A2_refit,SCALE_s50_TP,-0.024202879014725114,-0.04908666927251485,0.0018002160116596772,0.0328,13,34,10000,8675309,extractant,True,True
A2_refit_vs_HIER_TP,A2_refit,HIER_TP,-0.00023667211705319624,-0.020170189578328557,0.020071919928482618,0.4842,18,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_ens_TP,A2_refit,A2_ens_TP,0.0010749278009775135,-0.0007315619254108577,0.0028821201449697165,0.8759,22,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_run,A2_refit,A2_run,-5.714383214982423e-18,-1.6326809185664067e-17,3.2653618371328133e-18,0.0979,5,34,10000,8675309,extractant,True,True
A2_refit_vs_A2_run_TP,A2_refit,A2_run_TP,0.001757152292273504,2.9075680725971697e-05,0.0036163791987853812,0.9774,21,34,10000,8675309,extractant,True,True
A2_refit_vs_PAIRMEAN_baseline,A2_refit,PAIRMEAN_baseline,-0.12896075426654607,-0.1925633301491718,-0.06607828624954436,0.0,11,34,10000,8675309,extractant,True,True
