arm,mean_macro_5seeds,mean_macro_confirm,delta_mean_5seeds,delta_mean_confirm,positive_confirm_seeds,positive_all_seeds,boot_delta_confirm,ci95_low,ci95_high,p_better,extractants_improved,holm_p_two_sided,passes_rule
A2_refit,0.3187760838212334,0.3194708740003741,0.0,0.0,0,0,,,,,,,False
PRIOR,0.31683367238205984,0.319495090878605,0.0019424114391735857,-2.421687823091212e-05,2,3,-2.4216878230863548e-05,-0.011118581067004332,0.010316577510443235,0.5096,15,0.9807999999999999,False
PRIOR_lig2d,0.3288129277387976,0.3324869502443525,-0.01003684391756413,-0.013016076243978408,1,2,-0.013016076243978394,-0.030821079314867647,0.0047018015568895954,0.078,13,0.46799999999999997,False
A2_lig2d,0.32686573801355456,0.3307893462856776,-0.00808965419232106,-0.011318472285303513,1,2,-0.01131847228530348,-0.02732928033777673,0.00529203757383254,0.0874,11,0.46799999999999997,False
SCALE_s50,0.3433419554224156,0.3524069499984338,-0.02456587160118212,-0.03293607599805967,0,1,-0.03293607599805965,-0.06161657425214678,-0.004979521604013868,0.0113,13,0.0904,False
PRIOR_TP,0.3144642182695635,0.3170340641050768,0.004311865551669935,0.0024368098952973066,3,4,0.0024368098952973396,-0.008502769673570798,0.01254933500895735,0.6828,19,,False
A2_lig2d_TP,0.3250309978387306,0.32899340308459796,-0.006254914017497104,-0.00952252908422388,1,2,-0.00952252908422383,-0.025334238772722343,0.0069767287451237845,0.1249,10,,False
SCALE_s50_TP,0.3423381760929631,0.3514161614986787,-0.023562092271729652,-0.03194528749830461,0,1,-0.0319452874983046,-0.06094479103539261,-0.003926555547920972,0.0134,14,,False
A2_refit_TP,0.3171976890263167,0.3176112983022349,0.0015783947949168041,0.0018595756981392014,4,5,0.0018595756981392418,7.289774626038615e-05,0.0037471768777571387,0.9802,23,,False
A2_run,0.31922069395861274,0.319915293720773,-0.0004446101373792977,-0.00044441972039890865,1,1,-0.00044441972039889477,-0.0018961154917172603,0.0010489774628987378,0.2811,12,,False
A2_run_TP,0.3174635416663392,0.3177864722558623,0.0013125421548942362,0.0016844017445117598,4,4,0.0016844017445117835,-0.000779679378474279,0.004236866577071474,0.9076,22,,False
PAIRMEAN_baseline,0.4481814482251588,0.4469666043150248,-0.12940536440392536,-0.12749573031465067,0,0,-0.12749573031465067,-0.19138772034878904,-0.06351758088190629,0.0,11,,False
