pair_label,split_seed,arm,r2
Ho-Tm,104729,A2_refit,0.1634327086488674
Ce-Pr,104729,A2_refit,0.1068311589869323
Ce-Nd,104729,A2_refit,0.16606880830783255
Ce-Sm,104729,A2_refit,0.09568760947115551
Ce-Eu,104729,A2_refit,-0.020903100849121392
Ce-Gd,104729,A2_refit,-0.31307545170358253
Ce-Tb,104729,A2_refit,-0.6503054948588542
Ce-Dy,104729,A2_refit,-0.5025443387897455
Pr-Nd,104729,A2_refit,0.1296043485395113
Pr-Sm,104729,A2_refit,0.20886864525848503
Pr-Eu,104729,A2_refit,0.11834308721250408
Pr-Gd,104729,A2_refit,0.07692519802762743
Pr-Tb,104729,A2_refit,-0.13549804463714366
Pr-Dy,104729,A2_refit,0.12469081162910889
Nd-Sm,104729,A2_refit,-0.1302622396107449
Nd-Eu,104729,A2_refit,-0.23292716111008605
Nd-Gd,104729,A2_refit,-0.7032072602445236
Nd-Tb,104729,A2_refit,-1.2437878516523
Nd-Dy,104729,A2_refit,-0.9174946159691812
Sm-Eu,104729,A2_refit,-0.38200399494179194
Sm-Gd,104729,A2_refit,-0.6954963435389665
Sm-Tb,104729,A2_refit,-0.8504582187633702
Sm-Dy,104729,A2_refit,-1.1150898853641587
Eu-Gd,104729,A2_refit,-0.1629835166300182
Eu-Tb,104729,A2_refit,-0.8805967177950003
Eu-Dy,104729,A2_refit,-0.6775331407783804
Gd-Tb,104729,A2_refit,-0.10968210698825986
Gd-Dy,104729,A2_refit,-0.6328317266838099
Tb-Dy,104729,A2_refit,-0.04411042847664315
Nd-Ho,104729,A2_refit,-0.9157918808771064
Nd-Er,104729,A2_refit,-1.092321384722676
Sm-Ho,104729,A2_refit,-0.9131173222283733
Sm-Er,104729,A2_refit,-1.0866834690595688
Gd-Ho,104729,A2_refit,-0.4572235159973461
Gd-Er,104729,A2_refit,-0.5086978429805165
Dy-Ho,104729,A2_refit,-0.1010796363586135
Dy-Er,104729,A2_refit,-0.017838054256583025
Ho-Er,104729,A2_refit,-0.13336469180019717
La-Ce,104729,A2_refit,0.07073253227730258
La-Pr,104729,A2_refit,0.04333112461566602
La-Eu,104729,A2_refit,-0.0004968401468905537
La-Tb,104729,A2_refit,-0.3171734424451138
La-Tm,104729,A2_refit,-0.2779895309847993
La-Yb,104729,A2_refit,-0.17640502416286674
La-Lu,104729,A2_refit,0.024197012176361055
Ce-Tm,104729,A2_refit,-0.6657884068050841
Ce-Yb,104729,A2_refit,-0.5398848483465175
Ce-Lu,104729,A2_refit,-0.4380887637970521
Pr-Tm,104729,A2_refit,-0.14773186654688364
Pr-Yb,104729,A2_refit,-0.0383521827719544
Pr-Lu,104729,A2_refit,0.06860077402745934
Eu-Tm,104729,A2_refit,-0.682630174218164
Eu-Yb,104729,A2_refit,-0.32834275214460584
Eu-Lu,104729,A2_refit,-0.09878836770233135
Tb-Tm,104729,A2_refit,-0.03442384674809973
Tb-Yb,104729,A2_refit,0.05467040407698476
Tb-Lu,104729,A2_refit,0.10001756267195505
Tm-Yb,104729,A2_refit,-0.1097258509188137
Tm-Lu,104729,A2_refit,-0.1774134390225821
Yb-Lu,104729,A2_refit,-0.6073030357353411
Ho-Yb,104729,A2_refit,0.09516103601655712
Er-Tm,104729,A2_refit,0.061791330764490504
Er-Yb,104729,A2_refit,0.0032319105706875018
La-Nd,104729,A2_refit,0.16802497700003793
La-Sm,104729,A2_refit,0.13141602989679613
Gd-Tm,104729,A2_refit,-0.5374040167492542
Gd-Yb,104729,A2_refit,-0.26024090584439663
Gd-Lu,104729,A2_refit,-0.18812065916486365
Tb-Ho,104729,A2_refit,-0.09329721302017213
Tb-Er,104729,A2_refit,-0.05236116380649558
Dy-Tm,104729,A2_refit,0.05639115339224454
Dy-Yb,104729,A2_refit,0.10162625572429385
Dy-Lu,104729,A2_refit,0.09107092491938562
Ho-Lu,104729,A2_refit,0.05258916773266731
Er-Lu,104729,A2_refit,-0.10899414762921245
La-Gd,104729,A2_refit,-0.11261521794344742
La-Dy,104729,A2_refit,-0.0598134448586487
La-Ho,104729,A2_refit,-0.35774323921406914
La-Er,104729,A2_refit,-0.2203982895583012
Ce-Ho,104729,A2_refit,-0.5915303037735296
Ce-Er,104729,A2_refit,-0.7501212069066092
Pr-Ho,104729,A2_refit,-0.1939935621232971
Pr-Er,104729,A2_refit,-0.08430447560121457
Nd-Tm,104729,A2_refit,-1.619638115806013
Nd-Yb,104729,A2_refit,-1.041390537235066
Nd-Lu,104729,A2_refit,-0.4896199261038474
Sm-Tm,104729,A2_refit,-1.352680886195503
Sm-Yb,104729,A2_refit,-0.8090776639770123
Sm-Lu,104729,A2_refit,-0.38270414295087196
Eu-Ho,104729,A2_refit,-0.7652673116057593
Eu-Er,104729,A2_refit,-0.6608363583194534
Ho-Tm,104729,A2_lig2d,0.22540441084192875
Ce-Pr,104729,A2_lig2d,0.10613182482403427
Ce-Nd,104729,A2_lig2d,0.23716213031158795
Ce-Sm,104729,A2_lig2d,0.18408705718074725
Ce-Eu,104729,A2_lig2d,0.0772828138077758
Ce-Gd,104729,A2_lig2d,-0.12352460622751393
Ce-Tb,104729,A2_lig2d,-0.3311420367973157
Ce-Dy,104729,A2_lig2d,-0.2512247340154441
Pr-Nd,104729,A2_lig2d,0.23773789050641525
Pr-Sm,104729,A2_lig2d,0.3142504260527834
Pr-Eu,104729,A2_lig2d,0.21298027090152272
Pr-Gd,104729,A2_lig2d,0.2521364189161266
Pr-Tb,104729,A2_lig2d,0.1377805133278348
Pr-Dy,104729,A2_lig2d,0.23537930771002724
Nd-Sm,104729,A2_lig2d,-0.14254264690122298
Nd-Eu,104729,A2_lig2d,-0.11064857522771177
Nd-Gd,104729,A2_lig2d,-0.5588900953760543
Nd-Tb,104729,A2_lig2d,-0.9094525821084116
Nd-Dy,104729,A2_lig2d,-0.6987221333242488
Sm-Eu,104729,A2_lig2d,-0.20298434540350585
Sm-Gd,104729,A2_lig2d,-0.4578398991917081
Sm-Tb,104729,A2_lig2d,-0.5022061227462258
Sm-Dy,104729,A2_lig2d,-0.6961058810301661
Eu-Gd,104729,A2_lig2d,-0.08425702810747882
Eu-Tb,104729,A2_lig2d,-0.6393273534182518
Eu-Dy,104729,A2_lig2d,-0.4680634876493819
Gd-Tb,104729,A2_lig2d,-0.06766121510310441
Gd-Dy,104729,A2_lig2d,-0.4580524264651782
Tb-Dy,104729,A2_lig2d,-0.07148226024436388
Nd-Ho,104729,A2_lig2d,-0.769612638186566
Nd-Er,104729,A2_lig2d,-0.8386566065489318
Sm-Ho,104729,A2_lig2d,-0.6126870193663585
Sm-Er,104729,A2_lig2d,-0.7290665767321431
Gd-Ho,104729,A2_lig2d,-0.36620684407276305
Gd-Er,104729,A2_lig2d,-0.3885889825498423
Dy-Ho,104729,A2_lig2d,-0.018717077948966043
Dy-Er,104729,A2_lig2d,-0.07362855425171011
Ho-Er,104729,A2_lig2d,-0.025360358184850718
La-Ce,104729,A2_lig2d,0.06003583430819148
La-Pr,104729,A2_lig2d,0.08149970082284397
La-Eu,104729,A2_lig2d,0.12771923944218655
La-Tb,104729,A2_lig2d,-0.10636063685949848
La-Tm,104729,A2_lig2d,-0.21255172573104608
La-Yb,104729,A2_lig2d,-0.11838505599139237
La-Lu,104729,A2_lig2d,0.054524413362369684
Ce-Tm,104729,A2_lig2d,-0.5182984867337297
Ce-Yb,104729,A2_lig2d,-0.41968647299696316
Ce-Lu,104729,A2_lig2d,-0.3389382053717671
Pr-Tm,104729,A2_lig2d,-0.048321035794661515
Pr-Yb,104729,A2_lig2d,0.03935921243840046
Pr-Lu,104729,A2_lig2d,0.17804577865386262
Eu-Tm,104729,A2_lig2d,-0.6245349440876304
Eu-Yb,104729,A2_lig2d,-0.3994986991070466
Eu-Lu,104729,A2_lig2d,-0.12451141499125273
Tb-Tm,104729,A2_lig2d,-0.06335893117990432
Tb-Yb,104729,A2_lig2d,-0.0073933732209279235
Tb-Lu,104729,A2_lig2d,0.0930755616397404
Tm-Yb,104729,A2_lig2d,-0.06382230774820874
Tm-Lu,104729,A2_lig2d,-0.08617188089718297
Yb-Lu,104729,A2_lig2d,-0.15006959118528096
Ho-Yb,104729,A2_lig2d,0.1521577649235869
Er-Tm,104729,A2_lig2d,0.0695595310523276
Er-Yb,104729,A2_lig2d,0.021419075736481052
La-Nd,104729,A2_lig2d,0.2500173008006291
La-Sm,104729,A2_lig2d,0.24097101616517358
Gd-Tm,104729,A2_lig2d,-0.49451978233900573
Gd-Yb,104729,A2_lig2d,-0.36781953964611636
Gd-Lu,104729,A2_lig2d,-0.17707640417658554
Tb-Ho,104729,A2_lig2d,-0.07950819435119749
Tb-Er,104729,A2_lig2d,-0.08231474163777475
Dy-Tm,104729,A2_lig2d,-0.021960364315065206
Dy-Yb,104729,A2_lig2d,0.03562783912442957
Dy-Lu,104729,A2_lig2d,0.10130193648277264
Ho-Lu,104729,A2_lig2d,0.22796716759639846
Er-Lu,104729,A2_lig2d,0.1190855991198837
La-Gd,104729,A2_lig2d,0.12365734902151415
La-Dy,104729,A2_lig2d,0.05377310755034925
La-Ho,104729,A2_lig2d,-0.30862135336350915
La-Er,104729,A2_lig2d,-0.14689375941953742
Ce-Ho,104729,A2_lig2d,-0.4574925296857144
