comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_refit_vs_HIER,A2_refit,HIER,-0.008336293650599347,-0.02737432821556759,0.011688489055521433,0.1985,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE,A2_refit,SCALE,-0.03330910559389552,-0.07799763550433764,0.014146743905906861,0.084,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50,A2_refit,SCALE_s50,0.010881162357964595,-0.01716817541768178,0.042191705931607766,0.7625,20,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_ens,A2_refit,A2_ens,-7.646612155950237e-05,-0.0021775953129538014,0.0021399060737288776,0.4505,17,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_refit_TP,A2_refit,A2_refit_TP,0.0004536711820271914,-0.0016946544967690218,0.002551632010387979,0.656,20,34,2000,8675309,extractant,True,True
A2_refit_vs_HIER_TP,A2_refit,HIER_TP,-0.006056418741438304,-0.02527911552060921,0.014075785280936434,0.2805,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_TP,A2_refit,SCALE_TP,-0.03213340858505748,-0.07712644001057614,0.01604943694469275,0.09,15,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50_TP,A2_refit,SCALE_s50_TP,0.012196272329722329,-0.015692679350506503,0.043455664748403816,0.785,21,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_ens_TP,A2_refit,A2_ens_TP,-7.335778929818135e-05,-0.003259681146928714,0.003248064797503138,0.4565,18,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_run,A2_refit,A2_run,-0.000445371805300835,-0.0036416893364466583,0.0032362976908782877,0.377,15,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_run_TP,A2_refit,A2_run_TP,-0.00017489620357585508,-0.003964322581838791,0.004144001518255624,0.4405,15,34,2000,8675309,extractant,True,True
A2_refit_vs_PAIRMEAN_baseline,A2_refit,PAIRMEAN_baseline,-0.1370439007610241,-0.201617136737047,-0.07769412180966508,0.0,10,34,2000,8675309,extractant,True,True
