comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.5358745046398732,0.5358745046398732,0.5358745046398732,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,nn<0.4,MC_donors,1,1,0.5165052007004702,0.5165052007004702,0.5165052007004702,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,nn<0.4,MC_donors,1,1,0.5124860211296747,0.5124860211296747,0.5124860211296747,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.4943856651290294,0.4943856651290294,0.4943856651290294,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,nn<0.4,MC_donors,1,1,0.4848115879926012,0.4848115879926012,0.4848115879926012,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,nn<0.4,MC_donors,1,1,0.4720986066474069,0.4720986066474069,0.4720986066474069,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,nn<0.4,MC_donors,1,1,0.4720045428021543,0.4720045428021543,0.4720045428021543,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.470637044199078,0.470637044199078,0.470637044199078,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.4680845929481167,0.4680845929481167,0.4680845929481167,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.467746428638605,0.467746428638605,0.467746428638605,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.4629614543398967,0.4629614543398967,0.4629614543398967,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,mae,nn<0.4,MC_donors,1,1,0.4611488431589001,0.4611488431589001,0.4611488431589001,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,nn<0.6,MC_donors,1,1,0.2823963849385821,0.2823963849385821,0.2823963849385821,1,1,1,True
