feature_set,endpoint,kind,units,gain,units_improved
MC_donors,all,BASE-eligible only,72.0,-0.025651493608118407,0.4305555555555556
MC_donors,all,added chemistry only,57.0,0.4274199802041534,0.6596491228070176
MC_donors,all,mixed,2.0,0.012588712108854483,0.6
MC_donors,nn<0.4,BASE-eligible only,9.2,-0.0015744492272312574,0.5217391304347826
MC_donors,nn<0.4,added chemistry only,26.8,0.7379813115332132,0.7238805970149254
MC_lig2d_ext_massaction,all,BASE-eligible only,72.0,0.008083131871245925,0.475
MC_lig2d_ext_massaction,all,added chemistry only,57.0,0.36696374921812164,0.7228070175438597
MC_lig2d_ext_massaction,all,mixed,2.0,-0.05438797045475223,0.1
MC_lig2d_ext_massaction,nn<0.4,BASE-eligible only,9.2,0.27364982697716406,0.7391304347826086
MC_lig2d_ext_massaction,nn<0.4,added chemistry only,26.8,0.5701461382261459,0.7835820895522388
