arm,feature_set,split_seed,fold,n_train_rows,n_train_extractants,n_train_ecfp_clusters
BASE,MC_lig2d_ext_massaction,104729,0,4559,81,65
EXPANDED,MC_lig2d_ext_massaction,104729,0,4866,130,110
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,0,4559,130,110
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,0,4866,130,110
BASE,MC_lig2d_ext_massaction,104729,1,1284,44,42
EXPANDED,MC_lig2d_ext_massaction,104729,1,1495,82,79
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,1,1284,82,79
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,1,1495,82,79
BASE,MC_lig2d_ext_massaction,104729,2,4638,80,63
EXPANDED,MC_lig2d_ext_massaction,104729,2,4962,134,113
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,2,4638,134,113
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,2,4962,134,113
BASE,MC_lig2d_ext_massaction,104729,3,4430,83,67
EXPANDED,MC_lig2d_ext_massaction,104729,3,4747,134,114
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,3,4430,134,114
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,3,4747,134,114
BASE,MC_lig2d_ext_massaction,104729,4,4613,76,59
EXPANDED,MC_lig2d_ext_massaction,104729,4,4922,128,108
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,4,4613,128,108
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,4,4922,128,108
BASE,MC_lig2d_ext_massaction,130363,0,1141,49,42
EXPANDED,MC_lig2d_ext_massaction,130363,0,1436,98,87
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,130363,0,1141,98,87
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,130363,0,1436,98,87
BASE,MC_lig2d_ext_massaction,130363,1,4642,82,66
EXPANDED,MC_lig2d_ext_massaction,130363,1,4937,131,112
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,130363,1,4642,131,112
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,130363,1,4937,131,112
BASE,MC_lig2d_ext_massaction,130363,2,4464,75,62
EXPANDED,MC_lig2d_ext_massaction,130363,2,4766,125,108
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,130363,2,4464,125,108
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,130363,2,4766,125,108
BASE,MC_lig2d_ext_massaction,130363,3,4558,78,61
EXPANDED,MC_lig2d_ext_massaction,130363,3,4836,124,104
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,130363,3,4558,124,104
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,130363,3,4836,124,104
BASE,MC_lig2d_ext_massaction,130363,4,4719,80,65
EXPANDED,MC_lig2d_ext_massaction,130363,4,5017,130,113
