feature_set,split_seed,endpoint,n_rows_reference_bins,n_rows_if_each_arm_used_its_own_training_set,n_rows_that_would_change_bin
MC_lig2d_ext_massaction,104729,nn<0.4,494,396,98
MC_lig2d_ext_massaction,104729,nn<0.6,1942,1282,660
MC_lig2d_ext_massaction,130363,nn<0.4,622,433,189
MC_lig2d_ext_massaction,130363,nn<0.6,2162,1372,790
MC_lig2d_ext_massaction,155921,nn<0.4,539,397,142
MC_lig2d_ext_massaction,155921,nn<0.6,2195,1829,366
MC_lig2d_ext_massaction,196613,nn<0.4,524,406,118
MC_lig2d_ext_massaction,196613,nn<0.6,1695,1159,536
MC_lig2d_ext_massaction,262147,nn<0.4,542,406,136
MC_lig2d_ext_massaction,262147,nn<0.6,1935,1273,662
