feature_set,endpoint,comparison,reference,candidate,statistic,pooled_point_delta,pooled_ci95_low,pooled_ci95_high,pooled_p_worse_one_sided,pooled_units_improved,pooled_units_total,pooled_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,preregistered,question,mean_point_delta,min_point_delta,max_point_delta,seeds_positive,n_seeds
MC_lig2d_ext_massaction,all,EXPANDED_vs_BASE,BASE,EXPANDED,mae,0.16350562068647403,0.0825127354724113,0.2830005926293505,0.0001999600079984003,81,131,79,5000,0.24669603501901877,54,0.21374045801526717,0.049874245490118874,0.06421362524327619,0.2627976161296719,0.001560976448015053,0.07110835734348626,0.2646150860007043,-0.021057233557829822,-0.06537929929675358,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.16350562068647406,0.13747584718845327,0.19937507572760763,5,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,0.16877512988146676,0.08634242541029186,0.2897604115101825,0.0001999600079984003,84,131,79,5000,0.24883262445433024,54,0.21374045801526717,0.049679392164847576,0.06987105760973349,0.2676792021532,0.0010739349460725696,0.08003141439197621,0.2779224937852267,0.0005013256759256267,-0.04492542425368531,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.16877512988146676,0.1319044504547517,0.21499777004218765,5,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,0.02396720216830309,0.0026695427973171893,0.05279183165780995,0.013797240551889621,73,131,79,5000,0.04449396243130876,50,0.21374045801526717,0.0135419527397622,-0.002992754749638931,0.05092715908624511,0.08066043733549688,-0.002908372324351727,0.04756601962632405,-0.054671719780786665,-0.10302262199348036,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.023967202168303097,0.019725585352081725,0.030104211974503317,5,5
MC_lig2d_ext_massaction,all,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,0.1613540628848394,0.07964637235466679,0.28010461435583955,0.0001999600079984003,82,131,79,5000,0.24613510917940698,53,0.21374045801526717,0.04997155784270732,0.061868333429731664,0.26083979233994714,0.0018190548479361482,0.06955549277745693,0.26488326163785797,-0.01855011304703817,-0.06470952411647589,True,row-budget-matched depth control: help at BASE's row count?,0.1613540628848394,0.12948558486563116,0.18183116405786998,5,5
MC_lig2d_ext_massaction,all,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,0.16869014425902493,0.087185371531805,0.2887786131966578,0.0001999600079984003,83,131,79,5000,0.2492607054991717,51,0.21374045801526717,0.04928669194089225,0.07056787807707482,0.26681241044097503,0.0009906112199374417,0.08112923933801526,0.2780276648463179,-0.0010026514778483275,-0.04172782281323355,True,row-budget-matched depth control: help at BASE's row count?,0.16869014425902495,0.13068625337640122,0.1954275901952547,5,5
MC_lig2d_ext_massaction,all,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,0.02113645222889165,-0.002440155423804584,0.05204872710924001,0.046390721855628876,73,131,79,5000,0.04289827053102446,50,0.21374045801526717,0.014960612160556152,-0.008647838638580103,0.0509207430963634,0.1616905059069644,-0.009801113728733756,0.04635482398810849,-0.0687357011322444,-0.11240334147268659,True,row-budget-matched depth control: help at BASE's row count?,0.021136452228891652,0.016991151366255734,0.027606446278991836,5,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,0.19224943201259623,0.10690803664034738,0.3178578613731993,0.0001999600079984003,87,131,79,5000,0.2814708602965421,57,0.21374045801526717,0.05174730450150888,0.08922846252686127,0.29527040149833117,0.00037992717069671177,0.10081306768546058,0.3069612001703182,0.004010615991203968,-0.03990609585229236,True,A4 information null: is the gain information or just rows/regularisation?,0.19224943201259623,0.13961748355072043,0.2578043884862741,5,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,0.20253270421385194,0.11457627457364493,0.3283152994809857,0.0001999600079984003,86,131,79,5000,0.2927306923170693,55,0.21374045801526717,0.05186019592091747,0.09928698517669339,0.3057784232510105,0.00019876534054666045,0.11217071313403654,0.3222514364961233,0.011029388020358915,-0.027581978043688584,True,A4 information null: is the gain information or just rows/regularisation?,0.20253270421385192,0.14329014880813004,0.2644402650189489,5,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,0.02862197587841282,0.012824405867512765,0.049692345578681955,0.0001999600079984003,83,131,79,5000,0.03648598959780545,52,0.21374045801526717,0.009486260062528442,0.009736282838942664,0.047507668917882974,0.003444252583858798,0.010410080045410422,0.046400091647078694,-0.05316555488880454,-0.07290213879997144,True,A4 information null: is the gain information or just rows/regularisation?,0.02862197587841282,0.017514178459166984,0.048799657052190484,5,5
MC_lig2d_ext_massaction,all,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,-0.028743811326122175,-0.06581237172381965,0.009033488776997875,0.935612877424515,61,131,79,5000,-0.034774825277523326,36,0.21374045801526717,0.017968396181529456,-0.06451614019536726,0.007028517543122916,0.11371102871713996,-0.06600654279772214,0.008862287967232964,0.012533469508069276,-0.010658656956977581,True,how much of the apparent gain survives destroying the new labels?,-0.028743811326122182,-0.05842931275866652,-0.001072907075090877,0,5
