feature_set,split_seed,endpoint,n_rows,n_ligands,n_ecfp_clusters,n_superclusters
MC_lig2d_ext_massaction,104729,all,5248,152,131,79
MC_lig2d_ext_massaction,104729,nn<0.4,494,33,33,32
MC_lig2d_ext_massaction,104729,nn<0.6,1942,94,88,57
MC_lig2d_ext_massaction,130363,all,5248,152,131,79
MC_lig2d_ext_massaction,130363,nn<0.4,622,37,37,35
MC_lig2d_ext_massaction,130363,nn<0.6,2162,86,85,57
MC_lig2d_ext_massaction,155921,all,5248,152,131,79
MC_lig2d_ext_massaction,155921,nn<0.4,539,38,38,34
MC_lig2d_ext_massaction,155921,nn<0.6,2195,88,86,58
MC_lig2d_ext_massaction,196613,all,5248,152,131,79
MC_lig2d_ext_massaction,196613,nn<0.4,524,35,35,33
MC_lig2d_ext_massaction,196613,nn<0.6,1695,76,75,52
MC_lig2d_ext_massaction,262147,all,5248,152,131,79
MC_lig2d_ext_massaction,262147,nn<0.4,542,37,37,35
MC_lig2d_ext_massaction,262147,nn<0.6,1935,90,85,55
