regime,lambda_ligand,n_folds,share_of_folds,lambda_fixed_median,lambda_fixed_min,lambda_fixed_max
unseen_chemotype,0.1,2,0.08,100.0,10.0,100.0
unseen_chemotype,1,10,0.4,100.0,10.0,100.0
unseen_chemotype,10,7,0.28,100.0,10.0,100.0
unseen_chemotype,1e+06,6,0.24,100.0,10.0,100.0
unseen_ligand,0.1,2,0.08,100.0,10.0,100.0
unseen_ligand,1,7,0.28,100.0,10.0,100.0
unseen_ligand,10,10,0.4,100.0,10.0,100.0
unseen_ligand,1e+06,6,0.24,100.0,10.0,100.0
unseen_series,0.1,16,0.64,10.0,10.0,100.0
unseen_series,1,9,0.36,10.0,10.0,100.0
