regime,split_seed,fold,n_train_ligands,n_design_columns,model,lambda_fixed,lambda_ligand,inner_macro_mae,n_grid_points
unseen_chemotype,104729,0,130,129,MONO_RIDGE,100.0,,1.0210460729572712,3
unseen_chemotype,104729,0,130,129,C1_HIER_RIDGE,100.0,1000000.0,1.0210460766658487,15
unseen_chemotype,104729,0,130,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_chemotype,104729,1,82,129,MONO_RIDGE,100.0,,1.1270861537097476,3
unseen_chemotype,104729,1,82,129,C1_HIER_RIDGE,100.0,10.0,1.1262729153811948,15
unseen_chemotype,104729,1,82,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,104729,2,134,129,MONO_RIDGE,100.0,,1.1516518532774114,3
unseen_chemotype,104729,2,134,129,C1_HIER_RIDGE,100.0,1.0,1.1330709813321458,15
unseen_chemotype,104729,2,134,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,104729,3,134,129,MONO_RIDGE,100.0,,1.1273734270399378,3
unseen_chemotype,104729,3,134,129,C1_HIER_RIDGE,100.0,10.0,1.1270165354147983,15
unseen_chemotype,104729,3,134,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,104729,4,128,129,MONO_RIDGE,100.0,,1.2798733334786008,3
unseen_chemotype,104729,4,128,129,C1_HIER_RIDGE,100.0,10.0,1.2790947233563115,15
unseen_chemotype,104729,4,128,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,130363,0,98,129,MONO_RIDGE,100.0,,1.0823026026670366,3
unseen_chemotype,130363,0,98,129,C1_HIER_RIDGE,10.0,0.1,1.0757892980332058,15
unseen_chemotype,130363,0,98,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_chemotype,130363,1,131,129,MONO_RIDGE,100.0,,1.1178448730649806,3
unseen_chemotype,130363,1,131,129,C1_HIER_RIDGE,100.0,1000000.0,1.1178448745969847,15
unseen_chemotype,130363,1,131,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_chemotype,130363,2,125,129,MONO_RIDGE,100.0,,1.1312149346990374,3
unseen_chemotype,130363,2,125,129,C1_HIER_RIDGE,100.0,1000000.0,1.131214936469968,15
unseen_chemotype,130363,2,125,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_chemotype,130363,3,124,129,MONO_RIDGE,100.0,,1.1789065606995717,3
unseen_chemotype,130363,3,124,129,C1_HIER_RIDGE,100.0,10.0,1.178280041183106,15
unseen_chemotype,130363,3,124,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,130363,4,130,129,MONO_RIDGE,100.0,,1.0527675213624235,3
unseen_chemotype,130363,4,130,129,C1_HIER_RIDGE,100.0,1.0,1.0416042644196135,15
unseen_chemotype,130363,4,130,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,155921,0,96,129,MONO_RIDGE,100.0,,1.2062388973735418,3
unseen_chemotype,155921,0,96,129,C1_HIER_RIDGE,100.0,1.0,1.192887508127501,15
unseen_chemotype,155921,0,96,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,155921,1,130,129,MONO_RIDGE,100.0,,1.2032483260192206,3
unseen_chemotype,155921,1,130,129,C1_HIER_RIDGE,100.0,1.0,1.1895301145527037,15
unseen_chemotype,155921,1,130,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,155921,2,132,129,MONO_RIDGE,100.0,,1.1618051814553783,3
unseen_chemotype,155921,2,132,129,C1_HIER_RIDGE,100.0,1.0,1.1524880851938921,15
unseen_chemotype,155921,2,132,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,155921,3,133,129,MONO_RIDGE,100.0,,1.1254623600470137,3
unseen_chemotype,155921,3,133,129,C1_HIER_RIDGE,100.0,10.0,1.1247926827652999,15
unseen_chemotype,155921,3,133,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,155921,4,117,129,MONO_RIDGE,100.0,,1.1544364095872994,3
unseen_chemotype,155921,4,117,129,C1_HIER_RIDGE,100.0,1.0,1.1523199193168818,15
unseen_chemotype,155921,4,117,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,196613,0,88,129,MONO_RIDGE,100.0,,1.1874910693630925,3
unseen_chemotype,196613,0,88,129,C1_HIER_RIDGE,100.0,10.0,1.186537940535338,15
unseen_chemotype,196613,0,88,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,196613,1,131,129,MONO_RIDGE,100.0,,1.1492983557722567,3
unseen_chemotype,196613,1,131,129,C1_HIER_RIDGE,100.0,1.0,1.1411971478276568,15
unseen_chemotype,196613,1,131,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,196613,2,135,129,MONO_RIDGE,100.0,,1.127480149219352,3
unseen_chemotype,196613,2,135,129,C1_HIER_RIDGE,100.0,1000000.0,1.1274801494365745,15
unseen_chemotype,196613,2,135,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_chemotype,196613,3,132,129,MONO_RIDGE,100.0,,1.1590410504534947,3
unseen_chemotype,196613,3,132,129,C1_HIER_RIDGE,100.0,1.0,1.1542724207085546,15
unseen_chemotype,196613,3,132,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,196613,4,122,129,MONO_RIDGE,100.0,,1.1455783715260195,3
unseen_chemotype,196613,4,122,129,C1_HIER_RIDGE,100.0,10.0,1.145324159088913,15
unseen_chemotype,196613,4,122,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_chemotype,262147,0,133,129,MONO_RIDGE,100.0,,1.2258799588899276,3
unseen_chemotype,262147,0,133,129,C1_HIER_RIDGE,100.0,1.0,1.2192018875258441,15
unseen_chemotype,262147,0,133,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,262147,1,88,129,MONO_RIDGE,100.0,,1.1441717817870343,3
unseen_chemotype,262147,1,88,129,C1_HIER_RIDGE,10.0,0.1,1.1230329016210845,15
unseen_chemotype,262147,1,88,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_chemotype,262147,2,128,129,MONO_RIDGE,100.0,,1.1998009377196002,3
unseen_chemotype,262147,2,128,129,C1_HIER_RIDGE,100.0,1.0,1.1730317336775713,15
unseen_chemotype,262147,2,128,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_chemotype,262147,3,133,129,MONO_RIDGE,100.0,,1.1927582332243245,3
unseen_chemotype,262147,3,133,129,C1_HIER_RIDGE,100.0,1000000.0,1.19275825012375,15
unseen_chemotype,262147,3,133,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_chemotype,262147,4,126,129,MONO_RIDGE,100.0,,1.0367450262372782,3
unseen_chemotype,262147,4,126,129,C1_HIER_RIDGE,100.0,1000000.0,1.0367450394654107,15
unseen_chemotype,262147,4,126,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,104729,0,124,129,MONO_RIDGE,100.0,,1.0303033858174488,3
unseen_ligand,104729,0,124,129,C1_HIER_RIDGE,10.0,0.1,1.011136648675252,15
unseen_ligand,104729,0,124,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_ligand,104729,1,124,129,MONO_RIDGE,100.0,,1.1018924858066252,3
unseen_ligand,104729,1,124,129,C1_HIER_RIDGE,100.0,10.0,1.1012842055072183,15
unseen_ligand,104729,1,124,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,104729,2,118,129,MONO_RIDGE,100.0,,1.1263548298120059,3
unseen_ligand,104729,2,118,129,C1_HIER_RIDGE,100.0,1000000.0,1.1263548566850108,15
unseen_ligand,104729,2,118,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,104729,3,120,129,MONO_RIDGE,100.0,,1.0919591832202455,3
unseen_ligand,104729,3,120,129,C1_HIER_RIDGE,100.0,10.0,1.0918882016923728,15
unseen_ligand,104729,3,120,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,104729,4,122,129,MONO_RIDGE,100.0,,1.042326985507517,3
unseen_ligand,104729,4,122,129,C1_HIER_RIDGE,100.0,10.0,1.0414128933855995,15
unseen_ligand,104729,4,122,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,130363,0,116,129,MONO_RIDGE,100.0,,1.068476149622052,3
unseen_ligand,130363,0,116,129,C1_HIER_RIDGE,10.0,1.0,1.0546682011492639,15
unseen_ligand,130363,0,116,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_ligand,130363,1,125,129,MONO_RIDGE,100.0,,1.0758643980229718,3
unseen_ligand,130363,1,125,129,C1_HIER_RIDGE,100.0,10.0,1.0749381267259315,15
unseen_ligand,130363,1,125,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,130363,2,121,129,MONO_RIDGE,100.0,,1.0878250733773622,3
unseen_ligand,130363,2,121,129,C1_HIER_RIDGE,100.0,1000000.0,1.0878250849715745,15
unseen_ligand,130363,2,121,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,130363,3,122,129,MONO_RIDGE,100.0,,1.1142314875701065,3
unseen_ligand,130363,3,122,129,C1_HIER_RIDGE,100.0,1.0,1.1064611637582915,15
unseen_ligand,130363,3,122,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_ligand,130363,4,124,129,MONO_RIDGE,100.0,,1.197260330340118,3
unseen_ligand,130363,4,124,129,C1_HIER_RIDGE,100.0,10.0,1.196823826263295,15
unseen_ligand,130363,4,124,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,155921,0,122,129,MONO_RIDGE,100.0,,1.1545920322308205,3
unseen_ligand,155921,0,122,129,C1_HIER_RIDGE,100.0,1.0,1.150778274366078,15
unseen_ligand,155921,0,122,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_ligand,155921,1,123,129,MONO_RIDGE,100.0,,1.217005507170905,3
unseen_ligand,155921,1,123,129,C1_HIER_RIDGE,100.0,10.0,1.216686838150406,15
unseen_ligand,155921,1,123,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,155921,2,122,129,MONO_RIDGE,100.0,,1.0632539354528616,3
unseen_ligand,155921,2,122,129,C1_HIER_RIDGE,100.0,1000000.0,1.0632539432507422,15
unseen_ligand,155921,2,122,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,155921,3,119,129,MONO_RIDGE,100.0,,1.178253831763602,3
unseen_ligand,155921,3,119,129,C1_HIER_RIDGE,100.0,1.0,1.1570464790488435,15
unseen_ligand,155921,3,119,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_ligand,155921,4,122,129,MONO_RIDGE,100.0,,1.0844445016684157,3
unseen_ligand,155921,4,122,129,C1_HIER_RIDGE,100.0,1.0,1.0817988894389738,15
unseen_ligand,155921,4,122,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_ligand,196613,0,122,129,MONO_RIDGE,100.0,,1.0340335290544844,3
unseen_ligand,196613,0,122,129,C1_HIER_RIDGE,100.0,1000000.0,1.0340335359539505,15
unseen_ligand,196613,0,122,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,196613,1,122,129,MONO_RIDGE,100.0,,1.0876565627062933,3
unseen_ligand,196613,1,122,129,C1_HIER_RIDGE,100.0,10.0,1.0862211088470637,15
unseen_ligand,196613,1,122,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,196613,2,124,129,MONO_RIDGE,100.0,,1.1323377634902283,3
unseen_ligand,196613,2,124,129,C1_HIER_RIDGE,100.0,10.0,1.131676704742578,15
unseen_ligand,196613,2,124,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,196613,3,124,129,MONO_RIDGE,100.0,,1.0496323641414598,3
unseen_ligand,196613,3,124,129,C1_HIER_RIDGE,10.0,0.1,1.039127955110284,15
unseen_ligand,196613,3,124,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_ligand,196613,4,116,129,MONO_RIDGE,100.0,,1.1205421211006876,3
unseen_ligand,196613,4,116,129,C1_HIER_RIDGE,10.0,1.0,1.113857274264325,15
unseen_ligand,196613,4,116,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_ligand,262147,0,121,129,MONO_RIDGE,100.0,,1.1395559141123945,3
unseen_ligand,262147,0,121,129,C1_HIER_RIDGE,100.0,1.0,1.1366278886470587,15
unseen_ligand,262147,0,121,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_ligand,262147,1,118,129,MONO_RIDGE,100.0,,1.0376989410928068,3
unseen_ligand,262147,1,118,129,C1_HIER_RIDGE,100.0,1000000.0,1.037698963172704,15
unseen_ligand,262147,1,118,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,262147,2,126,129,MONO_RIDGE,100.0,,1.0669663342024218,3
unseen_ligand,262147,2,126,129,C1_HIER_RIDGE,100.0,10.0,1.066628580941282,15
unseen_ligand,262147,2,126,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_ligand,262147,3,121,129,MONO_RIDGE,100.0,,1.1208976269044795,3
unseen_ligand,262147,3,121,129,C1_HIER_RIDGE,100.0,1000000.0,1.1208976451055401,15
unseen_ligand,262147,3,121,129,C3_SHARED_RIDGE,100.0,1000000.0,,0
unseen_ligand,262147,4,122,129,MONO_RIDGE,100.0,,1.0421852609468554,3
unseen_ligand,262147,4,122,129,C1_HIER_RIDGE,100.0,10.0,1.041604534529807,15
unseen_ligand,262147,4,122,129,C3_SHARED_RIDGE,100.0,10.0,,0
unseen_series,104729,0,133,129,MONO_RIDGE,100.0,,1.0821317519233187,3
unseen_series,104729,0,133,129,C1_HIER_RIDGE,100.0,1.0,1.061308559466671,15
unseen_series,104729,0,133,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_series,104729,1,125,129,MONO_RIDGE,10.0,,1.0717459190481724,3
unseen_series,104729,1,125,129,C1_HIER_RIDGE,10.0,0.1,0.9966106821091643,15
