n_folds,checkpoint,endpoint,n_rows,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
15,1,all,15744,maxmin_vs_random,random,maxmin,mae,0.09073503558865306,0.04430143380606614,0.1296382663069026,0.0001999600079984003,91,131,79,5000,0.08816047169157577,48,0.21374045801526717,0.0208764506858262,0.04917321493358416,0.13229685624372195,4.1321469670262554e-05,0.04789339274134978,0.13200281408205744,0.00852263930681304,0.0234294810942508
15,1,all,15744,maxmin_vs_random,random,maxmin,offset_mae,0.06403476650739567,0.010939015825525642,0.10582910615108099,0.008798240351929614,84,131,79,5000,0.05293335064556908,46,0.21374045801526717,0.024140919386580348,0.015973887908202866,0.11209564510658848,0.009674992772444001,0.015294192812157022,0.11028106867358203,0.0010026514778481883,0.04254409772677676
15,1,all,15744,maxmin_vs_random,random,maxmin,shape_mae,0.09939497309202641,0.06285822008295787,0.12664535336506377,0.0001999600079984003,101,131,79,5000,0.08886733184127477,57,0.21374045801526717,0.015426898449559552,0.06868237753286516,0.13010756865118767,8.853485670204734e-09,0.06383652323509519,0.12757002377792284,-0.015541720951108279,0.02601395165997384
15,1,all,15744,uncertainty_vs_random,random,uncertainty,mae,0.1598650217244034,-0.08182031941428211,0.3970561516517563,0.2383523295340932,77,131,79,5000,-0.0036797861692251885,37,0.21374045801526717,0.1465271577479016,-0.1318481407793147,0.45157818422812146,0.27862000752465826,-0.04588925713730909,0.5030028251643506,0.1100118210228888,0.15236563541864476
15,1,all,15744,uncertainty_vs_random,random,uncertainty,offset_mae,0.1185023937118921,-0.19585708080397674,0.44189408127882585,0.35652869426114775,62,131,79,5000,-0.10370673600295874,28,0.21374045801526717,0.19927865464059555,-0.27823093175607483,0.515235719179859,0.5537940523474031,-0.15648902735447096,0.5927336717436181,0.11253401620461546,0.15653471250169143
15,1,all,15744,uncertainty_vs_random,random,uncertainty,shape_mae,0.15314352629509415,0.11189718058011043,0.21352140137899148,0.0001999600079984003,105,131,79,5000,0.15415599945665578,60,0.21374045801526717,0.024756363760887825,0.10385739206729466,0.20242966052289363,2.656219804729293e-08,0.11123076002279961,0.21267185525062066,-0.0005013256759256267,-0.011249556196265019
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,mae,-0.11184097735378962,-0.23945385611810308,-0.013379706785452158,0.9908018396320736,58,131,79,5000,-0.14694223916638127,28,0.21374045801526717,0.06119625899674701,-0.23367337019970447,0.009991415492125233,0.07143715057102058,-0.2156862228170387,0.008518857686599114,0.06320909814132884,0.09429538112041505
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,offset_mae,-0.11399156290866792,-0.2542054199095194,-0.009793124329515282,0.9850029994001199,62,131,79,5000,-0.1550376372026198,31,0.21374045801526717,0.06465953373369626,-0.2427188061131278,0.014735680295791934,0.08182564535284134,-0.22982637839581024,0.007793110164162009,0.04664018984972224,0.07557611944526947
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,shape_mae,-0.005115095031964248,-0.07218844350202101,0.04891782622592035,0.5934813037392521,67,131,79,5000,-0.041898207359716264,32,0.21374045801526717,0.03361486596257957,-0.07203715240206367,0.061806962338135166,0.8794476297063063,-0.05858391152702927,0.06912609313794077,0.09136823619113155,0.1232639325505461
15,1,all,15744,offset_uncertainty_vs_random,random,offset_uncertainty,mae,0.1230967237502856,-0.059250847952191675,0.2947837078940086,0.20075984803039393,80,131,79,5000,-0.005780765609048599,38,0.21374045801526717,0.10648440270712485,-0.08889743725335758,0.3350908847539288,0.25120686390783775,-0.028156483634588905,0.3705563193224655,0.11707578313820408,0.1502537917567717
