extractant,n_reference,nn_tanimoto,nn_partner,mean_top5_tanimoto,n_above_0_5,n_above_0_7,n_above_0_8,supercluster_support,extractant_name,family,n_cells
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,91,0.10204081632653061,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0.08018707482993197,0,0,0,0,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,podand_ether,5
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,91,0.12,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.10858204151533941,0,0,0,0,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,hydroxyl_acid,3
C1COCCOCCOCCOCCOCCO1,91,0.1282051282051282,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0.05566214177978883,0,0,0,0,1-4-7-10-13-16-hexaoxacyclooctadecane,podand_ether,5
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,91,0.14705882352941177,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.13153506901147163,0,0,0,0,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,podand_ether,5
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,91,0.17391304347826086,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.15533272390302544,0,0,0,0,DPhen-PyranDGA,diglycolamide,3
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,91,0.17391304347826086,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0.14061477652781998,0,0,0,0,3-5-diMe-N-DPPz,n_heterocyclic_polydentate,6
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,91,0.17647058823529413,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.1645563869093281,0,0,0,0,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,hydroxyl_acid,8
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,91,0.18181818181818182,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.1684487427466151,0,0,0,0,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,podand_ether,5
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,91,0.2,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.19454793546217478,0,0,0,0,3-Me-N-DPP,n_heterocyclic_polydentate,7
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,91,0.20689655172413793,CCN(CC)C(=O)COCC(=O)N(CC)CC,0.1882383384135331,0,0,0,0,TWE-28,sulfur_donor,6
