arm,feature_set,split_seed,fold,n_train_rows,n_train_extractants,n_train_ecfp_clusters
BASE,MC_lig2d_ext_massaction,104729,0,4559,81,65
EXPANDED,MC_lig2d_ext_massaction,104729,0,4866,130,110
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,0,4559,130,110
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,0,4866,130,110
BASE,MC_lig2d_ext_massaction,104729,1,1284,44,42
EXPANDED,MC_lig2d_ext_massaction,104729,1,1495,82,79
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,1,1284,82,79
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,1,1495,82,79
BASE,MC_lig2d_ext_massaction,104729,2,4638,80,63
EXPANDED,MC_lig2d_ext_massaction,104729,2,4962,134,113
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,2,4638,134,113
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,2,4962,134,113
BASE,MC_lig2d_ext_massaction,104729,3,4430,83,67
EXPANDED,MC_lig2d_ext_massaction,104729,3,4747,134,114
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,3,4430,134,114
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,3,4747,134,114
BASE,MC_lig2d_ext_massaction,104729,4,4613,76,59
EXPANDED,MC_lig2d_ext_massaction,104729,4,4922,128,108
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,104729,4,4613,128,108
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,104729,4,4922,128,108
