                       comparison  statistic  point  ci_low  ci_high  bca_low  bca_high  block_macro  units_improved  units_total  seeds_positive  n_seeds
GEN7_everything_vs_gen6_reference        mae 0.0566 -0.0252   0.1291  -0.0091    0.1583       0.0105         79.0000        131.0               3        3
GEN7_everything_vs_gen6_reference offset_mae 0.0538 -0.0383   0.1293  -0.0203    0.1570       0.0040         73.3333        131.0               3        3
       all_chemistry_vs_no_ligand        mae 0.0973 -0.0161   0.2066  -0.0229    0.1995       0.0521         76.6667        131.0               3        3
       all_chemistry_vs_no_ligand offset_mae 0.0701 -0.0625   0.1918  -0.0652    0.1893       0.0058         66.0000        131.0               2        3
             indicators_on_vs_off        mae 0.0614  0.0287   0.0913   0.0300    0.0923       0.0614         82.0000        131.0               3        3
             indicators_on_vs_off offset_mae 0.0679  0.0313   0.1006   0.0315    0.1007       0.0672         80.6667        131.0               3        3
      metalphys_vs_gen6_reference        mae 0.0544 -0.0317   0.1331  -0.0193    0.1516       0.0452         67.3333        131.0               3        3
      metalphys_vs_gen6_reference offset_mae 0.0487 -0.0511   0.1372  -0.0363    0.1541       0.0372         68.6667        131.0               3        3
            recovered_vs_its_base        mae 0.0347 -0.0505   0.0976  -0.0416    0.1036       0.0076         68.3333        131.0               3        3
            recovered_vs_its_base offset_mae 0.0581 -0.0431   0.1333  -0.0285    0.1444       0.0249         70.6667        131.0               3        3
