k,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
2,K2_lam0 vs K1_lam4,-0.12240337980013982,-0.18901875927017472,-0.053887890390597756,-0.20550934405998608,-0.0661829145331505,-0.10907965861567068,143,58,0,5
2,K2_lam0p25 vs K1_lam4,0.009216011818843142,-0.010091202629794552,0.033376314014173625,-0.009930960225476206,0.03391157006762808,0.0138609482187576,143,51,5,5
2,K2_lam1 vs K1_lam4,0.024025312678133057,0.011782401643169016,0.03765463017941789,0.012288344080399291,0.03870588833407111,0.02583114719682515,143,58,5,5
2,K2_lam4 vs K1_lam4,0.014586073083188428,0.00868267218929961,0.02007466945215723,0.008973885868770569,0.020435121965801148,0.014553982231597516,143,65,5,5
2,K2_lam16 vs K1_lam4,0.005212630251278741,0.0032194585694955906,0.006971437927148193,0.003343554715954501,0.007071096407110515,0.005082030826236134,143,68,5,5
2,K2_lam64 vs K1_lam4,0.0014744583054204599,0.0009165892592293528,0.0019595873631720897,0.0009726122855774669,0.0019914807362224314,0.001430635958436822,143,68,5,5
2,K3_lam0 vs K1_lam4,-1688744629373.9548,-3466487883469.059,-0.32388114562905546,-4221917215291.201,-0.5280346492598699,-182146284185.99585,143,50,0,5
2,K3_lam0p25 vs K1_lam4,0.06490650794785702,0.037389021718680034,0.09673656010722147,0.039514728995845516,0.10007941445683655,0.07525093872007838,143,85,5,5
2,K3_lam1 vs K1_lam4,0.06844566399974805,0.04781404550915139,0.08836463280411405,0.04890252655714647,0.08939220248607861,0.07523053142461479,143,107,5,5
2,K3_lam4 vs K1_lam4,0.0414543948701695,0.029675759381040116,0.050368432091797394,0.031120315780034973,0.05139057857052146,0.04275847269077378,143,122,5,5
2,K3_lam16 vs K1_lam4,0.016500598628728564,0.011572219050959473,0.019920519865645858,0.01245842705295966,0.020605089689044263,0.016304493530957958,143,127,5,5
2,K3_lam64 vs K1_lam4,0.004978695656391978,0.0034313156488802302,0.006056053494510756,0.0037234546567854643,0.006336570843724459,0.004800762637925806,143,128,5,5
3,K2_lam0 vs K1_lam4,-0.03471153422236159,-0.07661975683197111,0.011501707532683023,-0.08468407271077454,0.005136065687550893,-0.025966215045109986,140,42,0,5
3,K2_lam0p25 vs K1_lam4,0.029669241339116692,0.009849375351412186,0.054778443853881774,0.011198165190743565,0.0576009172433846,0.03418766901458197,140,48,5,5
3,K2_lam1 vs K1_lam4,0.044339645419274126,0.026406791488449457,0.06219715808777357,0.027870589178411637,0.06403584131826176,0.04566668302973756,140,59,5,5
3,K2_lam4 vs K1_lam4,0.03097059158316667,0.02028912686124386,0.04106608324533123,0.02092961485680523,0.04172552535365281,0.030819963656857793,140,67,5,5
3,K2_lam16 vs K1_lam4,0.012087202077475653,0.008075363194938852,0.015838654297655172,0.00839393377278341,0.016165657463519712,0.011874060445034706,140,72,5,5
3,K2_lam64 vs K1_lam4,0.003518143036643694,0.002369127349897552,0.004606481053965873,0.0024651819797350647,0.004704757115557956,0.00345402166921118,140,76,5,5
3,K3_lam0 vs K1_lam4,-670738960171492.1,-1553938584691672.5,-130852213362557.77,-2086431731900066.2,-228379943632468.16,-978028083629354.4,140,59,0,5
3,K3_lam0p25 vs K1_lam4,0.09937481887813167,0.06700752622234495,0.141971382783,0.06861690901950121,0.14474201339926343,0.11583390249464841,140,85,5,5
3,K3_lam1 vs K1_lam4,0.11047227422028362,0.08400853751480042,0.1414003049974714,0.08537246699584312,0.14389596022675044,0.12306452583051504,140,104,5,5
3,K3_lam4 vs K1_lam4,0.07540029141706144,0.05962681164480709,0.09157025634731945,0.05990742108497614,0.0920911118052252,0.08161200950572207,140,120,5,5
3,K3_lam16 vs K1_lam4,0.03137294700632125,0.02468040426817507,0.037414840639534416,0.024893407747634776,0.037711594694527596,0.032962483828736074,140,122,5,5
3,K3_lam64 vs K1_lam4,0.009618553909446536,0.007445562934241629,0.011372353748664249,0.007581387202589704,0.011555138753718398,0.009846863256478966,140,124,5,5
5,K2_lam0 vs K1_lam4,0.044096941055885755,0.009254983999643408,0.08589837985952596,0.012274853229747517,0.08935770312523875,0.05190363057364287,99,46,5,5
5,K2_lam0p25 vs K1_lam4,0.06599855181950152,0.03934474299990316,0.1033303789177488,0.04219824706373865,0.10803138974222679,0.07705547261816406,99,46,5,5
5,K2_lam1 vs K1_lam4,0.07582928240206768,0.049664599925865055,0.10791530066239255,0.05238123717777176,0.11314297114485976,0.08511410710551294,99,49,5,5
5,K2_lam4 vs K1_lam4,0.06301836973183164,0.04309699475225751,0.08562087052564868,0.045562452570665976,0.08890163231958097,0.06944943760320936,99,55,5,5
5,K2_lam16 vs K1_lam4,0.029184628890399557,0.020518228639480874,0.03902154271534568,0.02160982350827741,0.0407843820108747,0.03184853766049502,99,63,5,5
5,K2_lam64 vs K1_lam4,0.009092878945986075,0.006468476750293138,0.012080054975484058,0.006773440306889146,0.012631860745675237,0.009907087511682918,99,67,5,5
5,K3_lam0 vs K1_lam4,-114448910101263.36,-284475003872731.44,-2254661583402.0083,-407491846151902.4,-26599207739491.6,-59796985340310.41,99,51,0,5
5,K3_lam0p25 vs K1_lam4,0.10941140733949706,0.07058420423018834,0.16215505870554178,0.07054616849033345,0.16214052930247702,0.13666376129473623,99,69,5,5
5,K3_lam1 vs K1_lam4,0.1374476317126388,0.09642477613719236,0.17630048948958732,0.09695644356874286,0.17716095241801283,0.15176434950750065,99,77,5,5
5,K3_lam4 vs K1_lam4,0.11466803511415262,0.08353429962384898,0.1374913973836118,0.08480184507230448,0.13863007856255238,0.11955895097020144,99,83,5,5
5,K3_lam16 vs K1_lam4,0.056207199132845734,0.04106306074124201,0.06631546935221944,0.042492613305661134,0.0673215360618832,0.05684903498117064,99,90,5,5
