adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
OFFSET_K3,ORACLE[OFFSET_K1],2,0.4741118747972761,143,0.20682975949272284,0.45895162215786006,0.4681756569005793,0.6851138733663015,0.8540222609612835
OFFSET_K3,ORACLE[OFFSET_K1],3,0.48099403306161514,140,0.218109987205383,0.4507618957120539,0.5163774074093864,0.6804432892922437,0.8552741792561793
OFFSET_K2,ORACLE[OFFSET_K1],2,0.48335552140854854,143,0.21147411177487968,0.46712315060610804,0.44791885695092093,0.6778228255285031,0.8491867674949921
OFFSET_K2,ORACLE[OFFSET_K1],1,0.4836906798403177,143,0.21717899839966265,0.47207874317198284,0.43027884647268644,0.6831230855289541,0.8508839952006158
OFFSET_K1,ORACLE[OFFSET_K1],1,0.4836906798403177,143,0.21717899839966265,0.47207874317198284,0.43026582846849104,0.6831230855289541,0.8508839952006158
OFFSET_K3,ORACLE[OFFSET_K1],1,0.4836906798403177,143,0.21717899839966265,0.47207874317198284,0.43027883855255966,0.6831230855289541,0.8508839952006158
OFFSET_K3,D_OPTIMAL,5,0.4865291963234963,99,0.2522465118404728,0.424963728925115,0.5891401758513091,0.6800541532051981,0.856898885003714
OFFSET_K1,ORACLE[OFFSET_K1],2,0.4882403436521319,143,0.2129765464018021,0.47207874317198284,0.43026582846849104,0.673562978542661,0.8472465874509575
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,5,0.48877616135682317,99,0.24317822771571265,0.4298115124138525,0.5816531457528925,0.676063083842636,0.8546828738946228
OFFSET_K3,CENTRAL_THEN_SPREAD,5,0.4903840661580898,99,0.24884681520773347,0.4325033797351577,0.5805058646757515,0.6795357677077611,0.8546361391507505
OFFSET_K3,FARTHEST_FROM_EXISTING,5,0.49088608832408437,99,0.24978269201590958,0.42917329140993393,0.5848406851136843,0.6758818053308737,0.854040011551112
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.492707129923458,99,0.23844451403025946,0.4388578530657012,0.5679389739183971,0.6717248889979774,0.8517966477824898
OFFSET_K3,ORACLE[OFFSET_K1],5,0.49445491368559236,99,0.19237523432596695,0.48860472061396826,0.5070284871164289,0.6767847788215234,0.8460115029450048
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5019327537456796,140,0.2853456146966032,0.41380344755806586,0.5740706000528706,0.6610060245492035,0.8516294084544158
OFFSET_K3,CENTRAL_THEN_SPREAD,3,0.501936814710037,140,0.2985894443303491,0.4054488071118299,0.5943679782315427,0.6680480141450268,0.8517387334372782
OFFSET_K3,MAX_CONDITION_COVERAGE,5,0.5036664918234164,99,0.2559074527289995,0.44534570247875566,0.5681025686476661,0.6670659349153631,0.8487550852457869
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,3,0.5047260484275106,140,0.3039160965056251,0.4050933584915139,0.5889120726355421,0.6664705934807221,0.8512794591119519
OFFSET_K2,ORACLE[OFFSET_K1],3,0.5048283545657989,140,0.22769120381665012,0.4679753121117723,0.46929644487590144,0.662106705749711,0.8449569348072423
OFFSET_K3,FARTHEST_FROM_EXISTING,3,0.5094117183173198,140,0.31285374342025496,0.4010599059911246,0.5983644925840407,0.6617705446461599,0.8490504697258656
OFFSET_K3,MAX_ENSEMBLE_SD,5,0.5101937492618525,99,0.2615379754344939,0.45288388383632633,0.5541831516627949,0.6653872189917638,0.8450141162840603
OFFSET_K3,MIN_ENSEMBLE_SD,5,0.5129905759850951,99,0.266829118169746,0.45503047983339245,0.5474956581131961,0.6621875453645389,0.8437158709098141
OFFSET_K2,ORACLE[OFFSET_K1],5,0.5135419623828811,99,0.1928144884627428,0.5065463339856734,0.49251423025376434,0.6617132853463108,0.8377400761043183
OFFSET_K3,RANDOM,5,0.5135614760035455,99,0.2697735834399575,0.4523016181162241,0.5524195773012139,0.6604185536533727,0.8448584375207931
OFFSET_K1,ORACLE[OFFSET_K1],3,0.5172792320503135,140,0.2320405207498759,0.4800889751402574,0.43026582846849104,0.6514143272029518,0.8401197144165019
OFFSET_K3,D_OPTIMAL,3,0.5185627516358108,140,0.3368448088415931,0.3992803665770203,0.5955183871422872,0.6536724133407713,0.8442658938328176
OFFSET_K3,MAX_CONDITION_COVERAGE,3,0.5190334449036895,140,0.3119615013445953,0.4188661294600804,0.5632286256091854,0.6531596683039131,0.8419947871455651
NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,5,0.5191199199517904,99,0.26044737837228693,0.4880338965955965,0.5806400011970034,0.6874256989132388,0.8505482121711334
NEAREST_OBSERVED,MAX_CONDITION_COVERAGE,5,0.5266408882420156,99,0.277076861955258,0.49189461885168184,0.5695220336977986,0.6856784221663439,0.8475609844449864
