adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
OFFSET_K3,ORACLE[OFFSET_K1],2,0.46489589611357074,143,0.19162825617939855,0.4595244609282296,0.5083974637783535,0.6935597189971149,0.8546359856419833
OFFSET_K3,ORACLE[OFFSET_K1],3,0.47046946271351353,140,0.20500722205709773,0.4498417665423304,0.5557537660419805,0.6942890348960772,0.8548746602827197
OFFSET_K2,ORACLE[OFFSET_K1],2,0.47817250836641256,143,0.19570865454723538,0.47215447180210435,0.48699733208355994,0.6824288343602773,0.8512311173631236
OFFSET_K1,ORACLE[OFFSET_K1],2,0.48432629151009104,143,0.19863990876548512,0.4784794024357155,0.46793865060683165,0.6788336076628212,0.8485356962750968
OFFSET_K3,CENTRAL_THEN_SPREAD,3,0.4876066297160492,140,0.28374120397171537,0.4085029220768027,0.6258575204588962,0.6713510330224903,0.8503271084039672
OFFSET_K3,D_OPTIMAL,5,0.48767835277567745,99,0.24248894444923014,0.427699492190208,0.6106207658882563,0.674919310952992,0.8556875798644072
OFFSET_K1,ORACLE[OFFSET_K1],1,0.49038719347546217,143,0.20492503609023416,0.4784794024357155,0.46793865060683165,0.665329492633221,0.8580071255494411
OFFSET_K2,ORACLE[OFFSET_K1],1,0.49038719347546217,143,0.20492503609023416,0.4784794024357155,0.46793865060683165,0.665329492633221,0.8580071255494411
OFFSET_K3,ORACLE[OFFSET_K1],1,0.49038719347546217,143,0.20492503609023416,0.4784794024357155,0.4679386539880025,0.665329492633221,0.8580071255494411
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.49206881082866744,99,0.22477917674594294,0.43954056040184175,0.606182011705527,0.6655050124436274,0.8535796978443956
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.4933559731066477,140,0.27820797908053796,0.41405561466153135,0.6103765157056422,0.6684432888363592,0.8519822920995588
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,3,0.4948142915419846,140,0.29607125793313854,0.40936756166608185,0.6210130123159893,0.6699214620825126,0.850570282019986
OFFSET_K3,FARTHEST_FROM_EXISTING,5,0.4951557895592107,99,0.25269899870930246,0.43499294496370233,0.5963654942991944,0.6722809059460495,0.8518644726443394
OFFSET_K3,ORACLE[OFFSET_K1],5,0.49573798275820763,99,0.19352762340528237,0.48844886677588056,0.5280770510648944,0.6848345548798188,0.8451442395991993
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,5,0.49688917857577836,99,0.25010262044749226,0.4357187509733293,0.5910811251399366,0.6711849687312901,0.8532162405913148
OFFSET_K3,CENTRAL_THEN_SPREAD,5,0.4982375717142799,99,0.251183688991543,0.441420893755066,0.6006860299763949,0.6709048703939631,0.8515108942445437
OFFSET_K3,FARTHEST_FROM_EXISTING,3,0.4982508805613252,140,0.29430633320514793,0.4052330218014971,0.6260591348073791,0.6639626434529694,0.8557474593439494
OFFSET_K2,ORACLE[OFFSET_K1],3,0.4991878945498535,140,0.2147348495668963,0.47192066498715324,0.5168628938696268,0.6517543301581213,0.8492623971415413
OFFSET_K3,MAX_CONDITION_COVERAGE,5,0.5033937219103028,99,0.24959795094147366,0.44907552774691945,0.5805468229230574,0.6628450291840936,0.8488023588186817
OFFSET_K3,MAX_CONDITION_COVERAGE,3,0.5048507300055766,140,0.2953611525652859,0.41758115252072503,0.6058150628556275,0.660002890749468,0.8429952009642312
OFFSET_K3,MIN_ENSEMBLE_SD,5,0.5055775190627977,99,0.23465667629808315,0.45065696648891834,0.5896702135659728,0.6701773299719377,0.8464205496885084
OFFSET_K3,D_OPTIMAL,3,0.5096719898347575,140,0.30655612884002564,0.40369469233700445,0.6205532800843018,0.6565511537817154,0.8519435032093083
OFFSET_K3,MAX_ENSEMBLE_SD,5,0.5102356864428241,99,0.26282323364274157,0.455208032713359,0.569421482605948,0.6658880224076312,0.8463438609928954
OFFSET_K3,MIN_ENSEMBLE_SD,3,0.5118304165480739,140,0.2853654620276553,0.4258252490692743,0.5682536694186812,0.662376978031695,0.8425029379360703
OFFSET_K3,MAX_ENSEMBLE_SD,3,0.5127013748130692,140,0.306386546862566,0.4263740667889296,0.5682218886767179,0.6615344055131754,0.8428075064661114
OFFSET_K1,ORACLE[OFFSET_K1],3,0.513618521766434,140,0.217953290651442,0.48569125485714254,0.46793865060683165,0.6420875968352456,0.8430403790783831
OFFSET_K2,ORACLE[OFFSET_K1],5,0.5151195198777606,99,0.1871955257495434,0.506092797385523,0.5238562460832679,0.6581748459269123,0.832185020307516
NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,5,0.5170943636581877,99,0.258559474562379,0.48053755161208994,0.57990850111847,0.6764159873930901,0.850698623381023
OFFSET_K3,RANDOM,5,0.5174243907914959,99,0.2585535473221352,0.45338556259493146,0.5696045277566267,0.6609703206454043,0.8383375645723726
