axis,surface,shape_mae,flat,n_ligands
acid,CURVE_SPLINE_SHAPEONLY,0.5569830614016591,0.6854519286237398,72
acid,MASSACTION_SHAPEONLY,0.5784637593574614,0.6854519286237398,72
acid,ZERO_SHOT,0.579240526486752,0.6854519286237398,72
ext,CURVE_SPLINE_SHAPEONLY,0.37763035343300877,0.6263846165750634,26
ext,MASSACTION_SHAPEONLY,0.3758273389698656,0.6263846165750634,26
ext,ZERO_SHOT,0.5988019086960796,0.6263846165750634,26
metal,CURVE_SPLINE_SHAPEONLY,0.28729343778705674,0.38609046127234403,86
metal,MASSACTION_SHAPEONLY,0.2870033475779979,0.38609046127234403,86
metal,ZERO_SHOT,0.28763042965610397,0.38609046127234403,86
temp,CURVE_SPLINE_SHAPEONLY,0.38526483357287233,0.376488921358644,6
temp,MASSACTION_SHAPEONLY,0.3932143180642029,0.376488921358644,6
temp,ZERO_SHOT,0.35346243860520926,0.376488921358644,6
