adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_SHAPEONLY,130363,0,ext,1.0,36.0,13,DGA,,,,
CURVE_SPLINE_SHAPEONLY,130363,0,acid,0.6,111.0,49,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,130363,1,ext,1.0,232.0,25,DGA,,,,
CURVE_SPLINE_SHAPEONLY,130363,1,acid,0.4,474.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,130363,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_SHAPEONLY,130363,2,acid,0.6,445.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,130363,3,ext,1.0,222.0,24,DGA,,,,
CURVE_SPLINE_SHAPEONLY,130363,3,acid,0.8,479.0,65,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_SHAPEONLY,130363,4,ext,1.0,234.0,20,DGA,,,,
CURVE_SPLINE_SHAPEONLY,130363,4,acid,0.6,475.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,130363,0,ext,1.0,36.0,13,DGA,,,,
CURVE_SPLINE_K1,130363,0,acid,0.6,111.0,49,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,130363,1,ext,1.0,232.0,25,DGA,,,,
CURVE_SPLINE_K1,130363,1,acid,0.4,474.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,130363,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_K1,130363,2,acid,0.6,445.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,130363,3,ext,1.0,222.0,24,DGA,,,,
CURVE_SPLINE_K1,130363,3,acid,0.8,479.0,65,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_K1,130363,4,ext,1.0,234.0,20,DGA,,,,
CURVE_SPLINE_K1,130363,4,acid,0.6,475.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,130363,0,ext,1.0,36.0,13,DGA,,,,
CURVE_SPLINE_AMP,130363,0,acid,0.6,111.0,49,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,130363,1,ext,1.0,232.0,25,DGA,,,,
CURVE_SPLINE_AMP,130363,1,acid,0.4,474.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,130363,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_AMP,130363,2,acid,0.6,445.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,130363,3,ext,1.0,222.0,24,DGA,,,,
CURVE_SPLINE_AMP,130363,3,acid,0.8,479.0,65,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_AMP,130363,4,ext,1.0,234.0,20,DGA,,,,
CURVE_SPLINE_AMP,130363,4,acid,0.6,475.0,57,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,130363,0,ext,1.0,36.0,13,DGA,,,,
CURVE_SPLINE_W1_K1,130363,0,acid,1.0,111.0,49,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,130363,1,ext,1.0,232.0,25,DGA,,,,
CURVE_SPLINE_W1_K1,130363,1,acid,1.0,474.0,63,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,130363,2,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,130363,2,acid,1.0,445.0,62,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,130363,3,ext,1.0,222.0,24,DGA,,,,
CURVE_SPLINE_W1_K1,130363,3,acid,1.0,479.0,65,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,130363,4,ext,1.0,234.0,20,DGA,,,,
CURVE_SPLINE_W1_K1,130363,4,acid,1.0,475.0,57,"DGA,OTHER_N_O",,,,
