axis,family,n_ligands,n_curves,median_slope,ci_lo,ci_hi
ext,DGA,24,172,2.533015532066961,2.3022708766455318,3.0317126902674483
ext,OTHER_N_O,3,69,1.6248756200295644,1.095038640943021,1.7099091519928307
ext,pooled,27,241,2.412350987863629,2.0980179761412714,3.012918273274142
acid,ACIDIC,2,2,0.5330031686670392,0.03134046619810164,1.0346658711359769
acid,DGA,36,380,1.5727113547909624,1.4141405995162604,1.7360291010072053
acid,NEUTRAL_P,11,11,-0.04642356178577509,-0.9970756254012485,0.42920768661944203
acid,OTHER_N_O,23,98,0.3733219449127404,0.0,0.7847761962087831
acid,S_DONOR,2,5,-0.029295470965088666,-0.3412356522872618,0.2826447103570845
acid,pooled,74,496,0.8706263409872115,0.46784593292891496,1.2697829507723188
metal,ACIDIC,4,4,0.13226544939639218,0.08786350309981852,0.2718321349513315
metal,DGA,45,311,0.09087613468286887,0.06294504103879058,0.14061216997533535
metal,NEUTRAL_P,4,6,0.022037223170342964,-0.050149332859709385,0.0744492832521469
metal,OTHER_N_O,36,65,-0.024927458923846325,-0.04756074583333337,-0.015507061090551192
metal,pooled,89,386,0.03971555642802865,-0.0005785997357992096,0.06843979890712293
