adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
CURVE_GP,1,143,-3.289504753288286e-05,-3.9589169677705165e-05,-2.6840524367203925e-05,0.9090909090909091
CURVE_GP,2,143,-0.03016813361821605,-0.037062356511626114,-0.02329597255802037,0.8251748251748252
CURVE_GP,3,140,-0.06537228167626104,-0.08137325565746778,-0.05123665101722094,0.85
CURVE_GP,5,99,-0.10313457269288755,-0.13184612131458945,-0.07711221724456246,0.8383838383838383
CURVE_SPLINE_AMP,1,143,-0.00535227461893352,-0.045018376719875915,0.03551133330665946,0.2937062937062937
CURVE_SPLINE_AMP,2,143,-0.015245056892346232,-0.050283439052438754,0.019365281796398792,0.25874125874125875
CURVE_SPLINE_AMP,3,140,-0.031247014947176487,-0.06389076330029553,-0.0014677261291583931,0.2785714285714286
CURVE_SPLINE_AMP,5,99,-0.020594034347433482,-0.04428195955048756,0.003726582390716381,0.29292929292929293
CURVE_SPLINE_GP,1,143,-0.005382115340038327,-0.04504837533152633,0.035479811238122924,0.7272727272727273
CURVE_SPLINE_GP,2,143,-0.03226441186002601,-0.06754754036230748,0.0030433721022234714,0.7132867132867133
CURVE_SPLINE_GP,3,140,-0.06874101552526023,-0.10265734634068595,-0.03830457711672475,0.7714285714285715
CURVE_SPLINE_GP,5,99,-0.10467056109677401,-0.13802185758125027,-0.0713355873574541,0.7878787878787878
CURVE_SPLINE_K1,1,143,-0.00535227461893352,-0.045018376719875915,0.03551133330665946,0.2937062937062937
CURVE_SPLINE_K1,2,143,-0.00475078991296035,-0.04198930217582915,0.03303148958167779,0.2867132867132867
CURVE_SPLINE_K1,3,140,-0.005178624480020442,-0.0398784294363545,0.029900135801385785,0.29285714285714287
CURVE_SPLINE_K1,5,99,-0.0069507335310637864,-0.03553206009287291,0.027730427464964392,0.29292929292929293
CURVE_SPLINE_SHAPEONLY,1,143,0.28822497805608516,0.17622223349714228,0.4101782565885324,0.42657342657342656
CURVE_SPLINE_SHAPEONLY,2,143,0.34396799323329647,0.23373181343041952,0.46273870146440554,0.3706293706293706
CURVE_SPLINE_SHAPEONLY,3,140,0.3681794149120237,0.2597575391144292,0.4856814068860147,0.35
CURVE_SPLINE_SHAPEONLY,5,99,0.435241992424389,0.3149948643921014,0.5709803395322729,0.31313131313131315
CURVE_SPLINE_W1_K1,1,143,0.025106837089903397,-0.021169912508222314,0.07412892481273045,0.27972027972027974
CURVE_SPLINE_W1_K1,2,143,0.022944323494648117,-0.020329357864843033,0.06783774294717124,0.2727272727272727
CURVE_SPLINE_W1_K1,3,140,0.02173838585742795,-0.018406190058845105,0.06432658628931778,0.25
CURVE_SPLINE_W1_K1,5,99,0.006844681984147496,-0.027608221684009497,0.05095182626626308,0.2828282828282828
MASSACTION_K1,1,143,-0.007267782535798853,-0.046707463154896454,0.033244423900266086,0.26573426573426573
MASSACTION_K1,2,143,-0.004176570145460948,-0.04238709098704367,0.034945570600508985,0.26573426573426573
MASSACTION_K1,3,140,-0.005749157108737032,-0.04242534411495751,0.03074771750258319,0.2714285714285714
MASSACTION_K1,5,99,-0.008284870424163378,-0.039088570048120115,0.028241491065609248,0.2828282828282828
MASSACTION_POOLED_K1,1,143,0.00516819129456382,-0.019425791748526156,0.02974942381135607,0.2727272727272727
MASSACTION_POOLED_K1,2,143,0.0063349060761344,-0.01631243076746904,0.029370982702452662,0.26573426573426573
MASSACTION_POOLED_K1,3,140,0.005224181578417929,-0.018470513912214097,0.027226042626977157,0.2785714285714286
MASSACTION_POOLED_K1,5,99,-0.003570990046049181,-0.018244200574725023,0.013233527789366454,0.29292929292929293
MASSACTION_SHAPEONLY,1,143,0.29308357603898744,0.18135431359794701,0.41461896777799445,0.40559440559440557
MASSACTION_SHAPEONLY,2,143,0.34882659121619874,0.23893624926665363,0.46769601819782475,0.3356643356643357
MASSACTION_SHAPEONLY,3,140,0.37314212570884536,0.26476239418729924,0.48923791015910856,0.32142857142857145
MASSACTION_SHAPEONLY,5,99,0.43971730567823303,0.32063968159039563,0.5741146826473982,0.31313131313131315
MASSACTION_WITH_METAL_K1,1,143,0.007691443708241921,-0.033511199987720244,0.04960457633684777,0.43356643356643354
MASSACTION_WITH_METAL_K1,2,143,0.009844216270062565,-0.030220466941940416,0.05006061376401946,0.4405594405594406
MASSACTION_WITH_METAL_K1,3,140,0.008312177114146044,-0.02950650892475901,0.04607966377115161,0.44285714285714284
MASSACTION_WITH_METAL_K1,5,99,0.009764386450182854,-0.025115955114951127,0.04904049053602891,0.4444444444444444
NEAREST_OBSERVED,1,143,0.12854971166820428,0.07367732985766766,0.18477845034837292,0.3146853146853147
NEAREST_OBSERVED,2,143,0.06527133758079559,0.019614214945712617,0.11067724005656168,0.4195804195804196
NEAREST_OBSERVED,3,140,0.004769858960362323,-0.040794344971422786,0.04817706856711406,0.4642857142857143
NEAREST_OBSERVED,5,99,-0.026491065411948792,-0.07705390262766545,0.024000470142272707,0.5252525252525253
NO_MODEL,1,143,0.12854971166820428,0.07367732985766766,0.18477845034837292,0.3146853146853147
NO_MODEL,2,143,0.123991766241989,0.07452336745918237,0.1769512469489191,0.32167832167832167
NO_MODEL,3,140,0.12454773707208311,0.07452379176064369,0.17674249307201578,0.32857142857142857
NO_MODEL,5,99,0.15441920275873006,0.09523729835007307,0.21747073248367066,0.2828282828282828
OFFSET_K2,1,143,5.054555582683004e-19,-7.886117620102023e-19,1.8681637433596383e-18,0.07692307692307693
