adapter,policy,k,mae,n_ligands,shape_mae
CURVE_SPLINE_GP,RANDOM,5,0.4983688385045671,99,0.4407982673172342
CURVE_GP,RANDOM,5,0.4997133421087448,99,0.4446549688857358
OFFSET_K3,RANDOM,5,0.5078619429784306,99,0.446089440834706
CURVE_SPLINE_GP,CENTRAL,5,0.5329828128631632,99,0.4720169977665177
CURVE_SPLINE_GP,RANDOM,3,0.5355515070860201,140,0.42801364581053425
CURVE_GP,RANDOM,3,0.5367756983678932,140,0.4262945919089459
CURVE_GP,CENTRAL,5,0.5368176645597778,99,0.4810303502056996
OFFSET_K3,RANDOM,3,0.5431968571487567,140,0.42621943357007436
OFFSET_K3,CENTRAL,5,0.5514813674516826,99,0.4882098164581629
CURVE_SPLINE_GP,CENTRAL,3,0.5569725966414768,140,0.4467388732051465
CURVE_GP,CENTRAL,3,0.5573346220634744,140,0.44957568063418335
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.522854361445384
OFFSET_K2,RANDOM,5,0.5644030281032224,99,0.49113016071487786
OFFSET_K3,CENTRAL,3,0.5673414033734945,140,0.4544137254010889
OFFSET_K2,CENTRAL,5,0.5747972924575638,99,0.506698848341787
CURVE_SPLINE_AMP,CENTRAL,3,0.5858275502812217,140,0.46326228860871754
CURVE_SPLINE_AMP,RANDOM,5,0.5864889762626233,99,0.5095890657851835
CURVE_SPLINE_AMP,RANDOM,3,0.5869972675559252,140,0.4604683843344667
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.4929326537345037
OFFSET_K2,RANDOM,3,0.5905931106999717,140,0.4588515807973504
CURVE_SPLINE_GP,RANDOM,2,0.5926106565277447,143,0.4432771330926964
OFFSET_K2,CENTRAL,3,0.5931825138725701,140,0.47153684913993904
CURVE_SPLINE_AMP,CENTRAL,5,0.5963091257821858,99,0.5155556804946364
CURVE_GP,RANDOM,2,0.5965754446221013,143,0.44179481649740465
MASSACTION_K1,CENTRAL,3,0.5981581882306227,140,0.46871062815767967
OFFSET_K3,RANDOM,2,0.6016002193945275,143,0.44262884075014575
MASSACTION_K1,CENTRAL,5,0.6020953327997042,99,0.5204436457459926
MASSACTION_K1,RANDOM,5,0.6058389652335253,99,0.5204436457459926
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99,0.552478614560202
OFFSET_K1,CENTRAL,3,0.6067132657034866,140,0.48182166745050087
