extractant,tanimoto_cluster,ecfp_cluster,nn_train_tanimoto,n_rows,n_pool,n_eval,failure_class,failure_class_central,k2_status,one_shot_harms,seeds_matching_pooled_class,seed_modal_count,mae_k0,mae_RANDOM_k1,mae_RANDOM_k2,mae_CENTRAL_k1,mae_CENTRAL_k2,mae_oracle_k1,mae_oracle_k2,ratio_RANDOM_k1,ratio_RANDOM_k2,ratio_CENTRAL_k1,ratio_CENTRAL_k2,offset_k0,shape_mae_k0,shape_frac_k0,spearman_k0,oof_mean_centred_mae,oof_median_centred_mae,mad_true,within_1_0_k0,within_1_0_RANDOM_k1,within_1_0_RANDOM_k2,n_series,n_doi_series_sum,n_distinct_doi,series_types,log_d_span_max,n_curves,n_curve_axes,curve_axes,median_curve_slope,median_curve_linear_r2,max_curve_yspan,true_span,pred_span,span_compression,true_sd,pred_sd,has_axis_acid,has_axis_extractant,has_axis_metal_series,has_axis_temperature,has_axis_contact_time,has_axis_metal_concentration,mech__n_amide_O,mech__n_ester_O,mech__n_ketone_O,mech__n_ether_O,mech__n_hydroxyl_O,mech__n_phosphoryl_O,mech__n_carboxyl_O,mech__n_oxide_O,mech__n_aromatic_N,mech__n_amine_N,mech__n_thioether_S,mech__n_thiophosphoryl_S,mech__n_thiocarbonyl_S,mech__n_O_donor,mech__n_N_donor,mech__n_S_donor,mech__n_P,mech__n_donor_total,mech__frac_O_donor,mech__frac_N_donor,mech__frac_S_donor,mech__softness_mean,mech__formal_charge,mech__n_acidic_H,mech__is_neutral_extractant,mech__denticity_proxy,mech__n_chelate_pairs,mech__donor_dist_min,mech__donor_dist_mean,mech__ring_count,mech__frac_rotatable,mech__heavy_atoms,mech__crippen_logp,mech__tpsa,mech__hbd,mech__hba
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,tan029,d99a96790a3a5284,0.6666666666666666,6,3.0,3.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,4.103748484791109,0.6559737563003869,0.5403727248884845,0.6824575326433322,0.5487314003204244,0.466889993402714,0.44424960854695555,0.15984745622971033,0.13167783719961357,0.1663010136153778,0.13371467631461245,4.103748484791109,0.4141765014759338,0.10092638547681765,0.8333333333333334,0.4362653376227703,0.4234573684148318,0.5995618874463167,0.0,0.7444444444444444,0.9222222222222223,1,1,2.0,acid_sweep,1.95767568527771,1.0,1.0,acid,-0.534748377641801,0.5096949898686481,1.95767568527771,1.9576756852777097,1.3975183866025673,0.7138661409100148,0.7500574573219447,0.6351840014238407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,6.0,0.6666666666666666,0.0,0.3333333333333333,0.4000000000000001,0.0,0.0,1.0,6.0,15.0,2.0,3.2,0.0,0.75,25.0,6.829700000000007,36.92,0.0,6.0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,tan055,4a1cdf823baa2a3e,0.46938775510204084,9,5.0,4.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,3.5135729904762294,0.05470163396460593,0.05034026324809502,0.03719522630525889,0.03314538206849846,0.030808933470367297,0.03049740699061661,0.015568663042685695,0.014327370851422643,0.010586154437684658,0.009433525974368882,3.5135729904762294,0.035850777682243755,0.01020351015317446,0.7745966692414835,0.05172667117130305,0.040787359745174,0.1274795719790142,0.0,1.0,1.0,2,2,2.0,"contact_time_sweep,single_point",0.04859813084112119,1.0,1.0,contact_time,0.004260886876512296,0.16219219181962796,0.04859813084112119,0.6743372957605809,0.3969706842222444,0.5886826766336625,0.21586553977038642,0.1323235614074148,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,6.0,4.0,3.0,10.2,1.0,0.6896551724137931,58.0,10.051399999999997,117.28000000000002,2.0,6.0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,690782a8b84aa453,0.44642857142857145,37,19.0,18.0,PURE_LEVEL,PURE_LEVEL,,False,3,3,2.744967913089819,1.2765096397265465,1.0605359650394333,0.8935785426900953,0.8474157128586647,0.7592278261244928,0.7575704745743825,0.4650362700559471,0.38635641603754195,0.3255333289795203,0.30871607235101994,2.744967913089819,0.8103540317277281,0.29521439134622496,0.9111762465883505,0.767325737320634,0.716072625532034,1.1935206590461884,0.11944444444444444,0.5,0.5018518518518519,4,4,2.0,"acid_sweep,grid",4.068601583113456,6.0,3.0,"acid,contact_time,extractant",1.8204885399610582,0.9809256586067978,4.068601583113456,4.559366754617412,1.8620951945298259,0.4084109251891229,1.4175443834777006,0.5845136471572688,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,6.0,4.0,3.0,9.6,1.0,0.6896551724137931,58.0,10.051399999999997,117.28000000000002,2.0,6.0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,db04e144e1ea83eb,0.65625,14,7.0,7.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.7053115888232417,0.49457891665346965,0.5100301168566783,0.4566457380051065,0.4379325266534438,0.35035895733528816,0.3545604740329448,0.18281772742806382,0.18852915832831352,0.1687959863446778,0.16187877524449448,2.7053115888232417,0.35048958310906553,0.12955608683195038,-0.37559523809523815,0.3817912692430096,0.3817912692430096,0.31031569359147176,0.0,0.9309523809523809,0.919047619047619,1,1,2.0,metal_series,1.0804447672829516,1.0,1.0,metal_series,-0.06097312925607192,0.5974504189340064,1.0804447672829516,1.0804447672829516,0.6400672008364946,0.5924108480307638,0.3597367421960856,0.17097491254427655,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.782608695652174,47.0,12.439599999999984,49.85,0.0,3.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan069,db04e144e1ea83eb,0.65625,13,7.0,6.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.670879959113876,0.5020404547182488,0.459227213737733,0.5001646748547663,0.45951859184542226,0.3859089213944038,0.3672054923638113,0.18796818367112683,0.17193854488694124,0.18726587585789783,0.17204763930980926,2.670879959113876,0.37434742285522477,0.14015883476074412,-0.26,0.372306417787987,0.35482990076347665,0.3015049340552217,0.0,0.9194444444444444,0.9833333333333333,1,1,2.0,metal_series,0.9952553363560341,1.0,1.0,metal_series,-0.0588834693684397,0.4912887374551713,0.9952553363560341,0.9952553363560341,0.6400672008364946,0.6431185821921808,0.36033266642248896,0.17783219037309547,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.8148148148148148,55.0,15.560399999999964,49.85,0.0,3.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan067,f45ce5f8357cf48b,0.6764705882352942,45,23.0,22.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.5191327773396117,0.7649997372986538,0.6307127792487103,0.5772405085697627,0.5884426154623522,0.5384319995654633,0.5366838677507135,0.3036758301031474,0.25036900989188393,0.22914255007208112,0.23358936089259677,2.5191327773396117,0.5433430133993294,0.21568653239990762,0.7644615257137005,0.5498943230504768,0.5473575213876765,0.6123124001075062,0.05227272727272727,0.6757575757575758,0.821969696969697,1,1,2.0,grid,2.733338905967281,14.0,2.0,"acid,metal_series",2.6765159431472223,0.9785090627377968,1.7093911199895622,2.733338905967281,0.34212306082890215,0.12516671828802392,0.7188879872944712,0.10165121333515743,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.8,51.0,13.999999999999975,49.85,0.0,3.0
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,tan020,50844cd80f0e2891,0.5789473684210527,6,3.0,3.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.303694077261267,0.5593475920042887,0.46171493587964074,0.5139432533261309,0.4347792950665392,0.36798595251287985,0.39093950248325154,0.24280463171102382,0.20042371964099845,0.22309527050446268,0.18873135081521936,2.303694077261267,0.30533541588472934,0.13254165077670624,0.541068360252296,0.3375106582874317,0.3166033704863562,0.5034037361139139,0.0,0.9166666666666666,0.9555555555555556,1,1,2.0,acid_sweep,1.274157849263679,1.0,1.0,acid,0.37332194491274046,0.8836119813737852,1.274157849263679,1.274157849263679,0.5279432986386957,0.41434685580266845,0.5939206167929916,0.26629845872476404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,8.0,11.0,1.0,5.714285714285714,7.0,0.041666666666666664,42.0,7.1850000000000085,103.12,0.0,8.0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,9db9de2b3a1d3dfe,0.46153846153846156,15,8.0,7.0,RESIDUAL_SHAPE,RESIDUAL_SHAPE,IRREDUCIBLE_AT_K2,True,5,5,2.1545403558525935,2.4052034630504155,2.122307364923215,2.0412849417460674,1.8701120478968725,1.3822354192418738,1.3813576099944842,1.116341801868283,0.9850395046712302,0.9474340715879936,0.8679865488789291,1.9634977795315565,1.4068491593938188,0.6529695095161498,-0.2977429458565701,1.3441608265748912,1.2965364035977502,1.0450698648663024,0.2976190476190476,0.23809523809523808,0.2857142857142857,2,2,3.0,acid_sweep,3.555204410468235,2.0,1.0,acid,0.690219639758963,0.7933049142643024,3.555204410468235,3.789776146010607,2.2966463266975663,0.6060110777559204,1.3407094833147373,0.6829908977951485,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.15000000000000002,0.0,0.0,1.0,12.0,9.0,3.0,12.863636363636363,1.0,0.7419354838709677,93.0,15.040499999999968,203.61,3.0,12.0
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,tan073,8a7c9af3c808a9c3,0.6785714285714286,14,7.0,7.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.1407427801076486,0.3850739758392558,0.346014347090396,0.2729053529198693,0.2782970241231589,0.2607450681743139,0.2630278910120169,0.17987867548472689,0.16163284552710086,0.12748161780844408,0.13000021614421353,2.1407427801076486,0.26701978030962065,0.12473230450236221,-0.53541938437233,0.2738316920144538,0.2720370442691221,0.23496194716326596,0.0,0.9357142857142857,0.9476190476190476,1,1,2.0,metal_series,1.5118833610000053,1.0,1.0,metal_series,-0.03387945666472936,0.20695599197594228,1.5118833610000053,1.5118833610000053,0.30659100816759255,0.20278747426971086,0.3396211140296656,0.09384459867613631,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0,0.18181818181818182,21.0,2.7025000000000006,40.620000000000005,0.0,2.0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,f45ce5f8357cf48b,0.6764705882352942,14,7.0,7.0,PURE_LEVEL,PURE_LEVEL,,False,5,5,2.055298457102779,0.7062779564867071,0.5434810515504704,0.5208655971015836,0.5275371030077994,0.42554091165555735,0.42609447529954153,0.34363766198817736,0.2644292607101844,0.2534257714744817,0.2566717749360034,2.055298457102779,0.4256922527906281,0.20711943383186251,0.11301578768325629,0.4478646100641921,0.42145170869113313,0.46856732642805865,0.08095238095238094,0.7023809523809523,0.8595238095238095,1,1,2.0,metal_series,2.0251256281407026,1.0,1.0,metal_series,0.10558738208877937,0.6330973065623211,2.0251256281407026,2.0251256281407026,0.3337925550701124,0.16482560411650718,0.6051653271019531,0.12308673943590562,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.7619047619047619,43.0,10.879199999999994,49.85,0.0,3.0
