name,donors,softness,n_rows,nn_ecfp,nn_mech,axis,true_slope,pred_slope,zero_shot,oracle_level,level_share,k1_rand,k1_best,k1_worst,k2_rand
TWE-24,"4 ether O, 2 thiophosphoryl S",0.4000000000000001,6,TWE-29 (0.67),TWE-29,acid,-0.534748377641801,-0.6083848969165484,4.097533983469158,0.4234573684148318,0.8966555567023478,0.6584321530394146,0.5081488420977982,0.835215140122244,0.5794205165519427
TWE-29,"5 ether O, 2 thiophosphoryl S",0.3571428571428572,6,TWE-24 (0.67),TWE-28,acid,-1.2602712066195692,-0.11069711529612387,2.0338339751094483,1.046049792045904,0.4856759180701502,1.4967474442473676,1.2552597504550849,1.9843021542050898,1.3135824342354205
T8-PHEN-TAM,"2 aromatic N, 2 thiocarbonyl S",0.775,12,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide (0.68),T8-THP-TAM,acid,-0.3412356522872621,0.1069687879694717,1.5125260551379687,0.5336240227052751,0.647196806367346,0.912376993928223,0.5821352974966636,2.981623098023408,0.8256483553637939
TWE-23,2 thiophosphoryl S,1.0,6,TWE-27 (0.59),TWE-27,acid,-1.136324125407383,-0.07354191866822579,1.3176586275939477,0.8578132988777953,0.34898669434270135,1.4570853451025552,1.0293759586533546,1.9727689297597277,1.2944595224995903
TWE-27,"1 ether O, 2 thiophosphoryl S",0.7000000000000001,6,TWE-23 (0.59),TWE-30,acid,0.0,-0.7988729420563038,0.7992181123142748,0.6511438475388281,0.18527391020540296,0.9730399184829072,0.781372617046594,1.3167809062959777,0.890009193017258
TWE-30,"1 ether O, 2 thiophosphoryl S",0.7000000000000001,6,TWE-28 (0.28),TWE-27,acid,-0.04642356178577605,0.030486684716392203,0.7990180846779142,0.2308539755737638,0.7110779092480473,0.36215365928895016,0.27702477068851655,0.5297969928536854,0.3087395471671127
T8-THP-CAM,"2 amide O, 1 thioether S",0.43333333333333335,4,T8-THP-TAM (0.65),cPSNDGA,no usable curve,,,0.7712722243704366,0.22609557410379955,0.7068537321069046,0.4057042749540424,0.3014607654717327,0.5457826597487128,0.33842424895807466
cPSNDGA,"2 amide O, 1 ether O, 2 thioether S",0.4600000000000001,14,DOpyrDGA (0.38),T8-THP-CAM,metal_series,0.14061216997533532,0.11657257235811788,0.738588566813888,0.11921648370195823,0.8385887772183741,0.16756153460288653,0.1283869824482627,0.2852818599081453,0.146187412291503
TWE-28,"5 ether O, 2 thiophosphoryl S",0.3571428571428572,6,TWE-29 (0.58),TWE-29,acid,0.0,-0.37476168520038033,0.6949908786852839,0.29557365137801356,0.5747085890722032,0.45028942640777236,0.35468838165361627,0.6708061156920075,0.40926176663956204
Cy5-S-Me4-BTBP,"8 aromatic N, 2 thioether S",0.6599999999999999,11,CyMe4-BTTP (0.61),CyMe4-BTTP,acid,0.4446134840763162,0.2646732497443245,0.24040790589171043,0.2241122112626989,0.06778352221225115,0.3417925889746403,0.24652343238896876,0.604221344020835,0.29244276933531543
T8-THP-TAM,"1 thioether S, 2 thiocarbonyl S",0.9333333333333332,4,T8-THP-CAM (0.65),T8-PHEN-TAM,no usable curve,,,0.1720027395294666,0.07715831555972186,0.5514122869740484,0.14552559877345514,0.10287775407962914,0.23157645953692335,0.12880065699782844
