comparison,arm,k,mae,offset,shape_mae,spearman,sign_accuracy,within_0_5,within_1_0,worst_quartile_mae,hard_mae,n_ligands
ZERO_SHOT current best,ZERO_SHOT,0,1.0605303772612387,0.8632441383335447,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.3441222948396665,0.5549797033328041,1.411006818294105,1.0900118013386333,99
RANDOM_1SHOT (offset correction),OFFSET_K1@RANDOM,1,0.792732533836449,0.6316326949650369,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.515838945677693,0.725541850902915,1.1806699694423557,0.7544166563246135,99
RANDOM_2SHOT (offset correction),OFFSET_K1@RANDOM,2,0.7017984791740542,0.465171423327563,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.539961892177602,0.7619979976414951,1.0250330703513586,0.7222510023689793,99
RANDOM_2SHOT (response coefficients),OFFSET_K3@RANDOM,2,0.6573520916465249,0.4418608440406557,0.5118442225643383,0.4461278483310006,0.6929656838441414,0.5718955406501103,0.7835845014930415,0.9531534010238252,0.6694741732412719,99
BEST_FIXED_1SHOT_POLICY (CENTRAL),OFFSET_K1@CENTRAL,1,0.6963986244888282,0.474133842922211,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.5536093450885935,0.7580338708194334,1.0409875855474797,0.742672789491974,99
ACTIVE_1SHOT (MEDOID),OFFSET_K1@MEDOID,1,0.6915825683739637,0.47689006998204725,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.5596317258086293,0.7611612484955346,0.9611771475355815,0.7576054595910834,99
ACTIVE_2SHOT (MEDOID),OFFSET_K1@MEDOID,2,0.6639552369957701,0.4281459476122563,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.563959888838013,0.7730278135852464,0.9496588287930612,0.6996592982188361,99
ACTIVE_2SHOT (MEDOID + K3),OFFSET_K3@MEDOID,2,0.6597461832370273,0.4270585448305148,0.5397144593459717,0.402410307214177,0.6749454400100127,0.5681575250097779,0.7737991205359338,0.9486266404669439,0.6930170545168806,99
BEST_1SHOT (slope repair + medoid),SLOPE_L_s1_K1@MEDOID,1,0.6751828667813538,0.46859121768790907,0.5272198208331079,0.41831564938230875,0.680176905603631,0.5681720934726102,0.7737533793982815,0.98020211233419,0.7495093625171451,99
BEST_2SHOT (slope repair + K3 + max predictive variance),SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,2,0.5879150010234774,0.38327589938518314,0.46513288568216926,0.5401488454555496,0.7328819606106294,0.6244068055941724,0.8126714262128077,0.8578327700543786,0.5940197018394626,99
BEST_3SHOT (slope repair + K3 + central-then-spread),SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5229939263529747,0.29274547793695416,0.4444559154243966,0.5772549852554993,0.7486432429035795,0.659193764470685,0.8446633786061357,0.7642010532722003,0.5524209647149563,99
BEST_5SHOT (slope repair + K3 + D-optimal),SLOPE_L_s1_K3@D_OPTIMAL,5,0.47429956979762583,0.2494564134178524,0.41437580664192636,0.6092889045336018,0.7626514191135526,0.6877699733369383,0.8628600805929075,0.703443496607185,0.49141599432154637,99
NO_MODEL_1SHOT (null),NO_MODEL@RANDOM,1,0.9459775028894392,0.7554735314723563,0.6655962564241901,,0.5,0.47251652149980716,0.6713272627643322,1.4327138783311986,0.8478161188114391,99
NO_MODEL_2SHOT (null),NO_MODEL@RANDOM,2,0.8466128596341697,0.5536758751312926,0.6655962564241901,,0.5,0.47577066422947845,0.6873533326833948,1.2359882090484802,0.7962434800898294,99
ORACLE_1SHOT,OFFSET_K1@ORACLE[OFFSET_K1],1,0.5325625770147346,0.20482510222704467,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.6488685870659529,0.8292650974446605,0.7864746148280675,0.540830049482791,99
ORACLE_2SHOT,OFFSET_K1@ORACLE[OFFSET_K1],2,0.5297856616666907,0.19362617609211125,0.5434224256528417,0.39366239799936853,0.6702777730558289,0.6448799701284003,0.8317411425918994,0.784415941173858,0.5357813093987868,99
ORACLE_2SHOT (response coefficients),OFFSET_K3@ORACLE[OFFSET_K1],2,0.5198825122511704,0.19109004767982518,0.533555352537085,0.42454876212492754,0.6838225446569279,0.6532593210128282,0.8360989336219661,0.7564945341892031,0.521455769030429,99
