comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
RANDOM k=1: PHYS_residual_gbm vs OFFSET_K1,0.05554270771637474,0.005579312501816887,0.08954133947845501,0.013238548439239765,0.09655611011135778,0.030766645226501535,143,106,5,5
RANDOM k=2: PHYS_residual_gbm vs OFFSET_K1,0.07912484190580951,0.048454268317174976,0.10757613323925103,0.04984401243880281,0.1095100676137137,0.0825884876204056,143,103,5,5
RANDOM k=2: PHYS_residual_gbm vs OFFSET_K3,0.03767044703564002,0.015571436506678622,0.058686570115309415,0.01696328273463405,0.0600671669482781,0.039830014929631834,143,91,5,5
RANDOM k=3: PHYS_residual_gbm vs OFFSET_K3,0.03632451601844774,0.018897986503237166,0.05741047491693181,0.020257368461108677,0.05933138227081703,0.0378970579422859,140,90,5,5
RANDOM k=5: PHYS_residual_gbm vs OFFSET_K3,0.02386805297031532,0.006087433564282095,0.05574285694831962,0.0043782444071310735,0.05230048879939975,0.03498286192392925,99,61,5,5
RANDOM k=1: PHYS_residual vs OFFSET_K1,0.0525482973062279,0.002588182350819793,0.08664125968427647,0.011957330908037836,0.09549239790097656,0.028607688121798133,143,105,5,5
RANDOM k=1: PHYS_residual_gbm vs PHYS_residual,0.002994410410146855,-0.0019420171128192792,0.008743265757142085,-0.0021521905570001235,0.008503193749824315,0.002158957104703391,143,83,3,5
RANDOM k=1: PHYS_residual vs PHYS_residual_metalcat,0.0014294917716231946,-0.0023228802551923953,0.004840456214835999,-0.0021751979281062488,0.004997968724039168,0.0025520074371493764,143,68,3,5
CENTRAL k=1: PHYS_residual_gbm vs OFFSET_K1,0.024486220450445087,-0.0068184611223886344,0.04662701972861729,-0.0061663024432883256,0.04728469265466169,0.013656055865218399,143,101,5,5
CENTRAL k=2: PHYS_residual_gbm vs OFFSET_K1,0.03698838264953341,0.010057142636450479,0.06652537847705561,0.010179204253971917,0.06689244459557711,0.043452314273472945,143,93,5,5
CENTRAL k=2: PHYS_residual_gbm vs OFFSET_K3,0.029393576805106247,0.003577188121357157,0.057050246743560684,0.0037700540785629726,0.05721083844443696,0.03388664239014543,143,92,5,5
CENTRAL k=3: PHYS_residual_gbm vs OFFSET_K3,0.036523249728057636,0.015829728853817306,0.06332897651172768,0.01778914583921023,0.06639305940261883,0.041798689365688195,140,90,5,5
CENTRAL k=5: PHYS_residual_gbm vs OFFSET_K3,0.02589688115502324,0.0008308239654337275,0.06718235659293799,-0.0005042401236593722,0.06443472377515098,0.04332103558217843,99,64,5,5
CENTRAL k=1: PHYS_residual vs OFFSET_K1,0.022721380276067724,-0.008393017283246818,0.04425049883787962,-0.007797010939267793,0.04461183079688904,0.013410466726848456,143,103,5,5
CENTRAL k=1: PHYS_residual_gbm vs PHYS_residual,0.001764840174377364,-0.0031085243833451066,0.006607153743767045,-0.003241474805684933,0.006449714108331687,0.0002455891383699434,143,79,3,5
CENTRAL k=1: PHYS_residual vs PHYS_residual_metalcat,0.002132844420154412,-0.0016681319449226115,0.0053748069541211755,-0.001277523752515994,0.005866979451908319,0.003345322857692132,143,76,4,5
