candidate_id,row_id,metal,acid,acid_concentration_M,extractant_concentration_M,diluent,additive,temperature_C,metal_concentration_mM,contact_time_min
C001,a9d364d088833e8d,La,hno3,3.0,0.2,n_dodecane,,25.0,0.07,20.0
C002,0568273c74bdbee5,Pr,hno3,3.0,0.2,n_dodecane,,25.0,0.07,20.0
C003,5d00e1465a5e19b3,Sm,hno3,3.0,0.2,n_dodecane,,25.0,0.07,20.0
C004,6c852449e5e267f9,Gd,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C005,6998bab8a43389d3,Tb,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C006,ca95eda593051367,Dy,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C007,7f631037ee7d549e,Ho,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C008,4f1a73ed007296f9,Er,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C009,a768a06b6e1e8df9,Yb,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C010,01d749714f8b479f,Lu,hno3,3.0,0.2,n_dodecane,,25.0,0.06,20.0
C011,fca634cf9f0c8001,Ce,hno3,4.0,0.2,n_dodecane,,25.0,0.07,20.0
C012,c6d09712a875c7ad,Pr,hno3,4.0,0.2,n_dodecane,,25.0,0.07,20.0
C013,da02dbee594d4b0d,Sm,hno3,4.0,0.2,n_dodecane,,25.0,0.07,20.0
C014,69011302035bd09e,Tb,hno3,4.0,0.2,n_dodecane,,25.0,0.06,20.0
C015,79abb7442ea52c2c,Er,hno3,4.0,0.2,n_dodecane,,25.0,0.06,20.0
C016,cc7b7897d3e2ac14,Tm,hno3,4.0,0.2,n_dodecane,,25.0,0.06,20.0
C017,14618d70c00bbd5f,Yb,hno3,4.0,0.2,n_dodecane,,25.0,0.06,20.0
C018,7db22502cad364aa,Lu,hno3,4.0,0.2,n_dodecane,,25.0,0.06,20.0
C019,f33568830edeed76,Pr,hno3,5.0,0.2,n_dodecane,,25.0,0.07,20.0
C020,03d768d199b82383,Nd,hno3,5.0,0.2,n_dodecane,,25.0,0.07,20.0
C021,684bb48dd4ad577e,Sm,hno3,5.0,0.2,n_dodecane,,25.0,0.07,20.0
C022,09581ed3d38bbe6a,Eu,hno3,5.0,0.2,n_dodecane,,25.0,0.07,20.0
C023,360f536b64192f7a,Tb,hno3,5.0,0.2,n_dodecane,,25.0,0.06,20.0
C024,fbdb72590a1a9573,Dy,hno3,5.0,0.2,n_dodecane,,25.0,0.06,20.0
C025,116016acfb70788a,Ho,hno3,5.0,0.2,n_dodecane,,25.0,0.06,20.0
C026,aeafa18d4a96b41a,Yb,hno3,5.0,0.2,n_dodecane,,25.0,0.06,20.0
C027,22d0047b3c626699,Ce,hno3,0.001,0.2,n_dodecane,,25.0,0.07,20.0
C028,ae05e3c63d04e69f,Sm,hno3,0.001,0.2,n_dodecane,,25.0,0.07,20.0
C029,2da04579a6446d49,Eu,hno3,0.001,0.2,n_dodecane,,25.0,0.07,20.0
C030,ca629a7a509e2c83,Dy,hno3,0.001,0.2,n_dodecane,,25.0,0.06,20.0
C031,324dcad0d0788c4e,Ho,hno3,0.001,0.2,n_dodecane,,25.0,0.06,20.0
C032,072037da759f9903,Tm,hno3,0.001,0.2,n_dodecane,,25.0,0.06,20.0
C033,66eb1185196134cc,Yb,hno3,0.001,0.2,n_dodecane,,25.0,0.06,20.0
C034,2bc0b29f23f7a2e0,La,hno3,0.006,0.2,n_dodecane,,25.0,0.07,20.0
C035,65c6f36bcbfa810b,Pr,hno3,0.006,0.2,n_dodecane,,25.0,0.07,20.0
C036,cd46b56de5b826df,Eu,hno3,0.006,0.2,n_dodecane,,25.0,0.07,20.0
C037,74aadc8d1a6c24f2,Gd,hno3,0.006,0.2,n_dodecane,,25.0,0.06,20.0
C038,801915ea1f8624a5,Ho,hno3,0.006,0.2,n_dodecane,,25.0,0.06,20.0
C039,4a992a60ce238f43,Yb,hno3,0.006,0.2,n_dodecane,,25.0,0.06,20.0
C040,f096201c14d47eb0,Gd,hno3,5.0,0.3,n_dodecane,,25.0,0.06,20.0
