comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
RANDOM - ORACLE_LEVEL(best constant),0.2295338026730165,0.1879380952808628,0.2585846392573055,0.19583757884033476,0.2637178485761837,0.2157303668402205,143,143,5,5
RANDOM - ORACLE_1SHOT,0.18714087870173435,0.14811855264095983,0.21370885050653274,0.15613087240385345,0.22125831412916822,0.16632228437426708,143,143,5,5
RANDOM - ORACLE_MIN_MEDIAN_DEV,0.18714087870173432,0.1481185526409598,0.21370885050653274,0.15613087240385345,0.22125831412916824,0.16632228437426708,143,143,5,5
RANDOM - MIN[u_gp_var_design],0.07009444046839193,0.04593339609395023,0.08807945013484464,0.04694211897292722,0.08925876419068324,0.07026045909479224,143,112,5,5
RANDOM - MIN[u_gp_var_train],0.034511555343102907,0.004469051373383966,0.05679093669411401,0.002117448770792347,0.055125946223798364,0.036990731371215606,143,99,5,5
RANDOM - MIN[u_cond_nn5],0.010590488325415768,-0.02603767415694634,0.042181605098484835,-0.032066616186830287,0.038550228037921096,0.020173253871543118,143,90,4,5
RANDOM - MAX[u_lig_mech],0.0061206804612936,-0.011919747717035441,0.02357362576056506,-0.012355418762119317,0.023052786797553664,0.006437564731264733,143,83,3,5
RANDOM - MIN[u_cond_nn1],0.0011158971929018729,-0.03235754951736096,0.028688387053023814,-0.03244449906382028,0.028642038036683037,-0.0044228028157593385,143,73,2,5
RANDOM - MAX[u_lig_tanimoto],-0.003741027153899251,-0.01909433797400399,0.020820331240599805,-0.02110634847731116,0.017515067356309633,0.006659455334321331,143,78,2,5
RANDOM - MIN[u_lig_tanimoto],-0.0087511492158961,-0.025917351736092782,0.008510536732582927,-0.025921343391266255,0.008509603114969514,-0.003909959421951931,143,68,0,5
RANDOM - MIN[u_lig_mech],-0.012505585940893418,-0.028468323545399108,0.011907308565629462,-0.031032636429414125,0.0075049010697361114,0.0030946544152065845,143,78,2,5
RANDOM - MIN[u_tree_sd_mean],-0.01791561942221642,-0.04521522309633165,0.007930042584845193,-0.04648345677181977,0.006942775052403964,-0.010699686531067096,143,73,2,5
RANDOM - MIN[u_tree_sd],-0.043062818297411376,-0.07499544255575369,-0.003444564426330964,-0.07939782659390185,-0.008817829397099556,-0.029000317030435725,143,63,0,5
RANDOM - MAX[u_cond_nn1],-0.06288756263594422,-0.10159438618888837,-0.01209950862714745,-0.11227429468594508,-0.022936230496813533,-0.05015459764402289,143,67,0,5
RANDOM - ORACLE_MIN_ABS_RESID,-0.07044148721210172,-0.1137922072486067,-0.02077045846009331,-0.12267572868882189,-0.028288869017518845,-0.04343309726148852,143,57,0,5
RANDOM - MIN[u_model_spread],-0.08725418178691324,-0.1228130600756223,-0.04852636597843705,-0.13059974918133666,-0.053790519391197056,-0.07210470774154684,143,52,0,5
RANDOM - MAX[u_tree_sd_mean],-0.09154722513597227,-0.14738784488342913,-0.05008519826399588,-0.15508667170053375,-0.05398801632783976,-0.07365175927837225,143,63,0,5
RANDOM - MAX[u_model_spread],-0.09381512281404851,-0.12946085625234222,-0.04355514952448723,-0.13344083987987054,-0.04860556852913551,-0.06685896547982305,143,60,0,5
RANDOM - MAX[u_tree_sd],-0.09546053426907224,-0.15367153173166048,-0.054316860393525124,-0.15577039023884512,-0.056135164388646276,-0.08110244363903116,143,57,0,5
RANDOM - MAX[u_cond_nn5],-0.18903720251213155,-0.2512499342155901,-0.10566746892970628,-0.264409131042109,-0.11903173328154375,-0.18471268108637523,143,56,0,5
RANDOM - MAX[u_gp_var_train],-0.1937660876319904,-0.2580652444545044,-0.10714493260523543,-0.27264646045511226,-0.12227110528735473,-0.1867309265456144,143,46,0,5
RANDOM - MAX[u_gp_var_design],-0.26774813736543124,-0.3548406785844648,-0.14649519975889175,-0.3838814472520548,-0.17258104924799542,-0.18191322196868126,143,39,0,5
RANDOM - ZERO_SHOT,-0.2859980428976797,-0.4148061194621018,-0.17576823434205924,-0.43770864943441246,-0.18742434727623947,-0.28017713096404334,143,60,0,5
RANDOM - ORACLE_MAX_ABS_RESID,-0.4124290490173609,-0.5117438914618014,-0.27424651251882864,-0.5432062235712616,-0.3021803540926194,-0.3368521444608095,143,11,0,5
RANDOM - WORST_1SHOT,-0.615592720263031,-0.7482763840695772,-0.4370487829523679,-0.7986048068075322,-0.47065765465228016,-0.5017551319025111,143,0,0,5
