full_arm,k,failure_class,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,1,ALREADY_GOOD,0.7174602031929984,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,1,PARTIAL_LEVEL,0.8052606994195838,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,1,PURE_LEVEL,0.46790008457544463,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,1,RESIDUAL_SHAPE,1.4075606809120458,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,2,ALREADY_GOOD,0.6290117635879152,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,2,PARTIAL_LEVEL,0.7281571351515901,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,2,PURE_LEVEL,0.43991975983523446,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,2,RESIDUAL_SHAPE,1.358271931858645,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,3,ALREADY_GOOD,0.5581819526892008,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,3,PARTIAL_LEVEL,0.7023451620460878,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,3,PURE_LEVEL,0.40800819305095243,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,3,RESIDUAL_SHAPE,1.252243326866084,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,5,ALREADY_GOOD,0.46831813386444016,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,5,PARTIAL_LEVEL,0.6256738107095297,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,5,PURE_LEVEL,0.34546716625113455,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,5,RESIDUAL_SHAPE,1.1344728365963472,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,ALREADY_GOOD,0.7061074337879827,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,PARTIAL_LEVEL,0.7809801966175078,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,PURE_LEVEL,0.4621562808793347,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,RESIDUAL_SHAPE,1.414997586094672,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,ALREADY_GOOD,0.5622337644104303,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,PARTIAL_LEVEL,0.674451784825736,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,PURE_LEVEL,0.4100956060203977,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,RESIDUAL_SHAPE,1.241948638936523,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,ALREADY_GOOD,0.47817269635469867,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,PARTIAL_LEVEL,0.634373825433671,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,PURE_LEVEL,0.338819506995416,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,RESIDUAL_SHAPE,1.0915163000707244,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,ALREADY_GOOD,0.39811711167839386,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,PARTIAL_LEVEL,0.5919824017169674,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,PURE_LEVEL,0.27858141785255464,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,RESIDUAL_SHAPE,0.9807547397388362,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,1,ALREADY_GOOD,1.0057743877964385,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,1,PARTIAL_LEVEL,1.6120025865458296,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,1,PURE_LEVEL,0.6814575413957342,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,1,RESIDUAL_SHAPE,1.9918923782471771,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,2,ALREADY_GOOD,0.5986787684519354,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,2,PARTIAL_LEVEL,1.1088935138427987,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,2,PURE_LEVEL,0.5412030813345466,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,2,RESIDUAL_SHAPE,1.4135122375537394,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,3,ALREADY_GOOD,0.516053717297018,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,3,PARTIAL_LEVEL,0.8348097519826909,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,3,PURE_LEVEL,0.3767753637716833,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,3,RESIDUAL_SHAPE,1.1911474661240458,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,5,ALREADY_GOOD,0.4306739052905487,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,5,PARTIAL_LEVEL,0.6941740141640529,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,5,PURE_LEVEL,0.29735368509012716,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,5,RESIDUAL_SHAPE,1.0171998403157092,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,1,ALREADY_GOOD,0.7061074337879827,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,1,PARTIAL_LEVEL,0.7809801966175078,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,1,PURE_LEVEL,0.4621562808793347,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,1,RESIDUAL_SHAPE,1.414997586094672,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,2,ALREADY_GOOD,0.6468048655741684,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,2,PARTIAL_LEVEL,0.7163035214645389,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,2,PURE_LEVEL,0.43670221649881114,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,2,RESIDUAL_SHAPE,1.3534795533632658,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,3,ALREADY_GOOD,0.5696143296124218,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,3,PARTIAL_LEVEL,0.6815062097290702,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,3,PURE_LEVEL,0.40272737756493004,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,3,RESIDUAL_SHAPE,1.2901559982839224,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,5,ALREADY_GOOD,0.4743228910823417,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,5,PARTIAL_LEVEL,0.6303212823071704,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,5,PURE_LEVEL,0.3765414754337478,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,5,RESIDUAL_SHAPE,1.160114185549901,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,ALREADY_GOOD,0.5984380907264049,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,PARTIAL_LEVEL,0.7220294752844264,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,PURE_LEVEL,0.38398699696153904,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,RESIDUAL_SHAPE,1.186673106104683,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,ALREADY_GOOD,0.5122096438337123,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,PARTIAL_LEVEL,0.6643327357831291,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,PURE_LEVEL,0.3564330940924749,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,RESIDUAL_SHAPE,1.097429475475058,23
