global_model,k,full_arm,arm,mae,n_ligands
GEN9_A0_ROW_ONLY,0,GEN9_A0_ROW_ONLY | ZERO_SHOT,ZERO_SHOT,1.059866963000906,99
GEN9_A0_ROW_ONLY,1,GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.6753536052185976,99
GEN9_A0_ROW_ONLY,2,GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5898844075541246,99
GEN9_A0_ROW_ONLY,3,GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5224146124290847,99
GEN9_A0_ROW_ONLY,5,GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.4739515788879881,99
GEN9_A1_ADJ_d05,0,GEN9_A1_ADJ_d05 | ZERO_SHOT,ZERO_SHOT,1.0613048642645464,99
GEN9_A1_ADJ_d05,1,GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.6959930370011876,99
GEN9_A1_ADJ_d05,2,GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@LEARNED_BLEND,SLOPE_L_s1_K3@LEARNED_BLEND,0.6064861430628906,99
GEN9_A1_ADJ_d05,3,GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@LEARNED_RANK,SLOPE_L_s1_K3@LEARNED_RANK,0.5442171945726937,99
GEN9_A1_ADJ_d05,5,GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.49669682099451595,99
GEN9_A2_END_d05,0,GEN9_A2_END_d05 | ZERO_SHOT,ZERO_SHOT,1.1497257300301245,99
GEN9_A2_END_d05,1,GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.8010194098783762,99
GEN9_A2_END_d05,2,GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.6947251247755529,99
GEN9_A2_END_d05,3,GEN9_A2_END_d05 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.6004034513413431,99
GEN9_A2_END_d05,5,GEN9_A2_END_d05 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.5191199199517904,99
GEN9_A3_RAND_d05,0,GEN9_A3_RAND_d05 | ZERO_SHOT,ZERO_SHOT,1.0799132378569483,99
GEN9_A3_RAND_d05,1,GEN9_A3_RAND_d05 | SLOPE_L_s1_K1@CENTRAL,SLOPE_L_s1_K1@CENTRAL,0.7251276010238319,99
GEN9_A3_RAND_d05,2,GEN9_A3_RAND_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.6355277969387901,99
GEN9_A3_RAND_d05,3,GEN9_A3_RAND_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5642146883515708,99
GEN9_A3_RAND_d05,5,GEN9_A3_RAND_d05 | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.5119373725837885,99
GEN9_A4_MULTI_d05,0,GEN9_A4_MULTI_d05 | ZERO_SHOT,ZERO_SHOT,1.070120303890623,99
GEN9_A4_MULTI_d05,1,GEN9_A4_MULTI_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.707008757245117,99
GEN9_A4_MULTI_d05,2,GEN9_A4_MULTI_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.6174550467399578,99
GEN9_A4_MULTI_d05,3,GEN9_A4_MULTI_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5480610322891969,99
GEN9_A4_MULTI_d05,5,GEN9_A4_MULTI_d05 | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.4963596603235739,99
GEN9_REL_MONOLITH,0,GEN9_REL_MONOLITH | ZERO_SHOT,ZERO_SHOT,1.0651898881419934,99
GEN9_REL_MONOLITH,1,GEN9_REL_MONOLITH | SLOPE_L_s1_K1@MEDOID,SLOPE_L_s1_K1@MEDOID,0.6591255843529291,99
GEN9_REL_MONOLITH,2,GEN9_REL_MONOLITH | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5758076617954855,99
GEN9_REL_MONOLITH,3,GEN9_REL_MONOLITH | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5108601512899745,99
GEN9_REL_MONOLITH,5,GEN9_REL_MONOLITH | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.4674988587972319,99
GEN9_SHAPE_RECOMPOSED,0,GEN9_SHAPE_RECOMPOSED | ZERO_SHOT,ZERO_SHOT,1.0357994416277343,99
GEN9_SHAPE_RECOMPOSED,1,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.653872837772772,99
GEN9_SHAPE_RECOMPOSED,2,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K3@LEARNED_SCALAR,SLOPE_L_s1_K3@LEARNED_SCALAR,0.5746145336486465,99
