global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,1,0.7575156334349555,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,2,0.6934242213120548,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,3,0.6147843772570644,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,5,0.6062102267411391,99
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,0.6178749916954337,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,0.5392852737342606,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,1,1.0636892959958917,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,2,0.6825644627491755,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,3,0.5815156022922564,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,5,0.5533122148454758,99
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,2,0.6981585258122832,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,3,0.6238363810167294,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,5,0.6217730265965451,99
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,0.6238443324808323,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,0.5519626095259587,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,0.5268360841107728,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,0.5358032717291986,99
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,1,0.84589642363874,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,2,0.6719450572324007,143
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,3,0.5889279207130579,140
GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,5,0.5619447134754055,99
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,1,0.7575156334349555,143
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,2,0.7290041084193523,143
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,3,0.7139530045534407,140
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,5,0.7612714879985231,99
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,2,0.7281122188801588,143
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,3,0.7172105407461676,140
GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,1,1.0636892959958917,143
GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,2,0.7561055897239792,143
GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,3,0.74581503755955,140
GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,5,0.7761169849969408,99
GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,2,0.7318114593322019,143
GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,3,0.7192407977421663,140
GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,5,0.7657437731812652,99
GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],1,0.6238443324808323,143
GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],2,0.60725018412009,143
GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],3,0.633924451206406,140
GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],5,0.6953877823847558,99
GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,1,0.84589642363874,143
GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,2,0.7538060274474901,143
GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,3,0.7293150496401231,140
GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,5,0.7687039885593794,99
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,2,0.613279784693714,143
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,3,0.596800373881045,140
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,5,0.6198880027594327,99
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,2,0.6175029012840564,143
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,3,0.6026873491362379,140
GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,5,0.6274940658867004,99
GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,2,0.6413744678663649,143
GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,3,0.6227117747770826,140
GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,5,0.6349945562770579,99
GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,2,0.6179213025415248,143
GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,3,0.6011294858063766,140
GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,5,0.6237270790431844,99
GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],2,0.4836230268630193,143
GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],3,0.5122549348357698,140
GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],5,0.5518002686939923,99
GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,2,0.6334100100931572,143
GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,3,0.6095587533013188,140
GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,5,0.6260919960680681,99
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,2,0.6102221015792554,143
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,3,0.5844383226670891,140
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,5,0.5754565997498526,99
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,2,0.5889161008436354,143
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,3,0.559800406532065,140
GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,5,0.5575222163062505,99
GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,2,0.6097305129395212,143
GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,3,0.574574387787499,140
GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,5,0.5560307732295857,99
GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,2,0.6159786382346429,143
GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,3,0.5896279260103813,140
GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,5,0.5805518974109957,99
GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],2,0.4783972903427126,143
GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],3,0.49908619783371455,140
GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],5,0.51097965529477,99
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,2,0.618491688599962,143
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,3,0.5780649227735448,140
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,5,0.5616532564880948,99
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,2,0.6058254623460134,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,3,0.5615505675367327,140
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,5,0.5569641567310536,99
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
